T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
342.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
494.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
533.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
212.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
618.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
732.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
251.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
379.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
310.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
181.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
307.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
1000.0,1.0,Baseline,random,RandomGrid,100,False,0.8,4
