T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
172.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
172.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
172.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
172.0,1.0,Baseline,random,Sides,100,False,0.8,4
172.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
172.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
172.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
172.0,1.0,Baseline,random,Sides,100,False,0.8,4
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
172.0,1.0,Baseline,random,Sides,100,False,0.8,4
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
172.0,1.0,Baseline,random,Sides,100,False,0.8,4
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
229.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
178.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
172.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
172.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
200.0,1.0,Baseline,random,Sides,100,False,0.8,4
172.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
143.0,1.0,Baseline,random,Sides,100,False,0.8,4
115.0,1.0,Baseline,random,Sides,100,False,0.8,4
