T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
228.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
235.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
153.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
262.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
172.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
365.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
296.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
229.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
314.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
143.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
210.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
599.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
180.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
260.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
316.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
250.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
363.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
147.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
506.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
180.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
358.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
414.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
200.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
186.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
454.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
281.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
1000.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
436.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
412.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
359.0,1.0,Market,pathfind_market,RandomGrid,100,True,0.5,2
