T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
143.0,1.0,Market,pathfind_market,Sides,50,True,1,1
200.0,1.0,Market,pathfind_market,Sides,50,True,1,1
115.0,1.0,Market,pathfind_market,Sides,50,True,1,1
258.0,1.0,Market,pathfind_market,Sides,50,True,1,1
143.0,1.0,Market,pathfind_market,Sides,50,True,1,1
200.0,1.0,Market,pathfind_market,Sides,50,True,1,1
143.0,1.0,Market,pathfind_market,Sides,50,True,1,1
143.0,1.0,Market,pathfind_market,Sides,50,True,1,1
229.0,1.0,Market,pathfind_market,Sides,50,True,1,1
143.0,1.0,Market,pathfind_market,Sides,50,True,1,1
343.0,1.0,Market,pathfind_market,Sides,50,True,1,1
143.0,1.0,Market,pathfind_market,Sides,50,True,1,1
143.0,1.0,Market,pathfind_market,Sides,50,True,1,1
115.0,1.0,Market,pathfind_market,Sides,50,True,1,1
172.0,1.0,Market,pathfind_market,Sides,50,True,1,1
229.0,1.0,Market,pathfind_market,Sides,50,True,1,1
297.0,1.0,Market,pathfind_market,Sides,50,True,1,1
172.0,1.0,Market,pathfind_market,Sides,50,True,1,1
286.0,1.0,Market,pathfind_market,Sides,50,True,1,1
115.0,1.0,Market,pathfind_market,Sides,50,True,1,1
143.0,1.0,Market,pathfind_market,Sides,50,True,1,1
143.0,1.0,Market,pathfind_market,Sides,50,True,1,1
200.0,1.0,Market,pathfind_market,Sides,50,True,1,1
172.0,1.0,Market,pathfind_market,Sides,50,True,1,1
115.0,1.0,Market,pathfind_market,Sides,50,True,1,1
315.0,1.0,Market,pathfind_market,Sides,50,True,1,1
172.0,1.0,Market,pathfind_market,Sides,50,True,1,1
229.0,1.0,Market,pathfind_market,Sides,50,True,1,1
229.0,1.0,Market,pathfind_market,Sides,50,True,1,1
172.0,1.0,Market,pathfind_market,Sides,50,True,1,1
286.0,1.0,Market,pathfind_market,Sides,50,True,1,1
143.0,1.0,Market,pathfind_market,Sides,50,True,1,1
115.0,1.0,Market,pathfind_market,Sides,50,True,1,1
229.0,1.0,Market,pathfind_market,Sides,50,True,1,1
229.0,1.0,Market,pathfind_market,Sides,50,True,1,1
172.0,1.0,Market,pathfind_market,Sides,50,True,1,1
315.0,1.0,Market,pathfind_market,Sides,50,True,1,1
258.0,1.0,Market,pathfind_market,Sides,50,True,1,1
115.0,1.0,Market,pathfind_market,Sides,50,True,1,1
143.0,1.0,Market,pathfind_market,Sides,50,True,1,1
172.0,1.0,Market,pathfind_market,Sides,50,True,1,1
172.0,1.0,Market,pathfind_market,Sides,50,True,1,1
200.0,1.0,Market,pathfind_market,Sides,50,True,1,1
229.0,1.0,Market,pathfind_market,Sides,50,True,1,1
258.0,1.0,Market,pathfind_market,Sides,50,True,1,1
200.0,1.0,Market,pathfind_market,Sides,50,True,1,1
229.0,1.0,Market,pathfind_market,Sides,50,True,1,1
200.0,1.0,Market,pathfind_market,Sides,50,True,1,1
229.0,1.0,Market,pathfind_market,Sides,50,True,1,1
315.0,1.0,Market,pathfind_market,Sides,50,True,1,1
