T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
727.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
262.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
188.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
206.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
302.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
787.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
1000.0,1.0,Market,pathfind_market,Uniform,100,True,1,1
