T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
146.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
174.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
681.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
330.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
372.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
239.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
218.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
125.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
772.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
526.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
585.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
178.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
215.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
133.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
438.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
563.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
468.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
296.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
411.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
176.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
548.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
362.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
426.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
308.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
180.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
823.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
184.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
204.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
682.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
127.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
306.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
224.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
294.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
205.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
608.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
227.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
130.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
295.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
541.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
462.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
206.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
121.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
335.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
228.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
116.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
890.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
1000.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
250.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
181.0,1.0,Baseline,no_trade,RandomGrid,100,True,1,4
