T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
390.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
255.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
475.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
298.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
465.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
390.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
358.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
273.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
318.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
340.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
300.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
252.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
384.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
244.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
400.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
405.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
310.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
270.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
286.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
245.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
553.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
343.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
447.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
299.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
242.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
352.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
384.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
280.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
280.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
254.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
387.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
283.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
250.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
261.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
358.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
325.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
383.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
358.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
359.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
296.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
295.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
355.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
225.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
279.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
310.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
621.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
386.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
307.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
299.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
588.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
257.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
376.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
377.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
325.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
270.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
263.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
249.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
439.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
346.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
302.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
319.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
245.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
352.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
425.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
345.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
367.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
345.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
384.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
265.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
436.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
266.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
266.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
396.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
342.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
297.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
321.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
312.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
503.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
369.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
315.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
295.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
243.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
331.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
266.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
223.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
307.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
374.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
321.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
327.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
267.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
336.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
301.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
383.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
267.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
343.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
298.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
410.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
417.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
315.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
459.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
333.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
296.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
307.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
311.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
431.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
293.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
310.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
420.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
266.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
366.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
259.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
310.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
385.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
336.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
317.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
700.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
274.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
313.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
222.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
222.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
322.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
346.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
371.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
330.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
293.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
268.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
316.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
329.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
265.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
498.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
334.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
228.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
253.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
342.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
324.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
290.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
387.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
269.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
298.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
405.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
275.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
363.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
243.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
396.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
362.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
247.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
319.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
267.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
339.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
221.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
344.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
335.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
308.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
288.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
366.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
398.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
318.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
340.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
388.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
352.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
389.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
302.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
358.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
1000.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
512.0,1.0,Baseline,no_trade,Uniform,300,True,1,2
