T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
205.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
670.0,1.0,Baseline,random,RandomGrid,100,True,1,2
394.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
573.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
646.0,1.0,Baseline,random,RandomGrid,100,True,1,2
185.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
666.0,1.0,Baseline,random,RandomGrid,100,True,1,2
152.0,1.0,Baseline,random,RandomGrid,100,True,1,2
230.0,1.0,Baseline,random,RandomGrid,100,True,1,2
250.0,1.0,Baseline,random,RandomGrid,100,True,1,2
674.0,1.0,Baseline,random,RandomGrid,100,True,1,2
543.0,1.0,Baseline,random,RandomGrid,100,True,1,2
790.0,1.0,Baseline,random,RandomGrid,100,True,1,2
759.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
200.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
820.0,1.0,Baseline,random,RandomGrid,100,True,1,2
474.0,1.0,Baseline,random,RandomGrid,100,True,1,2
792.0,1.0,Baseline,random,RandomGrid,100,True,1,2
373.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
217.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
384.0,1.0,Baseline,random,RandomGrid,100,True,1,2
330.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
183.0,1.0,Baseline,random,RandomGrid,100,True,1,2
352.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
339.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
120.0,1.0,Baseline,random,RandomGrid,100,True,1,2
645.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
582.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
129.0,1.0,Baseline,random,RandomGrid,100,True,1,2
607.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
716.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
407.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
182.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
136.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
304.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
168.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
147.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
1000.0,1.0,Baseline,random,RandomGrid,100,True,1,2
130.0,1.0,Baseline,random,RandomGrid,100,True,1,2
