T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
308.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
231.0,1.0,Baseline,random,RandomGrid,200,False,1,3
313.0,1.0,Baseline,random,RandomGrid,200,False,1,3
144.0,1.0,Baseline,random,RandomGrid,200,False,1,3
229.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
200.0,1.0,Baseline,random,RandomGrid,200,False,1,3
345.0,1.0,Baseline,random,RandomGrid,200,False,1,3
314.0,1.0,Baseline,random,RandomGrid,200,False,1,3
289.0,1.0,Baseline,random,RandomGrid,200,False,1,3
148.0,1.0,Baseline,random,RandomGrid,200,False,1,3
336.0,1.0,Baseline,random,RandomGrid,200,False,1,3
241.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
846.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
151.0,1.0,Baseline,random,RandomGrid,200,False,1,3
531.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
254.0,1.0,Baseline,random,RandomGrid,200,False,1,3
226.0,1.0,Baseline,random,RandomGrid,200,False,1,3
235.0,1.0,Baseline,random,RandomGrid,200,False,1,3
209.0,1.0,Baseline,random,RandomGrid,200,False,1,3
157.0,1.0,Baseline,random,RandomGrid,200,False,1,3
130.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
191.0,1.0,Baseline,random,RandomGrid,200,False,1,3
156.0,1.0,Baseline,random,RandomGrid,200,False,1,3
323.0,1.0,Baseline,random,RandomGrid,200,False,1,3
213.0,1.0,Baseline,random,RandomGrid,200,False,1,3
411.0,1.0,Baseline,random,RandomGrid,200,False,1,3
444.0,1.0,Baseline,random,RandomGrid,200,False,1,3
258.0,1.0,Baseline,random,RandomGrid,200,False,1,3
271.0,1.0,Baseline,random,RandomGrid,200,False,1,3
197.0,1.0,Baseline,random,RandomGrid,200,False,1,3
157.0,1.0,Baseline,random,RandomGrid,200,False,1,3
201.0,1.0,Baseline,random,RandomGrid,200,False,1,3
233.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
428.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
387.0,1.0,Baseline,random,RandomGrid,200,False,1,3
196.0,1.0,Baseline,random,RandomGrid,200,False,1,3
185.0,1.0,Baseline,random,RandomGrid,200,False,1,3
245.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
511.0,1.0,Baseline,random,RandomGrid,200,False,1,3
179.0,1.0,Baseline,random,RandomGrid,200,False,1,3
284.0,1.0,Baseline,random,RandomGrid,200,False,1,3
244.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
310.0,1.0,Baseline,random,RandomGrid,200,False,1,3
237.0,1.0,Baseline,random,RandomGrid,200,False,1,3
716.0,1.0,Baseline,random,RandomGrid,200,False,1,3
267.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
158.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
157.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
276.0,1.0,Baseline,random,RandomGrid,200,False,1,3
137.0,1.0,Baseline,random,RandomGrid,200,False,1,3
392.0,1.0,Baseline,random,RandomGrid,200,False,1,3
1000.0,1.0,Baseline,random,RandomGrid,200,False,1,3
271.0,1.0,Baseline,random,RandomGrid,200,False,1,3
126.0,1.0,Baseline,random,RandomGrid,200,False,1,3
122.0,1.0,Baseline,random,RandomGrid,200,False,1,3
339.0,1.0,Baseline,random,RandomGrid,200,False,1,3
213.0,1.0,Baseline,random,RandomGrid,200,False,1,3
426.0,1.0,Baseline,random,RandomGrid,200,False,1,3
252.0,1.0,Baseline,random,RandomGrid,200,False,1,3
