T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
152.0,1.0,Baseline,random,Sides,50,False,1,3
175.0,1.0,Baseline,random,Sides,50,False,1,3
170.0,1.0,Baseline,random,Sides,50,False,1,3
222.0,1.0,Baseline,random,Sides,50,False,1,3
145.0,1.0,Baseline,random,Sides,50,False,1,3
207.0,1.0,Baseline,random,Sides,50,False,1,3
191.0,1.0,Baseline,random,Sides,50,False,1,3
161.0,1.0,Baseline,random,Sides,50,False,1,3
124.0,1.0,Baseline,random,Sides,50,False,1,3
159.0,1.0,Baseline,random,Sides,50,False,1,3
163.0,1.0,Baseline,random,Sides,50,False,1,3
121.0,1.0,Baseline,random,Sides,50,False,1,3
124.0,1.0,Baseline,random,Sides,50,False,1,3
169.0,1.0,Baseline,random,Sides,50,False,1,3
142.0,1.0,Baseline,random,Sides,50,False,1,3
161.0,1.0,Baseline,random,Sides,50,False,1,3
195.0,1.0,Baseline,random,Sides,50,False,1,3
151.0,1.0,Baseline,random,Sides,50,False,1,3
336.0,1.0,Baseline,random,Sides,50,False,1,3
118.0,1.0,Baseline,random,Sides,50,False,1,3
119.0,1.0,Baseline,random,Sides,50,False,1,3
133.0,1.0,Baseline,random,Sides,50,False,1,3
119.0,1.0,Baseline,random,Sides,50,False,1,3
142.0,1.0,Baseline,random,Sides,50,False,1,3
180.0,1.0,Baseline,random,Sides,50,False,1,3
145.0,1.0,Baseline,random,Sides,50,False,1,3
164.0,1.0,Baseline,random,Sides,50,False,1,3
225.0,1.0,Baseline,random,Sides,50,False,1,3
139.0,1.0,Baseline,random,Sides,50,False,1,3
161.0,1.0,Baseline,random,Sides,50,False,1,3
174.0,1.0,Baseline,random,Sides,50,False,1,3
175.0,1.0,Baseline,random,Sides,50,False,1,3
227.0,1.0,Baseline,random,Sides,50,False,1,3
146.0,1.0,Baseline,random,Sides,50,False,1,3
116.0,1.0,Baseline,random,Sides,50,False,1,3
166.0,1.0,Baseline,random,Sides,50,False,1,3
117.0,1.0,Baseline,random,Sides,50,False,1,3
158.0,1.0,Baseline,random,Sides,50,False,1,3
135.0,1.0,Baseline,random,Sides,50,False,1,3
209.0,1.0,Baseline,random,Sides,50,False,1,3
174.0,1.0,Baseline,random,Sides,50,False,1,3
161.0,1.0,Baseline,random,Sides,50,False,1,3
202.0,1.0,Baseline,random,Sides,50,False,1,3
128.0,1.0,Baseline,random,Sides,50,False,1,3
142.0,1.0,Baseline,random,Sides,50,False,1,3
229.0,1.0,Baseline,random,Sides,50,False,1,3
128.0,1.0,Baseline,random,Sides,50,False,1,3
154.0,1.0,Baseline,random,Sides,50,False,1,3
195.0,1.0,Baseline,random,Sides,50,False,1,3
209.0,1.0,Baseline,random,Sides,50,False,1,3
