T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
702.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
977.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
753.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
1000.0,1.0,Baseline,random,Uniform,100,False,0.5,1
