T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
589.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
485.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
951.0,1.0,Baseline,random,Uniform,200,True,1,1
466.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
445.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
842.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
353.0,1.0,Baseline,random,Uniform,200,True,1,1
379.0,1.0,Baseline,random,Uniform,200,True,1,1
429.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
462.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
338.0,1.0,Baseline,random,Uniform,200,True,1,1
451.0,1.0,Baseline,random,Uniform,200,True,1,1
360.0,1.0,Baseline,random,Uniform,200,True,1,1
475.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
618.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
474.0,1.0,Baseline,random,Uniform,200,True,1,1
612.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
446.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
544.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
490.0,1.0,Baseline,random,Uniform,200,True,1,1
810.0,1.0,Baseline,random,Uniform,200,True,1,1
416.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
735.0,1.0,Baseline,random,Uniform,200,True,1,1
548.0,1.0,Baseline,random,Uniform,200,True,1,1
569.0,1.0,Baseline,random,Uniform,200,True,1,1
403.0,1.0,Baseline,random,Uniform,200,True,1,1
289.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
311.0,1.0,Baseline,random,Uniform,200,True,1,1
418.0,1.0,Baseline,random,Uniform,200,True,1,1
582.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
604.0,1.0,Baseline,random,Uniform,200,True,1,1
342.0,1.0,Baseline,random,Uniform,200,True,1,1
594.0,1.0,Baseline,random,Uniform,200,True,1,1
442.0,1.0,Baseline,random,Uniform,200,True,1,1
411.0,1.0,Baseline,random,Uniform,200,True,1,1
421.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
495.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
520.0,1.0,Baseline,random,Uniform,200,True,1,1
392.0,1.0,Baseline,random,Uniform,200,True,1,1
536.0,1.0,Baseline,random,Uniform,200,True,1,1
532.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
342.0,1.0,Baseline,random,Uniform,200,True,1,1
556.0,1.0,Baseline,random,Uniform,200,True,1,1
459.0,1.0,Baseline,random,Uniform,200,True,1,1
366.0,1.0,Baseline,random,Uniform,200,True,1,1
417.0,1.0,Baseline,random,Uniform,200,True,1,1
528.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
401.0,1.0,Baseline,random,Uniform,200,True,1,1
483.0,1.0,Baseline,random,Uniform,200,True,1,1
460.0,1.0,Baseline,random,Uniform,200,True,1,1
287.0,1.0,Baseline,random,Uniform,200,True,1,1
415.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
823.0,1.0,Baseline,random,Uniform,200,True,1,1
400.0,1.0,Baseline,random,Uniform,200,True,1,1
458.0,1.0,Baseline,random,Uniform,200,True,1,1
373.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
313.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
398.0,1.0,Baseline,random,Uniform,200,True,1,1
485.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
370.0,1.0,Baseline,random,Uniform,200,True,1,1
476.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
577.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
587.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
397.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
558.0,1.0,Baseline,random,Uniform,200,True,1,1
550.0,1.0,Baseline,random,Uniform,200,True,1,1
475.0,1.0,Baseline,random,Uniform,200,True,1,1
541.0,1.0,Baseline,random,Uniform,200,True,1,1
473.0,1.0,Baseline,random,Uniform,200,True,1,1
489.0,1.0,Baseline,random,Uniform,200,True,1,1
555.0,1.0,Baseline,random,Uniform,200,True,1,1
349.0,1.0,Baseline,random,Uniform,200,True,1,1
616.0,1.0,Baseline,random,Uniform,200,True,1,1
400.0,1.0,Baseline,random,Uniform,200,True,1,1
522.0,1.0,Baseline,random,Uniform,200,True,1,1
429.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
379.0,1.0,Baseline,random,Uniform,200,True,1,1
442.0,1.0,Baseline,random,Uniform,200,True,1,1
540.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
499.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
704.0,1.0,Baseline,random,Uniform,200,True,1,1
529.0,1.0,Baseline,random,Uniform,200,True,1,1
430.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
384.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
514.0,1.0,Baseline,random,Uniform,200,True,1,1
428.0,1.0,Baseline,random,Uniform,200,True,1,1
494.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
264.0,1.0,Baseline,random,Uniform,200,True,1,1
396.0,1.0,Baseline,random,Uniform,200,True,1,1
569.0,1.0,Baseline,random,Uniform,200,True,1,1
411.0,1.0,Baseline,random,Uniform,200,True,1,1
639.0,1.0,Baseline,random,Uniform,200,True,1,1
494.0,1.0,Baseline,random,Uniform,200,True,1,1
573.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
