T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
698.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
490.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
1000.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
1000.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
289.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
242.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
471.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
576.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
238.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
363.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
351.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
267.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
1000.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
1000.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
337.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
266.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
410.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
218.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
341.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
228.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
321.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
270.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
212.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
322.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
634.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
258.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
530.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
277.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
232.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
585.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
1000.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
648.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
551.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
393.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
242.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
556.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
284.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
493.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
1000.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
1000.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
926.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
615.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
353.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
277.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
1000.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
468.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
330.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
570.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
601.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
235.0,1.0,Market,pathfind_market,RandomGrid,50,True,1,4
