T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
195.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
126.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
187.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
195.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
267.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
123.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
152.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
223.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
176.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
133.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
135.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
192.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
161.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
154.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
147.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
188.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
136.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
143.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
174.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
142.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
188.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
136.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
223.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
129.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
176.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
175.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
197.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
135.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
115.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
315.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
269.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
214.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
127.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
192.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
135.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
165.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
200.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
163.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
279.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
126.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
143.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
117.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
145.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
179.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
176.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
162.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
215.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
157.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
213.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
190.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
188.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
150.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
199.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
174.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
203.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
127.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
180.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
175.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
175.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
174.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
132.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
178.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
168.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
131.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
123.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
138.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
305.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
201.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
192.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
123.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
162.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
184.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
192.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
148.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
155.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
173.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
127.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
159.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
138.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
136.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
186.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
159.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
193.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
176.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
163.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
267.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
256.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
132.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
205.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
221.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
149.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
140.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
238.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
162.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
125.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
118.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
284.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
116.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
216.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
233.0,1.0,Market,pathfind_market,Sides,100,True,0.5,3
