T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
455.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
334.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
288.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
279.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
303.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
328.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
417.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
184.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
162.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
536.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
234.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
291.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
311.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
390.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
335.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
394.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
271.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
208.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
215.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
182.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
426.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
507.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
197.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
307.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
381.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
617.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
243.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
481.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
579.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
153.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
261.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
578.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
193.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
1000.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
342.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
266.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
218.0,1.0,Market,pathfind_market,Uniform,300,True,0.8,5
