,T,E,Trade_random,Trade_search,Trade_market
0,207.0,1.0,0,0,0
1,177.0,1.0,0,0,0
2,148.0,1.0,0,0,0
3,178.0,1.0,0,0,0
4,158.0,1.0,0,0,0
5,218.0,1.0,0,0,0
6,121.0,1.0,0,0,0
7,181.0,1.0,0,0,0
8,125.0,1.0,0,0,0
9,154.0,1.0,0,0,0
10,206.0,1.0,0,0,0
11,180.0,1.0,0,0,0
12,201.0,1.0,0,0,0
13,183.0,1.0,0,0,0
14,181.0,1.0,0,0,0
15,156.0,1.0,0,0,0
16,171.0,1.0,0,0,0
17,181.0,1.0,0,0,0
18,211.0,1.0,0,0,0
19,118.0,1.0,0,0,0
20,154.0,1.0,0,0,0
21,177.0,1.0,0,0,0
22,205.0,1.0,0,0,0
23,139.0,1.0,0,0,0
24,133.0,1.0,0,0,0
25,122.0,1.0,0,0,0
26,136.0,1.0,0,0,0
27,121.0,1.0,0,0,0
28,133.0,1.0,0,0,0
29,211.0,1.0,0,0,0
30,228.0,1.0,0,0,0
31,216.0,1.0,0,0,0
32,116.0,1.0,0,0,0
33,130.0,1.0,0,0,0
34,181.0,1.0,0,0,0
35,157.0,1.0,0,0,0
36,205.0,1.0,0,0,0
37,141.0,1.0,0,0,0
38,191.0,1.0,0,0,0
39,136.0,1.0,0,0,0
40,115.0,1.0,0,0,0
41,145.0,1.0,0,0,0
42,194.0,1.0,0,0,0
43,215.0,1.0,0,0,0
44,127.0,1.0,0,0,0
45,192.0,1.0,0,0,0
46,160.0,1.0,0,0,0
47,186.0,1.0,0,0,0
48,183.0,1.0,0,0,0
49,166.0,1.0,0,0,0
50,121.0,1.0,0,0,0
51,140.0,1.0,0,0,0
52,171.0,1.0,0,0,0
53,116.0,1.0,0,0,0
54,146.0,1.0,0,0,0
55,191.0,1.0,0,0,0
56,138.0,1.0,0,0,0
57,176.0,1.0,0,0,0
58,210.0,1.0,0,0,0
59,125.0,1.0,0,0,0
60,166.0,1.0,0,0,0
61,196.0,1.0,0,0,0
62,145.0,1.0,0,0,0
63,158.0,1.0,0,0,0
64,179.0,1.0,0,0,0
65,115.0,1.0,0,0,0
66,194.0,1.0,0,0,0
67,187.0,1.0,0,0,0
68,211.0,1.0,0,0,0
69,171.0,1.0,0,0,0
70,170.0,1.0,0,0,0
71,139.0,1.0,0,0,0
72,149.0,1.0,0,0,0
73,160.0,1.0,0,0,0
74,144.0,1.0,0,0,0
75,194.0,1.0,0,0,0
76,132.0,1.0,0,0,0
77,125.0,1.0,0,0,0
78,116.0,1.0,0,0,0
79,226.0,1.0,0,0,0
80,195.0,1.0,0,0,0
81,116.0,1.0,0,0,0
82,196.0,1.0,0,0,0
83,210.0,1.0,0,0,0
84,117.0,1.0,0,0,0
85,134.0,1.0,0,0,0
86,178.0,1.0,0,0,0
87,139.0,1.0,0,0,0
88,162.0,1.0,0,0,0
89,137.0,1.0,0,0,0
90,128.0,1.0,0,0,0
91,216.0,1.0,0,0,0
92,130.0,1.0,0,0,0
93,147.0,1.0,0,0,0
94,177.0,1.0,0,0,0
95,184.0,1.0,0,0,0
96,122.0,1.0,0,0,0
97,115.0,1.0,0,0,0
98,140.0,1.0,0,0,0
99,126.0,1.0,0,0,0
0,147.0,1.0,0,0,0
1,128.0,1.0,0,0,0
2,165.0,1.0,0,0,0
3,172.0,1.0,0,0,0
4,194.0,1.0,0,0,0
5,159.0,1.0,0,0,0
6,218.0,1.0,0,0,0
7,122.0,1.0,0,0,0
8,204.0,1.0,0,0,0
9,133.0,1.0,0,0,0
10,191.0,1.0,0,0,0
11,194.0,1.0,0,0,0
12,194.0,1.0,0,0,0
13,204.0,1.0,0,0,0
14,141.0,1.0,0,0,0
15,205.0,1.0,0,0,0
16,182.0,1.0,0,0,0
17,192.0,1.0,0,0,0
18,223.0,1.0,0,0,0
19,185.0,1.0,0,0,0
20,126.0,1.0,0,0,0
21,171.0,1.0,0,0,0
22,122.0,1.0,0,0,0
23,173.0,1.0,0,0,0
24,131.0,1.0,0,0,0
25,228.0,1.0,0,0,0
26,146.0,1.0,0,0,0
27,213.0,1.0,0,0,0
28,144.0,1.0,0,0,0
29,185.0,1.0,0,0,0
30,199.0,1.0,0,0,0
31,127.0,1.0,0,0,0
32,174.0,1.0,0,0,0
33,223.0,1.0,0,0,0
34,201.0,1.0,0,0,0
35,123.0,1.0,0,0,0
36,154.0,1.0,0,0,0
37,131.0,1.0,0,0,0
38,145.0,1.0,0,0,0
39,133.0,1.0,0,0,0
40,143.0,1.0,0,0,0
41,166.0,1.0,0,0,0
42,208.0,1.0,0,0,0
43,123.0,1.0,0,0,0
44,173.0,1.0,0,0,0
45,156.0,1.0,0,0,0
46,169.0,1.0,0,0,0
47,217.0,1.0,0,0,0
48,137.0,1.0,0,0,0
49,131.0,1.0,0,0,0
50,135.0,1.0,0,0,0
51,122.0,1.0,0,0,0
52,186.0,1.0,0,0,0
53,197.0,1.0,0,0,0
54,123.0,1.0,0,0,0
55,119.0,1.0,0,0,0
56,220.0,1.0,0,0,0
57,179.0,1.0,0,0,0
58,201.0,1.0,0,0,0
59,163.0,1.0,0,0,0
60,174.0,1.0,0,0,0
61,150.0,1.0,0,0,0
62,182.0,1.0,0,0,0
63,149.0,1.0,0,0,0
64,146.0,1.0,0,0,0
65,164.0,1.0,0,0,0
66,183.0,1.0,0,0,0
67,134.0,1.0,0,0,0
68,214.0,1.0,0,0,0
69,126.0,1.0,0,0,0
70,122.0,1.0,0,0,0
71,156.0,1.0,0,0,0
72,175.0,1.0,0,0,0
73,178.0,1.0,0,0,0
74,169.0,1.0,0,0,0
75,140.0,1.0,0,0,0
76,223.0,1.0,0,0,0
77,141.0,1.0,0,0,0
78,140.0,1.0,0,0,0
79,187.0,1.0,0,0,0
80,225.0,1.0,0,0,0
81,191.0,1.0,0,0,0
82,130.0,1.0,0,0,0
83,133.0,1.0,0,0,0
84,153.0,1.0,0,0,0
85,132.0,1.0,0,0,0
86,187.0,1.0,0,0,0
87,126.0,1.0,0,0,0
88,222.0,1.0,0,0,0
89,224.0,1.0,0,0,0
90,125.0,1.0,0,0,0
91,204.0,1.0,0,0,0
92,154.0,1.0,0,0,0
93,132.0,1.0,0,0,0
94,125.0,1.0,0,0,0
95,132.0,1.0,0,0,0
96,226.0,1.0,0,0,0
97,158.0,1.0,0,0,0
98,129.0,1.0,0,0,0
99,162.0,1.0,0,0,0
0,192.0,1.0,0,0,0
1,141.0,1.0,0,0,0
2,204.0,1.0,0,0,0
3,162.0,1.0,0,0,0
4,122.0,1.0,0,0,0
5,169.0,1.0,0,0,0
6,201.0,1.0,0,0,0
7,215.0,1.0,0,0,0
8,170.0,1.0,0,0,0
9,140.0,1.0,0,0,0
10,153.0,1.0,0,0,0
11,115.0,1.0,0,0,0
12,116.0,1.0,0,0,0
13,207.0,1.0,0,0,0
14,125.0,1.0,0,0,0
15,225.0,1.0,0,0,0
16,226.0,1.0,0,0,0
17,161.0,1.0,0,0,0
18,138.0,1.0,0,0,0
19,116.0,1.0,0,0,0
20,167.0,1.0,0,0,0
21,150.0,1.0,0,0,0
22,227.0,1.0,0,0,0
23,146.0,1.0,0,0,0
24,210.0,1.0,0,0,0
25,122.0,1.0,0,0,0
26,128.0,1.0,0,0,0
27,207.0,1.0,0,0,0
28,137.0,1.0,0,0,0
29,157.0,1.0,0,0,0
30,198.0,1.0,0,0,0
31,145.0,1.0,0,0,0
32,139.0,1.0,0,0,0
33,191.0,1.0,0,0,0
34,150.0,1.0,0,0,0
35,133.0,1.0,0,0,0
36,119.0,1.0,0,0,0
37,200.0,1.0,0,0,0
38,223.0,1.0,0,0,0
39,192.0,1.0,0,0,0
40,132.0,1.0,0,0,0
41,200.0,1.0,0,0,0
42,221.0,1.0,0,0,0
43,139.0,1.0,0,0,0
44,150.0,1.0,0,0,0
45,185.0,1.0,0,0,0
46,228.0,1.0,0,0,0
47,153.0,1.0,0,0,0
48,180.0,1.0,0,0,0
49,150.0,1.0,0,0,0
50,195.0,1.0,0,0,0
51,119.0,1.0,0,0,0
52,121.0,1.0,0,0,0
53,153.0,1.0,0,0,0
54,134.0,1.0,0,0,0
55,213.0,1.0,0,0,0
56,215.0,1.0,0,0,0
57,223.0,1.0,0,0,0
58,141.0,1.0,0,0,0
59,195.0,1.0,0,0,0
60,155.0,1.0,0,0,0
61,126.0,1.0,0,0,0
62,195.0,1.0,0,0,0
63,144.0,1.0,0,0,0
64,128.0,1.0,0,0,0
65,212.0,1.0,0,0,0
66,193.0,1.0,0,0,0
67,171.0,1.0,0,0,0
68,116.0,1.0,0,0,0
69,207.0,1.0,0,0,0
70,190.0,1.0,0,0,0
71,170.0,1.0,0,0,0
72,183.0,1.0,0,0,0
73,120.0,1.0,0,0,0
74,156.0,1.0,0,0,0
75,225.0,1.0,0,0,0
76,214.0,1.0,0,0,0
77,144.0,1.0,0,0,0
78,133.0,1.0,0,0,0
79,133.0,1.0,0,0,0
80,204.0,1.0,0,0,0
81,183.0,1.0,0,0,0
82,136.0,1.0,0,0,0
83,207.0,1.0,0,0,0
84,188.0,1.0,0,0,0
85,124.0,1.0,0,0,0
86,154.0,1.0,0,0,0
87,117.0,1.0,0,0,0
88,201.0,1.0,0,0,0
89,165.0,1.0,0,0,0
90,209.0,1.0,0,0,0
91,119.0,1.0,0,0,0
92,115.0,1.0,0,0,0
93,157.0,1.0,0,0,0
94,176.0,1.0,0,0,0
95,218.0,1.0,0,0,0
96,116.0,1.0,0,0,0
97,118.0,1.0,0,0,0
98,198.0,1.0,0,0,0
99,115.0,1.0,0,0,0
0,181.0,1.0,0,0,0
1,198.0,1.0,0,0,0
2,118.0,1.0,0,0,0
3,147.0,1.0,0,0,0
4,146.0,1.0,0,0,0
5,152.0,1.0,0,0,0
6,129.0,1.0,0,0,0
7,189.0,1.0,0,0,0
8,131.0,1.0,0,0,0
9,207.0,1.0,0,0,0
10,116.0,1.0,0,0,0
11,179.0,1.0,0,0,0
12,208.0,1.0,0,0,0
13,131.0,1.0,0,0,0
14,131.0,1.0,0,0,0
15,191.0,1.0,0,0,0
16,124.0,1.0,0,0,0
17,227.0,1.0,0,0,0
18,177.0,1.0,0,0,0
19,130.0,1.0,0,0,0
20,184.0,1.0,0,0,0
21,141.0,1.0,0,0,0
22,115.0,1.0,0,0,0
23,124.0,1.0,0,0,0
24,183.0,1.0,0,0,0
25,188.0,1.0,0,0,0
26,138.0,1.0,0,0,0
27,202.0,1.0,0,0,0
28,201.0,1.0,0,0,0
29,200.0,1.0,0,0,0
30,176.0,1.0,0,0,0
31,220.0,1.0,0,0,0
32,164.0,1.0,0,0,0
33,152.0,1.0,0,0,0
34,180.0,1.0,0,0,0
35,138.0,1.0,0,0,0
36,218.0,1.0,0,0,0
37,172.0,1.0,0,0,0
38,137.0,1.0,0,0,0
39,174.0,1.0,0,0,0
40,170.0,1.0,0,0,0
41,185.0,1.0,0,0,0
42,171.0,1.0,0,0,0
43,146.0,1.0,0,0,0
44,216.0,1.0,0,0,0
45,151.0,1.0,0,0,0
46,159.0,1.0,0,0,0
47,194.0,1.0,0,0,0
48,121.0,1.0,0,0,0
49,185.0,1.0,0,0,0
50,173.0,1.0,0,0,0
51,136.0,1.0,0,0,0
52,178.0,1.0,0,0,0
53,189.0,1.0,0,0,0
54,136.0,1.0,0,0,0
55,182.0,1.0,0,0,0
56,142.0,1.0,0,0,0
57,221.0,1.0,0,0,0
58,154.0,1.0,0,0,0
59,137.0,1.0,0,0,0
60,218.0,1.0,0,0,0
61,118.0,1.0,0,0,0
62,168.0,1.0,0,0,0
63,158.0,1.0,0,0,0
64,145.0,1.0,0,0,0
65,122.0,1.0,0,0,0
66,119.0,1.0,0,0,0
67,173.0,1.0,0,0,0
68,169.0,1.0,0,0,0
69,121.0,1.0,0,0,0
70,196.0,1.0,0,0,0
71,196.0,1.0,0,0,0
72,139.0,1.0,0,0,0
73,163.0,1.0,0,0,0
74,152.0,1.0,0,0,0
75,156.0,1.0,0,0,0
76,121.0,1.0,0,0,0
77,121.0,1.0,0,0,0
78,161.0,1.0,0,0,0
79,162.0,1.0,0,0,0
80,137.0,1.0,0,0,0
81,215.0,1.0,0,0,0
82,116.0,1.0,0,0,0
83,186.0,1.0,0,0,0
84,198.0,1.0,0,0,0
85,118.0,1.0,0,0,0
86,193.0,1.0,0,0,0
87,155.0,1.0,0,0,0
88,181.0,1.0,0,0,0
89,144.0,1.0,0,0,0
90,144.0,1.0,0,0,0
91,141.0,1.0,0,0,0
92,156.0,1.0,0,0,0
93,123.0,1.0,0,0,0
94,168.0,1.0,0,0,0
95,228.0,1.0,0,0,0
96,174.0,1.0,0,0,0
97,128.0,1.0,0,0,0
98,221.0,1.0,0,0,0
99,204.0,1.0,0,0,0
0,119.0,1.0,0,0,0
1,218.0,1.0,0,0,0
2,158.0,1.0,0,0,0
3,206.0,1.0,0,0,0
4,124.0,1.0,0,0,0
5,115.0,1.0,0,0,0
6,144.0,1.0,0,0,0
7,214.0,1.0,0,0,0
8,123.0,1.0,0,0,0
9,116.0,1.0,0,0,0
10,126.0,1.0,0,0,0
11,137.0,1.0,0,0,0
12,127.0,1.0,0,0,0
13,165.0,1.0,0,0,0
14,199.0,1.0,0,0,0
15,118.0,1.0,0,0,0
16,151.0,1.0,0,0,0
17,227.0,1.0,0,0,0
18,126.0,1.0,0,0,0
19,162.0,1.0,0,0,0
20,132.0,1.0,0,0,0
21,159.0,1.0,0,0,0
22,210.0,1.0,0,0,0
23,216.0,1.0,0,0,0
24,141.0,1.0,0,0,0
25,146.0,1.0,0,0,0
26,207.0,1.0,0,0,0
27,119.0,1.0,0,0,0
28,162.0,1.0,0,0,0
29,147.0,1.0,0,0,0
30,152.0,1.0,0,0,0
31,135.0,1.0,0,0,0
32,116.0,1.0,0,0,0
33,206.0,1.0,0,0,0
34,135.0,1.0,0,0,0
35,171.0,1.0,0,0,0
36,211.0,1.0,0,0,0
37,214.0,1.0,0,0,0
38,223.0,1.0,0,0,0
39,228.0,1.0,0,0,0
40,190.0,1.0,0,0,0
41,126.0,1.0,0,0,0
42,150.0,1.0,0,0,0
43,146.0,1.0,0,0,0
44,135.0,1.0,0,0,0
45,149.0,1.0,0,0,0
46,222.0,1.0,0,0,0
47,157.0,1.0,0,0,0
48,215.0,1.0,0,0,0
49,171.0,1.0,0,0,0
50,165.0,1.0,0,0,0
51,117.0,1.0,0,0,0
52,178.0,1.0,0,0,0
53,137.0,1.0,0,0,0
54,195.0,1.0,0,0,0
55,179.0,1.0,0,0,0
56,122.0,1.0,0,0,0
57,166.0,1.0,0,0,0
58,146.0,1.0,0,0,0
59,219.0,1.0,0,0,0
60,197.0,1.0,0,0,0
61,189.0,1.0,0,0,0
62,205.0,1.0,0,0,0
63,228.0,1.0,0,0,0
64,199.0,1.0,0,0,0
65,215.0,1.0,0,0,0
66,228.0,1.0,0,0,0
67,131.0,1.0,0,0,0
68,171.0,1.0,0,0,0
69,127.0,1.0,0,0,0
70,149.0,1.0,0,0,0
71,158.0,1.0,0,0,0
72,124.0,1.0,0,0,0
73,146.0,1.0,0,0,0
74,137.0,1.0,0,0,0
75,154.0,1.0,0,0,0
76,176.0,1.0,0,0,0
77,157.0,1.0,0,0,0
78,217.0,1.0,0,0,0
79,140.0,1.0,0,0,0
80,190.0,1.0,0,0,0
81,130.0,1.0,0,0,0
82,207.0,1.0,0,0,0
83,213.0,1.0,0,0,0
84,133.0,1.0,0,0,0
85,171.0,1.0,0,0,0
86,158.0,1.0,0,0,0
87,222.0,1.0,0,0,0
88,123.0,1.0,0,0,0
89,127.0,1.0,0,0,0
90,129.0,1.0,0,0,0
91,117.0,1.0,0,0,0
92,151.0,1.0,0,0,0
93,159.0,1.0,0,0,0
94,118.0,1.0,0,0,0
95,148.0,1.0,0,0,0
96,185.0,1.0,0,0,0
97,144.0,1.0,0,0,0
98,142.0,1.0,0,0,0
99,199.0,1.0,0,0,0
0,153.0,1.0,1,0,0
1,216.0,1.0,1,0,0
2,180.0,1.0,1,0,0
3,220.0,1.0,1,0,0
4,131.0,1.0,1,0,0
5,170.0,1.0,1,0,0
6,116.0,1.0,1,0,0
7,158.0,1.0,1,0,0
8,180.0,1.0,1,0,0
9,152.0,1.0,1,0,0
10,156.0,1.0,1,0,0
11,180.0,1.0,1,0,0
12,167.0,1.0,1,0,0
13,179.0,1.0,1,0,0
14,159.0,1.0,1,0,0
15,223.0,1.0,1,0,0
16,146.0,1.0,1,0,0
17,215.0,1.0,1,0,0
18,128.0,1.0,1,0,0
19,206.0,1.0,1,0,0
20,139.0,1.0,1,0,0
21,206.0,1.0,1,0,0
22,164.0,1.0,1,0,0
23,218.0,1.0,1,0,0
24,169.0,1.0,1,0,0
25,189.0,1.0,1,0,0
26,160.0,1.0,1,0,0
27,153.0,1.0,1,0,0
28,157.0,1.0,1,0,0
29,209.0,1.0,1,0,0
30,178.0,1.0,1,0,0
31,133.0,1.0,1,0,0
32,115.0,1.0,1,0,0
33,227.0,1.0,1,0,0
34,170.0,1.0,1,0,0
35,171.0,1.0,1,0,0
36,163.0,1.0,1,0,0
37,213.0,1.0,1,0,0
38,169.0,1.0,1,0,0
39,193.0,1.0,1,0,0
40,161.0,1.0,1,0,0
41,217.0,1.0,1,0,0
42,121.0,1.0,1,0,0
43,183.0,1.0,1,0,0
44,192.0,1.0,1,0,0
45,161.0,1.0,1,0,0
46,199.0,1.0,1,0,0
47,145.0,1.0,1,0,0
48,151.0,1.0,1,0,0
49,147.0,1.0,1,0,0
50,145.0,1.0,1,0,0
51,143.0,1.0,1,0,0
52,152.0,1.0,1,0,0
53,148.0,1.0,1,0,0
54,160.0,1.0,1,0,0
55,216.0,1.0,1,0,0
56,187.0,1.0,1,0,0
57,141.0,1.0,1,0,0
58,165.0,1.0,1,0,0
59,226.0,1.0,1,0,0
60,115.0,1.0,1,0,0
61,172.0,1.0,1,0,0
62,171.0,1.0,1,0,0
63,144.0,1.0,1,0,0
64,205.0,1.0,1,0,0
65,189.0,1.0,1,0,0
66,134.0,1.0,1,0,0
67,134.0,1.0,1,0,0
68,170.0,1.0,1,0,0
69,189.0,1.0,1,0,0
70,189.0,1.0,1,0,0
71,172.0,1.0,1,0,0
72,183.0,1.0,1,0,0
73,213.0,1.0,1,0,0
74,183.0,1.0,1,0,0
75,207.0,1.0,1,0,0
76,153.0,1.0,1,0,0
77,203.0,1.0,1,0,0
78,180.0,1.0,1,0,0
79,132.0,1.0,1,0,0
80,181.0,1.0,1,0,0
81,177.0,1.0,1,0,0
82,177.0,1.0,1,0,0
83,178.0,1.0,1,0,0
84,238.0,1.0,1,0,0
85,170.0,1.0,1,0,0
86,211.0,1.0,1,0,0
87,144.0,1.0,1,0,0
88,187.0,1.0,1,0,0
89,202.0,1.0,1,0,0
90,188.0,1.0,1,0,0
91,126.0,1.0,1,0,0
92,240.0,1.0,1,0,0
93,119.0,1.0,1,0,0
94,176.0,1.0,1,0,0
95,132.0,1.0,1,0,0
96,188.0,1.0,1,0,0
97,211.0,1.0,1,0,0
98,194.0,1.0,1,0,0
99,171.0,1.0,1,0,0
0,170.0,1.0,1,0,0
1,204.0,1.0,1,0,0
2,144.0,1.0,1,0,0
3,144.0,1.0,1,0,0
4,194.0,1.0,1,0,0
5,200.0,1.0,1,0,0
6,221.0,1.0,1,0,0
7,164.0,1.0,1,0,0
8,320.0,1.0,1,0,0
9,181.0,1.0,1,0,0
10,133.0,1.0,1,0,0
11,128.0,1.0,1,0,0
12,135.0,1.0,1,0,0
13,183.0,1.0,1,0,0
14,207.0,1.0,1,0,0
15,116.0,1.0,1,0,0
16,163.0,1.0,1,0,0
17,223.0,1.0,1,0,0
18,206.0,1.0,1,0,0
19,197.0,1.0,1,0,0
20,172.0,1.0,1,0,0
21,202.0,1.0,1,0,0
22,179.0,1.0,1,0,0
23,185.0,1.0,1,0,0
24,142.0,1.0,1,0,0
25,141.0,1.0,1,0,0
26,191.0,1.0,1,0,0
27,217.0,1.0,1,0,0
28,191.0,1.0,1,0,0
29,189.0,1.0,1,0,0
30,119.0,1.0,1,0,0
31,123.0,1.0,1,0,0
32,253.0,1.0,1,0,0
33,129.0,1.0,1,0,0
34,203.0,1.0,1,0,0
35,221.0,1.0,1,0,0
36,148.0,1.0,1,0,0
37,137.0,1.0,1,0,0
38,129.0,1.0,1,0,0
39,228.0,1.0,1,0,0
40,194.0,1.0,1,0,0
41,159.0,1.0,1,0,0
42,207.0,1.0,1,0,0
43,168.0,1.0,1,0,0
44,172.0,1.0,1,0,0
45,141.0,1.0,1,0,0
46,203.0,1.0,1,0,0
47,211.0,1.0,1,0,0
48,174.0,1.0,1,0,0
49,203.0,1.0,1,0,0
50,160.0,1.0,1,0,0
51,134.0,1.0,1,0,0
52,160.0,1.0,1,0,0
53,214.0,1.0,1,0,0
54,165.0,1.0,1,0,0
55,223.0,1.0,1,0,0
56,223.0,1.0,1,0,0
57,228.0,1.0,1,0,0
58,147.0,1.0,1,0,0
59,171.0,1.0,1,0,0
60,163.0,1.0,1,0,0
61,178.0,1.0,1,0,0
62,119.0,1.0,1,0,0
63,225.0,1.0,1,0,0
64,169.0,1.0,1,0,0
65,178.0,1.0,1,0,0
66,221.0,1.0,1,0,0
67,178.0,1.0,1,0,0
68,159.0,1.0,1,0,0
69,168.0,1.0,1,0,0
70,219.0,1.0,1,0,0
71,221.0,1.0,1,0,0
72,194.0,1.0,1,0,0
73,141.0,1.0,1,0,0
74,163.0,1.0,1,0,0
75,184.0,1.0,1,0,0
76,276.0,1.0,1,0,0
77,158.0,1.0,1,0,0
78,129.0,1.0,1,0,0
79,155.0,1.0,1,0,0
80,181.0,1.0,1,0,0
81,179.0,1.0,1,0,0
82,346.0,1.0,1,0,0
83,131.0,1.0,1,0,0
84,208.0,1.0,1,0,0
85,191.0,1.0,1,0,0
86,203.0,1.0,1,0,0
87,195.0,1.0,1,0,0
88,129.0,1.0,1,0,0
89,187.0,1.0,1,0,0
90,154.0,1.0,1,0,0
91,196.0,1.0,1,0,0
92,148.0,1.0,1,0,0
93,212.0,1.0,1,0,0
94,181.0,1.0,1,0,0
95,143.0,1.0,1,0,0
96,155.0,1.0,1,0,0
97,122.0,1.0,1,0,0
98,134.0,1.0,1,0,0
99,175.0,1.0,1,0,0
0,166.0,1.0,1,0,0
1,165.0,1.0,1,0,0
2,179.0,1.0,1,0,0
3,157.0,1.0,1,0,0
4,156.0,1.0,1,0,0
5,165.0,1.0,1,0,0
6,172.0,1.0,1,0,0
7,123.0,1.0,1,0,0
8,220.0,1.0,1,0,0
9,175.0,1.0,1,0,0
10,146.0,1.0,1,0,0
11,176.0,1.0,1,0,0
12,169.0,1.0,1,0,0
13,166.0,1.0,1,0,0
14,158.0,1.0,1,0,0
15,185.0,1.0,1,0,0
16,201.0,1.0,1,0,0
17,213.0,1.0,1,0,0
18,119.0,1.0,1,0,0
19,123.0,1.0,1,0,0
20,173.0,1.0,1,0,0
21,151.0,1.0,1,0,0
22,155.0,1.0,1,0,0
23,196.0,1.0,1,0,0
24,220.0,1.0,1,0,0
25,220.0,1.0,1,0,0
26,173.0,1.0,1,0,0
27,176.0,1.0,1,0,0
28,154.0,1.0,1,0,0
29,131.0,1.0,1,0,0
30,195.0,1.0,1,0,0
31,169.0,1.0,1,0,0
32,153.0,1.0,1,0,0
33,163.0,1.0,1,0,0
34,155.0,1.0,1,0,0
35,226.0,1.0,1,0,0
36,194.0,1.0,1,0,0
37,187.0,1.0,1,0,0
38,182.0,1.0,1,0,0
39,206.0,1.0,1,0,0
40,158.0,1.0,1,0,0
41,219.0,1.0,1,0,0
42,156.0,1.0,1,0,0
43,165.0,1.0,1,0,0
44,205.0,1.0,1,0,0
45,167.0,1.0,1,0,0
46,117.0,1.0,1,0,0
47,140.0,1.0,1,0,0
48,216.0,1.0,1,0,0
49,147.0,1.0,1,0,0
50,124.0,1.0,1,0,0
51,116.0,1.0,1,0,0
52,135.0,1.0,1,0,0
53,156.0,1.0,1,0,0
54,152.0,1.0,1,0,0
55,142.0,1.0,1,0,0
56,191.0,1.0,1,0,0
57,222.0,1.0,1,0,0
58,117.0,1.0,1,0,0
59,197.0,1.0,1,0,0
60,164.0,1.0,1,0,0
61,187.0,1.0,1,0,0
62,189.0,1.0,1,0,0
63,118.0,1.0,1,0,0
64,166.0,1.0,1,0,0
65,136.0,1.0,1,0,0
66,159.0,1.0,1,0,0
67,179.0,1.0,1,0,0
68,184.0,1.0,1,0,0
69,254.0,1.0,1,0,0
70,129.0,1.0,1,0,0
71,140.0,1.0,1,0,0
72,206.0,1.0,1,0,0
73,217.0,1.0,1,0,0
74,166.0,1.0,1,0,0
75,120.0,1.0,1,0,0
76,136.0,1.0,1,0,0
77,209.0,1.0,1,0,0
78,144.0,1.0,1,0,0
79,134.0,1.0,1,0,0
80,172.0,1.0,1,0,0
81,141.0,1.0,1,0,0
82,186.0,1.0,1,0,0
83,212.0,1.0,1,0,0
84,211.0,1.0,1,0,0
85,118.0,1.0,1,0,0
86,138.0,1.0,1,0,0
87,201.0,1.0,1,0,0
88,220.0,1.0,1,0,0
89,161.0,1.0,1,0,0
90,174.0,1.0,1,0,0
91,149.0,1.0,1,0,0
92,217.0,1.0,1,0,0
93,175.0,1.0,1,0,0
94,215.0,1.0,1,0,0
95,164.0,1.0,1,0,0
96,127.0,1.0,1,0,0
97,163.0,1.0,1,0,0
98,199.0,1.0,1,0,0
