T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
139.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
224.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
140.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
228.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
127.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
136.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
214.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
159.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
148.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
184.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
205.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
134.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
204.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
200.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
188.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
181.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
146.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
132.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
170.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
173.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
158.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
143.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
149.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
122.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
148.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
180.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
134.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
141.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
198.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
124.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
131.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
204.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
143.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
129.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
178.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
172.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
122.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
205.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
194.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
216.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
163.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
125.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
162.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
125.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
121.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
132.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
116.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
185.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
199.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
175.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
158.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
203.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
134.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
161.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
171.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
219.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
194.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
222.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
123.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
188.0,1.0,Baseline,no_trade,Sides,200,False,0.5,1
