T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
194.0,1.0,Baseline,no_trade,Sides,50,False,1,1
159.0,1.0,Baseline,no_trade,Sides,50,False,1,1
124.0,1.0,Baseline,no_trade,Sides,50,False,1,1
224.0,1.0,Baseline,no_trade,Sides,50,False,1,1
175.0,1.0,Baseline,no_trade,Sides,50,False,1,1
227.0,1.0,Baseline,no_trade,Sides,50,False,1,1
209.0,1.0,Baseline,no_trade,Sides,50,False,1,1
229.0,1.0,Baseline,no_trade,Sides,50,False,1,1
229.0,1.0,Baseline,no_trade,Sides,50,False,1,1
127.0,1.0,Baseline,no_trade,Sides,50,False,1,1
162.0,1.0,Baseline,no_trade,Sides,50,False,1,1
196.0,1.0,Baseline,no_trade,Sides,50,False,1,1
121.0,1.0,Baseline,no_trade,Sides,50,False,1,1
164.0,1.0,Baseline,no_trade,Sides,50,False,1,1
145.0,1.0,Baseline,no_trade,Sides,50,False,1,1
132.0,1.0,Baseline,no_trade,Sides,50,False,1,1
145.0,1.0,Baseline,no_trade,Sides,50,False,1,1
151.0,1.0,Baseline,no_trade,Sides,50,False,1,1
193.0,1.0,Baseline,no_trade,Sides,50,False,1,1
120.0,1.0,Baseline,no_trade,Sides,50,False,1,1
195.0,1.0,Baseline,no_trade,Sides,50,False,1,1
194.0,1.0,Baseline,no_trade,Sides,50,False,1,1
225.0,1.0,Baseline,no_trade,Sides,50,False,1,1
213.0,1.0,Baseline,no_trade,Sides,50,False,1,1
152.0,1.0,Baseline,no_trade,Sides,50,False,1,1
221.0,1.0,Baseline,no_trade,Sides,50,False,1,1
140.0,1.0,Baseline,no_trade,Sides,50,False,1,1
223.0,1.0,Baseline,no_trade,Sides,50,False,1,1
125.0,1.0,Baseline,no_trade,Sides,50,False,1,1
211.0,1.0,Baseline,no_trade,Sides,50,False,1,1
212.0,1.0,Baseline,no_trade,Sides,50,False,1,1
151.0,1.0,Baseline,no_trade,Sides,50,False,1,1
164.0,1.0,Baseline,no_trade,Sides,50,False,1,1
169.0,1.0,Baseline,no_trade,Sides,50,False,1,1
133.0,1.0,Baseline,no_trade,Sides,50,False,1,1
118.0,1.0,Baseline,no_trade,Sides,50,False,1,1
202.0,1.0,Baseline,no_trade,Sides,50,False,1,1
190.0,1.0,Baseline,no_trade,Sides,50,False,1,1
163.0,1.0,Baseline,no_trade,Sides,50,False,1,1
162.0,1.0,Baseline,no_trade,Sides,50,False,1,1
147.0,1.0,Baseline,no_trade,Sides,50,False,1,1
182.0,1.0,Baseline,no_trade,Sides,50,False,1,1
142.0,1.0,Baseline,no_trade,Sides,50,False,1,1
213.0,1.0,Baseline,no_trade,Sides,50,False,1,1
153.0,1.0,Baseline,no_trade,Sides,50,False,1,1
187.0,1.0,Baseline,no_trade,Sides,50,False,1,1
200.0,1.0,Baseline,no_trade,Sides,50,False,1,1
159.0,1.0,Baseline,no_trade,Sides,50,False,1,1
221.0,1.0,Baseline,no_trade,Sides,50,False,1,1
156.0,1.0,Baseline,no_trade,Sides,50,False,1,1
