T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
536.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
355.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
388.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
414.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
412.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
393.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
469.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
347.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
314.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
384.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
445.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
384.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
271.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
495.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
272.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
431.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
316.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
326.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
326.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
492.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
382.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
495.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
651.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
267.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
1000.0,0.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
406.0,1.0,Baseline,pathfind_neighbor,Uniform,200,True,0.5,2
