T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
671.0,1.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
526.0,1.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
251.0,1.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
185.0,1.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
750.0,1.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
353.0,1.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
428.0,1.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
662.0,1.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
712.0,1.0,Baseline,random,RandomGrid,100,True,0.8,1
252.0,1.0,Baseline,random,RandomGrid,100,True,0.8,1
387.0,1.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
239.0,1.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
1000.0,0.0,Baseline,random,RandomGrid,100,True,0.8,1
