T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
268.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
354.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
182.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
129.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
532.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
272.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
204.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
191.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
135.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
208.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
194.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
168.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
135.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
182.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
187.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
152.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
140.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
319.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
131.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
224.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
362.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
166.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
165.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
185.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
176.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
193.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
205.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
182.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
130.0,1.0,Market,pathfind_market,RandomGrid,200,True,0.5,2
