,T,E,Trade_random,Trade_search,Trade_market
0,206.0,1.0,0,0,0
1,128.0,1.0,0,0,0
2,138.0,1.0,0,0,0
3,220.0,1.0,0,0,0
4,146.0,1.0,0,0,0
5,189.0,1.0,0,0,0
6,115.0,1.0,0,0,0
7,122.0,1.0,0,0,0
8,144.0,1.0,0,0,0
9,141.0,1.0,0,0,0
10,190.0,1.0,0,0,0
11,118.0,1.0,0,0,0
12,202.0,1.0,0,0,0
13,163.0,1.0,0,0,0
14,179.0,1.0,0,0,0
15,140.0,1.0,0,0,0
16,219.0,1.0,0,0,0
17,229.0,1.0,0,0,0
18,203.0,1.0,0,0,0
19,179.0,1.0,0,0,0
20,154.0,1.0,0,0,0
21,174.0,1.0,0,0,0
22,116.0,1.0,0,0,0
23,135.0,1.0,0,0,0
24,121.0,1.0,0,0,0
25,128.0,1.0,0,0,0
26,122.0,1.0,0,0,0
27,141.0,1.0,0,0,0
28,127.0,1.0,0,0,0
29,205.0,1.0,0,0,0
30,147.0,1.0,0,0,0
31,203.0,1.0,0,0,0
32,123.0,1.0,0,0,0
33,177.0,1.0,0,0,0
34,149.0,1.0,0,0,0
35,222.0,1.0,0,0,0
36,132.0,1.0,0,0,0
37,196.0,1.0,0,0,0
38,227.0,1.0,0,0,0
39,228.0,1.0,0,0,0
40,178.0,1.0,0,0,0
41,145.0,1.0,0,0,0
42,203.0,1.0,0,0,0
43,118.0,1.0,0,0,0
44,181.0,1.0,0,0,0
45,162.0,1.0,0,0,0
46,139.0,1.0,0,0,0
47,171.0,1.0,0,0,0
48,166.0,1.0,0,0,0
49,131.0,1.0,0,0,0
50,148.0,1.0,0,0,0
51,145.0,1.0,0,0,0
52,134.0,1.0,0,0,0
53,160.0,1.0,0,0,0
54,174.0,1.0,0,0,0
55,132.0,1.0,0,0,0
56,170.0,1.0,0,0,0
57,152.0,1.0,0,0,0
58,205.0,1.0,0,0,0
59,161.0,1.0,0,0,0
60,179.0,1.0,0,0,0
61,218.0,1.0,0,0,0
62,155.0,1.0,0,0,0
63,227.0,1.0,0,0,0
64,161.0,1.0,0,0,0
65,212.0,1.0,0,0,0
66,163.0,1.0,0,0,0
67,146.0,1.0,0,0,0
68,216.0,1.0,0,0,0
69,196.0,1.0,0,0,0
70,121.0,1.0,0,0,0
71,152.0,1.0,0,0,0
72,213.0,1.0,0,0,0
73,115.0,1.0,0,0,0
74,202.0,1.0,0,0,0
75,173.0,1.0,0,0,0
76,126.0,1.0,0,0,0
77,137.0,1.0,0,0,0
78,145.0,1.0,0,0,0
79,175.0,1.0,0,0,0
80,221.0,1.0,0,0,0
81,183.0,1.0,0,0,0
82,176.0,1.0,0,0,0
83,128.0,1.0,0,0,0
84,173.0,1.0,0,0,0
85,191.0,1.0,0,0,0
86,183.0,1.0,0,0,0
87,159.0,1.0,0,0,0
88,226.0,1.0,0,0,0
89,139.0,1.0,0,0,0
90,116.0,1.0,0,0,0
91,128.0,1.0,0,0,0
92,220.0,1.0,0,0,0
93,183.0,1.0,0,0,0
94,116.0,1.0,0,0,0
95,125.0,1.0,0,0,0
96,153.0,1.0,0,0,0
97,127.0,1.0,0,0,0
98,209.0,1.0,0,0,0
99,140.0,1.0,0,0,0
100,138.0,1.0,0,0,0
101,143.0,1.0,0,0,0
102,205.0,1.0,0,0,0
103,222.0,1.0,0,0,0
104,204.0,1.0,0,0,0
105,124.0,1.0,0,0,0
106,229.0,1.0,0,0,0
107,159.0,1.0,0,0,0
108,117.0,1.0,0,0,0
109,139.0,1.0,0,0,0
110,144.0,1.0,0,0,0
111,156.0,1.0,0,0,0
112,144.0,1.0,0,0,0
113,138.0,1.0,0,0,0
114,122.0,1.0,0,0,0
115,208.0,1.0,0,0,0
116,131.0,1.0,0,0,0
117,192.0,1.0,0,0,0
118,145.0,1.0,0,0,0
119,141.0,1.0,0,0,0
120,170.0,1.0,0,0,0
121,200.0,1.0,0,0,0
122,148.0,1.0,0,0,0
123,153.0,1.0,0,0,0
124,180.0,1.0,0,0,0
125,184.0,1.0,0,0,0
126,206.0,1.0,0,0,0
127,204.0,1.0,0,0,0
128,148.0,1.0,0,0,0
129,142.0,1.0,0,0,0
130,135.0,1.0,0,0,0
131,119.0,1.0,0,0,0
132,157.0,1.0,0,0,0
133,141.0,1.0,0,0,0
134,216.0,1.0,0,0,0
135,162.0,1.0,0,0,0
136,177.0,1.0,0,0,0
137,132.0,1.0,0,0,0
138,167.0,1.0,0,0,0
139,151.0,1.0,0,0,0
140,179.0,1.0,0,0,0
141,176.0,1.0,0,0,0
142,141.0,1.0,0,0,0
143,169.0,1.0,0,0,0
144,198.0,1.0,0,0,0
145,126.0,1.0,0,0,0
146,120.0,1.0,0,0,0
147,161.0,1.0,0,0,0
148,125.0,1.0,0,0,0
149,116.0,1.0,0,0,0
150,150.0,1.0,0,0,0
151,121.0,1.0,0,0,0
152,170.0,1.0,0,0,0
153,153.0,1.0,0,0,0
154,141.0,1.0,0,0,0
155,167.0,1.0,0,0,0
156,191.0,1.0,0,0,0
157,126.0,1.0,0,0,0
158,201.0,1.0,0,0,0
159,195.0,1.0,0,0,0
160,158.0,1.0,0,0,0
161,202.0,1.0,0,0,0
162,195.0,1.0,0,0,0
163,213.0,1.0,0,0,0
164,118.0,1.0,0,0,0
165,209.0,1.0,0,0,0
166,221.0,1.0,0,0,0
167,126.0,1.0,0,0,0
168,202.0,1.0,0,0,0
169,120.0,1.0,0,0,0
170,188.0,1.0,0,0,0
171,195.0,1.0,0,0,0
172,139.0,1.0,0,0,0
173,169.0,1.0,0,0,0
174,122.0,1.0,0,0,0
175,129.0,1.0,0,0,0
176,143.0,1.0,0,0,0
177,137.0,1.0,0,0,0
178,133.0,1.0,0,0,0
