,T,E,Trade_random,Trade_search,Trade_market
0,194.0,1.0,0,0,0
1,159.0,1.0,0,0,0
2,124.0,1.0,0,0,0
3,224.0,1.0,0,0,0
4,175.0,1.0,0,0,0
5,227.0,1.0,0,0,0
6,209.0,1.0,0,0,0
7,229.0,1.0,0,0,0
8,229.0,1.0,0,0,0
9,127.0,1.0,0,0,0
10,162.0,1.0,0,0,0
11,196.0,1.0,0,0,0
12,121.0,1.0,0,0,0
13,164.0,1.0,0,0,0
14,145.0,1.0,0,0,0
15,132.0,1.0,0,0,0
16,145.0,1.0,0,0,0
17,151.0,1.0,0,0,0
18,193.0,1.0,0,0,0
19,120.0,1.0,0,0,0
20,195.0,1.0,0,0,0
21,194.0,1.0,0,0,0
22,225.0,1.0,0,0,0
23,213.0,1.0,0,0,0
24,152.0,1.0,0,0,0
25,221.0,1.0,0,0,0
26,140.0,1.0,0,0,0
27,223.0,1.0,0,0,0
28,125.0,1.0,0,0,0
29,211.0,1.0,0,0,0
30,212.0,1.0,0,0,0
31,151.0,1.0,0,0,0
32,164.0,1.0,0,0,0
33,169.0,1.0,0,0,0
34,133.0,1.0,0,0,0
35,118.0,1.0,0,0,0
36,202.0,1.0,0,0,0
37,190.0,1.0,0,0,0
38,163.0,1.0,0,0,0
39,162.0,1.0,0,0,0
40,147.0,1.0,0,0,0
41,182.0,1.0,0,0,0
42,142.0,1.0,0,0,0
43,213.0,1.0,0,0,0
44,153.0,1.0,0,0,0
45,187.0,1.0,0,0,0
46,200.0,1.0,0,0,0
47,159.0,1.0,0,0,0
48,221.0,1.0,0,0,0
49,156.0,1.0,0,0,0
0,204.0,1.0,0,0,0
1,193.0,1.0,0,0,0
2,123.0,1.0,0,0,0
3,153.0,1.0,0,0,0
4,137.0,1.0,0,0,0
5,129.0,1.0,0,0,0
6,192.0,1.0,0,0,0
7,215.0,1.0,0,0,0
8,190.0,1.0,0,0,0
9,137.0,1.0,0,0,0
10,172.0,1.0,0,0,0
11,164.0,1.0,0,0,0
12,164.0,1.0,0,0,0
13,164.0,1.0,0,0,0
14,193.0,1.0,0,0,0
15,122.0,1.0,0,0,0
16,180.0,1.0,0,0,0
17,176.0,1.0,0,0,0
18,186.0,1.0,0,0,0
19,137.0,1.0,0,0,0
20,176.0,1.0,0,0,0
21,167.0,1.0,0,0,0
22,219.0,1.0,0,0,0
23,148.0,1.0,0,0,0
24,121.0,1.0,0,0,0
25,215.0,1.0,0,0,0
26,143.0,1.0,0,0,0
27,226.0,1.0,0,0,0
28,196.0,1.0,0,0,0
29,143.0,1.0,0,0,0
30,189.0,1.0,0,0,0
31,162.0,1.0,0,0,0
32,192.0,1.0,0,0,0
33,166.0,1.0,0,0,0
34,168.0,1.0,0,0,0
35,142.0,1.0,0,0,0
36,120.0,1.0,0,0,0
37,137.0,1.0,0,0,0
38,219.0,1.0,0,0,0
39,147.0,1.0,0,0,0
40,139.0,1.0,0,0,0
41,148.0,1.0,0,0,0
42,117.0,1.0,0,0,0
43,638.0,1.0,0,0,0
44,157.0,1.0,0,0,0
45,211.0,1.0,0,0,0
46,166.0,1.0,0,0,0
47,221.0,1.0,0,0,0
48,226.0,1.0,0,0,0
49,200.0,1.0,0,0,0
0,137.0,1.0,0,0,0
1,153.0,1.0,0,0,0
2,217.0,1.0,0,0,0
3,119.0,1.0,0,0,0
4,213.0,1.0,0,0,0
5,126.0,1.0,0,0,0
6,136.0,1.0,0,0,0
7,220.0,1.0,0,0,0
8,136.0,1.0,0,0,0
9,220.0,1.0,0,0,0
10,136.0,1.0,0,0,0
11,150.0,1.0,0,0,0
12,197.0,1.0,0,0,0
13,177.0,1.0,0,0,0
14,226.0,1.0,0,0,0
15,201.0,1.0,0,0,0
16,209.0,1.0,0,0,0
17,170.0,1.0,0,0,0
18,140.0,1.0,0,0,0
19,193.0,1.0,0,0,0
20,184.0,1.0,0,0,0
21,118.0,1.0,0,0,0
22,199.0,1.0,0,0,0
23,117.0,1.0,0,0,0
24,115.0,1.0,0,0,0
25,116.0,1.0,0,0,0
26,141.0,1.0,0,0,0
27,147.0,1.0,0,0,0
28,117.0,1.0,0,0,0
29,166.0,1.0,0,0,0
30,116.0,1.0,0,0,0
31,208.0,1.0,0,0,0
32,191.0,1.0,0,0,0
33,208.0,1.0,0,0,0
34,200.0,1.0,0,0,0
35,151.0,1.0,0,0,0
36,133.0,1.0,0,0,0
37,211.0,1.0,0,0,0
38,220.0,1.0,0,0,0
39,123.0,1.0,0,0,0
40,121.0,1.0,0,0,0
41,344.0,1.0,0,0,0
42,221.0,1.0,0,0,0
43,123.0,1.0,0,0,0
44,147.0,1.0,0,0,0
45,187.0,1.0,0,0,0
46,141.0,1.0,0,0,0
47,122.0,1.0,0,0,0
48,183.0,1.0,0,0,0
49,122.0,1.0,0,0,0
0,145.0,1.0,0,0,0
1,212.0,1.0,0,0,0
2,150.0,1.0,0,0,0
3,123.0,1.0,0,0,0
4,129.0,1.0,0,0,0
5,178.0,1.0,0,0,0
6,195.0,1.0,0,0,0
7,124.0,1.0,0,0,0
8,201.0,1.0,0,0,0
9,132.0,1.0,0,0,0
10,199.0,1.0,0,0,0
11,195.0,1.0,0,0,0
12,123.0,1.0,0,0,0
13,200.0,1.0,0,0,0
14,168.0,1.0,0,0,0
15,168.0,1.0,0,0,0
16,224.0,1.0,0,0,0
17,184.0,1.0,0,0,0
18,176.0,1.0,0,0,0
19,157.0,1.0,0,0,0
20,213.0,1.0,0,0,0
21,157.0,1.0,0,0,0
22,214.0,1.0,0,0,0
23,194.0,1.0,0,0,0
24,193.0,1.0,0,0,0
25,204.0,1.0,0,0,0
26,167.0,1.0,0,0,0
27,178.0,1.0,0,0,0
28,157.0,1.0,0,0,0
29,186.0,1.0,0,0,0
30,145.0,1.0,0,0,0
31,148.0,1.0,0,0,0
32,131.0,1.0,0,0,0
33,117.0,1.0,0,0,0
34,128.0,1.0,0,0,0
35,171.0,1.0,0,0,0
36,149.0,1.0,0,0,0
37,134.0,1.0,0,0,0
38,208.0,1.0,0,0,0
39,191.0,1.0,0,0,0
40,206.0,1.0,0,0,0
41,127.0,1.0,0,0,0
42,149.0,1.0,0,0,0
43,120.0,1.0,0,0,0
44,223.0,1.0,0,0,0
45,173.0,1.0,0,0,0
46,212.0,1.0,0,0,0
47,124.0,1.0,0,0,0
48,149.0,1.0,0,0,0
49,141.0,1.0,0,0,0
0,181.0,1.0,0,0,0
1,161.0,1.0,0,0,0
2,186.0,1.0,0,0,0
3,227.0,1.0,0,0,0
4,128.0,1.0,0,0,0
5,148.0,1.0,0,0,0
6,209.0,1.0,0,0,0
7,147.0,1.0,0,0,0
8,177.0,1.0,0,0,0
9,176.0,1.0,0,0,0
10,159.0,1.0,0,0,0
11,226.0,1.0,0,0,0
12,179.0,1.0,0,0,0
13,218.0,1.0,0,0,0
14,219.0,1.0,0,0,0
15,182.0,1.0,0,0,0
16,167.0,1.0,0,0,0
17,163.0,1.0,0,0,0
18,136.0,1.0,0,0,0
19,183.0,1.0,0,0,0
20,137.0,1.0,0,0,0
21,131.0,1.0,0,0,0
22,214.0,1.0,0,0,0
23,171.0,1.0,0,0,0
24,141.0,1.0,0,0,0
25,127.0,1.0,0,0,0
26,133.0,1.0,0,0,0
27,150.0,1.0,0,0,0
28,221.0,1.0,0,0,0
29,120.0,1.0,0,0,0
30,222.0,1.0,0,0,0
31,140.0,1.0,0,0,0
32,217.0,1.0,0,0,0
33,186.0,1.0,0,0,0
34,150.0,1.0,0,0,0
35,221.0,1.0,0,0,0
36,186.0,1.0,0,0,0
37,116.0,1.0,0,0,0
38,147.0,1.0,0,0,0
39,144.0,1.0,0,0,0
40,183.0,1.0,0,0,0
41,690.0,1.0,0,0,0
42,143.0,1.0,0,0,0
43,138.0,1.0,0,0,0
44,151.0,1.0,0,0,0
45,178.0,1.0,0,0,0
46,129.0,1.0,0,0,0
47,191.0,1.0,0,0,0
48,133.0,1.0,0,0,0
49,151.0,1.0,0,0,0
0,255.0,1.0,1,0,0
1,132.0,1.0,1,0,0
2,185.0,1.0,1,0,0
3,211.0,1.0,1,0,0
4,224.0,1.0,1,0,0
5,228.0,1.0,1,0,0
6,184.0,1.0,1,0,0
7,136.0,1.0,1,0,0
8,179.0,1.0,1,0,0
9,161.0,1.0,1,0,0
10,208.0,1.0,1,0,0
11,166.0,1.0,1,0,0
12,125.0,1.0,1,0,0
13,172.0,1.0,1,0,0
14,172.0,1.0,1,0,0
15,149.0,1.0,1,0,0
16,160.0,1.0,1,0,0
