,T,E,Trade_random,Trade_search,Trade_market
0,1000.0,0.0,0,0,0
1,537.0,1.0,0,0,0
2,1000.0,0.0,0,0,0
3,154.0,1.0,0,0,0
4,1000.0,0.0,0,0,0
5,1000.0,0.0,0,0,0
6,216.0,1.0,0,0,0
7,1000.0,0.0,0,0,0
8,1000.0,0.0,0,0,0
9,136.0,1.0,0,0,0
10,172.0,1.0,0,0,0
11,1000.0,0.0,0,0,0
12,1000.0,0.0,0,0,0
13,476.0,1.0,0,0,0
14,172.0,1.0,0,0,0
15,154.0,1.0,0,0,0
16,1000.0,0.0,0,0,0
17,1000.0,0.0,0,0,0
18,177.0,1.0,0,0,0
19,1000.0,0.0,0,0,0
20,1000.0,0.0,0,0,0
21,129.0,1.0,0,0,0
22,1000.0,0.0,0,0,0
23,1000.0,0.0,0,0,0
24,1000.0,0.0,0,0,0
25,434.0,1.0,0,0,0
26,1000.0,0.0,0,0,0
27,130.0,1.0,0,0,0
28,1000.0,0.0,0,0,0
29,1000.0,0.0,0,0,0
30,217.0,1.0,0,0,0
31,147.0,1.0,0,0,0
32,499.0,1.0,0,0,0
33,1000.0,0.0,0,0,0
34,1000.0,0.0,0,0,0
35,201.0,1.0,0,0,0
36,1000.0,0.0,0,0,0
37,1000.0,0.0,0,0,0
38,371.0,1.0,0,0,0
39,316.0,1.0,0,0,0
40,1000.0,0.0,0,0,0
41,804.0,1.0,0,0,0
42,1000.0,0.0,0,0,0
43,1000.0,0.0,0,0,0
44,1000.0,0.0,0,0,0
45,255.0,1.0,0,0,0
46,151.0,1.0,0,0,0
47,1000.0,0.0,0,0,0
48,1000.0,0.0,0,0,0
49,116.0,1.0,0,0,0
0,1000.0,0.0,0,0,0
1,1000.0,0.0,0,0,0
2,372.0,1.0,0,0,0
3,312.0,1.0,0,0,0
4,1000.0,0.0,0,0,0
5,269.0,1.0,0,0,0
6,478.0,1.0,0,0,0
7,159.0,1.0,0,0,0
8,233.0,1.0,0,0,0
9,1000.0,0.0,0,0,0
