,T,E,Trade_random,Trade_search,Trade_market
0,317.0,1.0,0,0,0
1,338.0,1.0,0,0,0
2,1000.0,0.0,0,0,0
3,307.0,1.0,0,0,0
4,306.0,1.0,0,0,0
5,402.0,1.0,0,0,0
6,333.0,1.0,0,0,0
7,366.0,1.0,0,0,0
8,1000.0,0.0,0,0,0
9,225.0,1.0,0,0,0
10,344.0,1.0,0,0,0
11,620.0,1.0,0,0,0
12,331.0,1.0,0,0,0
13,280.0,1.0,0,0,0
14,314.0,1.0,0,0,0
15,1000.0,0.0,0,0,0
16,268.0,1.0,0,0,0
17,1000.0,0.0,0,0,0
18,1000.0,0.0,0,0,0
19,1000.0,0.0,0,0,0
20,346.0,1.0,0,0,0
21,317.0,1.0,0,0,0
22,345.0,1.0,0,0,0
23,246.0,1.0,0,0,0
24,319.0,1.0,0,0,0
25,248.0,1.0,0,0,0
26,1000.0,0.0,0,0,0
27,386.0,1.0,0,0,0
28,468.0,1.0,0,0,0
29,524.0,1.0,0,0,0
30,1000.0,0.0,0,0,0
31,252.0,1.0,0,0,0
32,339.0,1.0,0,0,0
33,315.0,1.0,0,0,0
34,224.0,1.0,0,0,0
35,452.0,1.0,0,0,0
36,356.0,1.0,0,0,0
37,297.0,1.0,0,0,0
38,336.0,1.0,0,0,0
39,414.0,1.0,0,0,0
40,283.0,1.0,0,0,0
41,304.0,1.0,0,0,0
42,288.0,1.0,0,0,0
43,263.0,1.0,0,0,0
44,386.0,1.0,0,0,0
45,278.0,1.0,0,0,0
46,1000.0,0.0,0,0,0
47,322.0,1.0,0,0,0
48,264.0,1.0,0,0,0
49,369.0,1.0,0,0,0
50,255.0,1.0,0,0,0
51,247.0,1.0,0,0,0
52,1000.0,0.0,0,0,0
53,1000.0,0.0,0,0,0
54,297.0,1.0,0,0,0
55,498.0,1.0,0,0,0
56,1000.0,0.0,0,0,0
57,441.0,1.0,0,0,0
58,1000.0,0.0,0,0,0
59,1000.0,0.0,0,0,0
60,1000.0,0.0,0,0,0
61,258.0,1.0,0,0,0
62,291.0,1.0,0,0,0
63,354.0,1.0,0,0,0
64,239.0,1.0,0,0,0
65,333.0,1.0,0,0,0
66,427.0,1.0,0,0,0
67,243.0,1.0,0,0,0
68,338.0,1.0,0,0,0
69,290.0,1.0,0,0,0
70,319.0,1.0,0,0,0
71,349.0,1.0,0,0,0
72,381.0,1.0,0,0,0
73,250.0,1.0,0,0,0
74,1000.0,0.0,0,0,0
75,285.0,1.0,0,0,0
76,252.0,1.0,0,0,0
