T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
330.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
297.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
204.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
267.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
679.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
298.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
311.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
215.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
316.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
316.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
331.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
186.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
354.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
261.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
598.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
191.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
255.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
601.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
425.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
330.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
375.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
250.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
395.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
370.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
361.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
240.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
356.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
313.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
405.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
336.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
213.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
186.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
336.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
245.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
352.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
784.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
727.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
208.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
260.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
591.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
443.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
194.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
193.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
501.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
270.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
350.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
286.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
384.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
351.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
956.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
171.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
301.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
283.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
235.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
247.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
318.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
180.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
672.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
371.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
288.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
326.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
408.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
348.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
200.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
321.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
210.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
364.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
247.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
276.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
282.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
533.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
220.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
395.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
289.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
370.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
343.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
252.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
354.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
244.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
206.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
268.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
343.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
318.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
691.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
530.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
349.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
399.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
345.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
305.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
289.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
334.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
195.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
391.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
294.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
213.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
344.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
365.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
378.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
126.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
434.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
351.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
349.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
343.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
259.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
315.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
202.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
259.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
418.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
401.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
377.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
220.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
256.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
247.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
228.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
423.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
220.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
291.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
272.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
294.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
362.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
444.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
245.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
459.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
139.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
327.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
320.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
201.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
266.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
221.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
200.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
261.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
237.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
464.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
476.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
402.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
251.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
232.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
153.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
410.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
250.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
299.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
397.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
627.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
272.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
362.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
363.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
220.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
272.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
333.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
227.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
357.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
298.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
288.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
269.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
176.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
575.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
368.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
420.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
285.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
594.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
264.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
241.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
242.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
338.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
386.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
280.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
366.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
475.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
1000.0,0.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
349.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
187.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
254.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
441.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
314.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
473.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
722.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
310.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
252.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
309.0,1.0,Baseline,pathfind_neighbor,RandomGrid,300,True,1,2
