T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
251.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
333.0,1.0,Baseline,random,RandomGrid,200,True,1,3
437.0,1.0,Baseline,random,RandomGrid,200,True,1,3
314.0,1.0,Baseline,random,RandomGrid,200,True,1,3
246.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
405.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
354.0,1.0,Baseline,random,RandomGrid,200,True,1,3
698.0,1.0,Baseline,random,RandomGrid,200,True,1,3
387.0,1.0,Baseline,random,RandomGrid,200,True,1,3
462.0,1.0,Baseline,random,RandomGrid,200,True,1,3
254.0,1.0,Baseline,random,RandomGrid,200,True,1,3
372.0,1.0,Baseline,random,RandomGrid,200,True,1,3
578.0,1.0,Baseline,random,RandomGrid,200,True,1,3
424.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
255.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
356.0,1.0,Baseline,random,RandomGrid,200,True,1,3
353.0,1.0,Baseline,random,RandomGrid,200,True,1,3
383.0,1.0,Baseline,random,RandomGrid,200,True,1,3
315.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
254.0,1.0,Baseline,random,RandomGrid,200,True,1,3
270.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
644.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
500.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
284.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
331.0,1.0,Baseline,random,RandomGrid,200,True,1,3
478.0,1.0,Baseline,random,RandomGrid,200,True,1,3
370.0,1.0,Baseline,random,RandomGrid,200,True,1,3
349.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
366.0,1.0,Baseline,random,RandomGrid,200,True,1,3
254.0,1.0,Baseline,random,RandomGrid,200,True,1,3
397.0,1.0,Baseline,random,RandomGrid,200,True,1,3
162.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
450.0,1.0,Baseline,random,RandomGrid,200,True,1,3
307.0,1.0,Baseline,random,RandomGrid,200,True,1,3
452.0,1.0,Baseline,random,RandomGrid,200,True,1,3
293.0,1.0,Baseline,random,RandomGrid,200,True,1,3
407.0,1.0,Baseline,random,RandomGrid,200,True,1,3
272.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
222.0,1.0,Baseline,random,RandomGrid,200,True,1,3
461.0,1.0,Baseline,random,RandomGrid,200,True,1,3
450.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
377.0,1.0,Baseline,random,RandomGrid,200,True,1,3
403.0,1.0,Baseline,random,RandomGrid,200,True,1,3
218.0,1.0,Baseline,random,RandomGrid,200,True,1,3
314.0,1.0,Baseline,random,RandomGrid,200,True,1,3
326.0,1.0,Baseline,random,RandomGrid,200,True,1,3
454.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
350.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
418.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
191.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
385.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
123.0,1.0,Baseline,random,RandomGrid,200,True,1,3
408.0,1.0,Baseline,random,RandomGrid,200,True,1,3
349.0,1.0,Baseline,random,RandomGrid,200,True,1,3
389.0,1.0,Baseline,random,RandomGrid,200,True,1,3
417.0,1.0,Baseline,random,RandomGrid,200,True,1,3
517.0,1.0,Baseline,random,RandomGrid,200,True,1,3
463.0,1.0,Baseline,random,RandomGrid,200,True,1,3
426.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
266.0,1.0,Baseline,random,RandomGrid,200,True,1,3
313.0,1.0,Baseline,random,RandomGrid,200,True,1,3
265.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
287.0,1.0,Baseline,random,RandomGrid,200,True,1,3
314.0,1.0,Baseline,random,RandomGrid,200,True,1,3
127.0,1.0,Baseline,random,RandomGrid,200,True,1,3
246.0,1.0,Baseline,random,RandomGrid,200,True,1,3
310.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
347.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
864.0,1.0,Baseline,random,RandomGrid,200,True,1,3
218.0,1.0,Baseline,random,RandomGrid,200,True,1,3
416.0,1.0,Baseline,random,RandomGrid,200,True,1,3
598.0,1.0,Baseline,random,RandomGrid,200,True,1,3
194.0,1.0,Baseline,random,RandomGrid,200,True,1,3
1000.0,0.0,Baseline,random,RandomGrid,200,True,1,3
747.0,1.0,Baseline,random,RandomGrid,200,True,1,3
354.0,1.0,Baseline,random,RandomGrid,200,True,1,3
316.0,1.0,Baseline,random,RandomGrid,200,True,1,3
135.0,1.0,Baseline,random,RandomGrid,200,True,1,3
385.0,1.0,Baseline,random,RandomGrid,200,True,1,3
393.0,1.0,Baseline,random,RandomGrid,200,True,1,3
