T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
134.0,1.0,Baseline,random,Sides,100,True,0.5,1
208.0,1.0,Baseline,random,Sides,100,True,0.5,1
149.0,1.0,Baseline,random,Sides,100,True,0.5,1
171.0,1.0,Baseline,random,Sides,100,True,0.5,1
242.0,1.0,Baseline,random,Sides,100,True,0.5,1
143.0,1.0,Baseline,random,Sides,100,True,0.5,1
183.0,1.0,Baseline,random,Sides,100,True,0.5,1
225.0,1.0,Baseline,random,Sides,100,True,0.5,1
186.0,1.0,Baseline,random,Sides,100,True,0.5,1
128.0,1.0,Baseline,random,Sides,100,True,0.5,1
185.0,1.0,Baseline,random,Sides,100,True,0.5,1
117.0,1.0,Baseline,random,Sides,100,True,0.5,1
207.0,1.0,Baseline,random,Sides,100,True,0.5,1
128.0,1.0,Baseline,random,Sides,100,True,0.5,1
171.0,1.0,Baseline,random,Sides,100,True,0.5,1
116.0,1.0,Baseline,random,Sides,100,True,0.5,1
160.0,1.0,Baseline,random,Sides,100,True,0.5,1
151.0,1.0,Baseline,random,Sides,100,True,0.5,1
145.0,1.0,Baseline,random,Sides,100,True,0.5,1
130.0,1.0,Baseline,random,Sides,100,True,0.5,1
132.0,1.0,Baseline,random,Sides,100,True,0.5,1
147.0,1.0,Baseline,random,Sides,100,True,0.5,1
182.0,1.0,Baseline,random,Sides,100,True,0.5,1
196.0,1.0,Baseline,random,Sides,100,True,0.5,1
135.0,1.0,Baseline,random,Sides,100,True,0.5,1
210.0,1.0,Baseline,random,Sides,100,True,0.5,1
155.0,1.0,Baseline,random,Sides,100,True,0.5,1
177.0,1.0,Baseline,random,Sides,100,True,0.5,1
212.0,1.0,Baseline,random,Sides,100,True,0.5,1
210.0,1.0,Baseline,random,Sides,100,True,0.5,1
234.0,1.0,Baseline,random,Sides,100,True,0.5,1
210.0,1.0,Baseline,random,Sides,100,True,0.5,1
156.0,1.0,Baseline,random,Sides,100,True,0.5,1
239.0,1.0,Baseline,random,Sides,100,True,0.5,1
212.0,1.0,Baseline,random,Sides,100,True,0.5,1
174.0,1.0,Baseline,random,Sides,100,True,0.5,1
199.0,1.0,Baseline,random,Sides,100,True,0.5,1
199.0,1.0,Baseline,random,Sides,100,True,0.5,1
159.0,1.0,Baseline,random,Sides,100,True,0.5,1
214.0,1.0,Baseline,random,Sides,100,True,0.5,1
181.0,1.0,Baseline,random,Sides,100,True,0.5,1
201.0,1.0,Baseline,random,Sides,100,True,0.5,1
193.0,1.0,Baseline,random,Sides,100,True,0.5,1
222.0,1.0,Baseline,random,Sides,100,True,0.5,1
219.0,1.0,Baseline,random,Sides,100,True,0.5,1
157.0,1.0,Baseline,random,Sides,100,True,0.5,1
137.0,1.0,Baseline,random,Sides,100,True,0.5,1
198.0,1.0,Baseline,random,Sides,100,True,0.5,1
175.0,1.0,Baseline,random,Sides,100,True,0.5,1
218.0,1.0,Baseline,random,Sides,100,True,0.5,1
152.0,1.0,Baseline,random,Sides,100,True,0.5,1
156.0,1.0,Baseline,random,Sides,100,True,0.5,1
181.0,1.0,Baseline,random,Sides,100,True,0.5,1
166.0,1.0,Baseline,random,Sides,100,True,0.5,1
204.0,1.0,Baseline,random,Sides,100,True,0.5,1
183.0,1.0,Baseline,random,Sides,100,True,0.5,1
182.0,1.0,Baseline,random,Sides,100,True,0.5,1
215.0,1.0,Baseline,random,Sides,100,True,0.5,1
177.0,1.0,Baseline,random,Sides,100,True,0.5,1
180.0,1.0,Baseline,random,Sides,100,True,0.5,1
131.0,1.0,Baseline,random,Sides,100,True,0.5,1
204.0,1.0,Baseline,random,Sides,100,True,0.5,1
163.0,1.0,Baseline,random,Sides,100,True,0.5,1
162.0,1.0,Baseline,random,Sides,100,True,0.5,1
169.0,1.0,Baseline,random,Sides,100,True,0.5,1
131.0,1.0,Baseline,random,Sides,100,True,0.5,1
198.0,1.0,Baseline,random,Sides,100,True,0.5,1
222.0,1.0,Baseline,random,Sides,100,True,0.5,1
208.0,1.0,Baseline,random,Sides,100,True,0.5,1
152.0,1.0,Baseline,random,Sides,100,True,0.5,1
161.0,1.0,Baseline,random,Sides,100,True,0.5,1
211.0,1.0,Baseline,random,Sides,100,True,0.5,1
173.0,1.0,Baseline,random,Sides,100,True,0.5,1
160.0,1.0,Baseline,random,Sides,100,True,0.5,1
127.0,1.0,Baseline,random,Sides,100,True,0.5,1
175.0,1.0,Baseline,random,Sides,100,True,0.5,1
129.0,1.0,Baseline,random,Sides,100,True,0.5,1
222.0,1.0,Baseline,random,Sides,100,True,0.5,1
184.0,1.0,Baseline,random,Sides,100,True,0.5,1
448.0,1.0,Baseline,random,Sides,100,True,0.5,1
185.0,1.0,Baseline,random,Sides,100,True,0.5,1
144.0,1.0,Baseline,random,Sides,100,True,0.5,1
185.0,1.0,Baseline,random,Sides,100,True,0.5,1
225.0,1.0,Baseline,random,Sides,100,True,0.5,1
181.0,1.0,Baseline,random,Sides,100,True,0.5,1
181.0,1.0,Baseline,random,Sides,100,True,0.5,1
196.0,1.0,Baseline,random,Sides,100,True,0.5,1
219.0,1.0,Baseline,random,Sides,100,True,0.5,1
151.0,1.0,Baseline,random,Sides,100,True,0.5,1
197.0,1.0,Baseline,random,Sides,100,True,0.5,1
161.0,1.0,Baseline,random,Sides,100,True,0.5,1
137.0,1.0,Baseline,random,Sides,100,True,0.5,1
152.0,1.0,Baseline,random,Sides,100,True,0.5,1
185.0,1.0,Baseline,random,Sides,100,True,0.5,1
148.0,1.0,Baseline,random,Sides,100,True,0.5,1
154.0,1.0,Baseline,random,Sides,100,True,0.5,1
191.0,1.0,Baseline,random,Sides,100,True,0.5,1
224.0,1.0,Baseline,random,Sides,100,True,0.5,1
138.0,1.0,Baseline,random,Sides,100,True,0.5,1
216.0,1.0,Baseline,random,Sides,100,True,0.5,1
