T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
147.0,1.0,Baseline,random,Sides,300,True,1,5
218.0,1.0,Baseline,random,Sides,300,True,1,5
181.0,1.0,Baseline,random,Sides,300,True,1,5
203.0,1.0,Baseline,random,Sides,300,True,1,5
209.0,1.0,Baseline,random,Sides,300,True,1,5
205.0,1.0,Baseline,random,Sides,300,True,1,5
220.0,1.0,Baseline,random,Sides,300,True,1,5
332.0,1.0,Baseline,random,Sides,300,True,1,5
196.0,1.0,Baseline,random,Sides,300,True,1,5
153.0,1.0,Baseline,random,Sides,300,True,1,5
219.0,1.0,Baseline,random,Sides,300,True,1,5
151.0,1.0,Baseline,random,Sides,300,True,1,5
167.0,1.0,Baseline,random,Sides,300,True,1,5
186.0,1.0,Baseline,random,Sides,300,True,1,5
178.0,1.0,Baseline,random,Sides,300,True,1,5
165.0,1.0,Baseline,random,Sides,300,True,1,5
210.0,1.0,Baseline,random,Sides,300,True,1,5
147.0,1.0,Baseline,random,Sides,300,True,1,5
172.0,1.0,Baseline,random,Sides,300,True,1,5
150.0,1.0,Baseline,random,Sides,300,True,1,5
161.0,1.0,Baseline,random,Sides,300,True,1,5
197.0,1.0,Baseline,random,Sides,300,True,1,5
135.0,1.0,Baseline,random,Sides,300,True,1,5
196.0,1.0,Baseline,random,Sides,300,True,1,5
137.0,1.0,Baseline,random,Sides,300,True,1,5
181.0,1.0,Baseline,random,Sides,300,True,1,5
172.0,1.0,Baseline,random,Sides,300,True,1,5
174.0,1.0,Baseline,random,Sides,300,True,1,5
215.0,1.0,Baseline,random,Sides,300,True,1,5
144.0,1.0,Baseline,random,Sides,300,True,1,5
190.0,1.0,Baseline,random,Sides,300,True,1,5
141.0,1.0,Baseline,random,Sides,300,True,1,5
169.0,1.0,Baseline,random,Sides,300,True,1,5
178.0,1.0,Baseline,random,Sides,300,True,1,5
167.0,1.0,Baseline,random,Sides,300,True,1,5
125.0,1.0,Baseline,random,Sides,300,True,1,5
168.0,1.0,Baseline,random,Sides,300,True,1,5
151.0,1.0,Baseline,random,Sides,300,True,1,5
269.0,1.0,Baseline,random,Sides,300,True,1,5
176.0,1.0,Baseline,random,Sides,300,True,1,5
179.0,1.0,Baseline,random,Sides,300,True,1,5
311.0,1.0,Baseline,random,Sides,300,True,1,5
190.0,1.0,Baseline,random,Sides,300,True,1,5
196.0,1.0,Baseline,random,Sides,300,True,1,5
189.0,1.0,Baseline,random,Sides,300,True,1,5
139.0,1.0,Baseline,random,Sides,300,True,1,5
159.0,1.0,Baseline,random,Sides,300,True,1,5
163.0,1.0,Baseline,random,Sides,300,True,1,5
212.0,1.0,Baseline,random,Sides,300,True,1,5
123.0,1.0,Baseline,random,Sides,300,True,1,5
220.0,1.0,Baseline,random,Sides,300,True,1,5
211.0,1.0,Baseline,random,Sides,300,True,1,5
165.0,1.0,Baseline,random,Sides,300,True,1,5
169.0,1.0,Baseline,random,Sides,300,True,1,5
178.0,1.0,Baseline,random,Sides,300,True,1,5
248.0,1.0,Baseline,random,Sides,300,True,1,5
188.0,1.0,Baseline,random,Sides,300,True,1,5
314.0,1.0,Baseline,random,Sides,300,True,1,5
189.0,1.0,Baseline,random,Sides,300,True,1,5
126.0,1.0,Baseline,random,Sides,300,True,1,5
166.0,1.0,Baseline,random,Sides,300,True,1,5
196.0,1.0,Baseline,random,Sides,300,True,1,5
231.0,1.0,Baseline,random,Sides,300,True,1,5
186.0,1.0,Baseline,random,Sides,300,True,1,5
171.0,1.0,Baseline,random,Sides,300,True,1,5
133.0,1.0,Baseline,random,Sides,300,True,1,5
168.0,1.0,Baseline,random,Sides,300,True,1,5
174.0,1.0,Baseline,random,Sides,300,True,1,5
205.0,1.0,Baseline,random,Sides,300,True,1,5
174.0,1.0,Baseline,random,Sides,300,True,1,5
441.0,1.0,Baseline,random,Sides,300,True,1,5
221.0,1.0,Baseline,random,Sides,300,True,1,5
181.0,1.0,Baseline,random,Sides,300,True,1,5
158.0,1.0,Baseline,random,Sides,300,True,1,5
165.0,1.0,Baseline,random,Sides,300,True,1,5
177.0,1.0,Baseline,random,Sides,300,True,1,5
154.0,1.0,Baseline,random,Sides,300,True,1,5
144.0,1.0,Baseline,random,Sides,300,True,1,5
377.0,1.0,Baseline,random,Sides,300,True,1,5
226.0,1.0,Baseline,random,Sides,300,True,1,5
177.0,1.0,Baseline,random,Sides,300,True,1,5
193.0,1.0,Baseline,random,Sides,300,True,1,5
215.0,1.0,Baseline,random,Sides,300,True,1,5
169.0,1.0,Baseline,random,Sides,300,True,1,5
160.0,1.0,Baseline,random,Sides,300,True,1,5
119.0,1.0,Baseline,random,Sides,300,True,1,5
197.0,1.0,Baseline,random,Sides,300,True,1,5
117.0,1.0,Baseline,random,Sides,300,True,1,5
205.0,1.0,Baseline,random,Sides,300,True,1,5
166.0,1.0,Baseline,random,Sides,300,True,1,5
187.0,1.0,Baseline,random,Sides,300,True,1,5
177.0,1.0,Baseline,random,Sides,300,True,1,5
127.0,1.0,Baseline,random,Sides,300,True,1,5
175.0,1.0,Baseline,random,Sides,300,True,1,5
171.0,1.0,Baseline,random,Sides,300,True,1,5
230.0,1.0,Baseline,random,Sides,300,True,1,5
147.0,1.0,Baseline,random,Sides,300,True,1,5
191.0,1.0,Baseline,random,Sides,300,True,1,5
144.0,1.0,Baseline,random,Sides,300,True,1,5
151.0,1.0,Baseline,random,Sides,300,True,1,5
148.0,1.0,Baseline,random,Sides,300,True,1,5
148.0,1.0,Baseline,random,Sides,300,True,1,5
137.0,1.0,Baseline,random,Sides,300,True,1,5
142.0,1.0,Baseline,random,Sides,300,True,1,5
118.0,1.0,Baseline,random,Sides,300,True,1,5
229.0,1.0,Baseline,random,Sides,300,True,1,5
168.0,1.0,Baseline,random,Sides,300,True,1,5
201.0,1.0,Baseline,random,Sides,300,True,1,5
191.0,1.0,Baseline,random,Sides,300,True,1,5
211.0,1.0,Baseline,random,Sides,300,True,1,5
178.0,1.0,Baseline,random,Sides,300,True,1,5
200.0,1.0,Baseline,random,Sides,300,True,1,5
151.0,1.0,Baseline,random,Sides,300,True,1,5
137.0,1.0,Baseline,random,Sides,300,True,1,5
153.0,1.0,Baseline,random,Sides,300,True,1,5
218.0,1.0,Baseline,random,Sides,300,True,1,5
133.0,1.0,Baseline,random,Sides,300,True,1,5
124.0,1.0,Baseline,random,Sides,300,True,1,5
149.0,1.0,Baseline,random,Sides,300,True,1,5
171.0,1.0,Baseline,random,Sides,300,True,1,5
151.0,1.0,Baseline,random,Sides,300,True,1,5
221.0,1.0,Baseline,random,Sides,300,True,1,5
204.0,1.0,Baseline,random,Sides,300,True,1,5
193.0,1.0,Baseline,random,Sides,300,True,1,5
308.0,1.0,Baseline,random,Sides,300,True,1,5
222.0,1.0,Baseline,random,Sides,300,True,1,5
170.0,1.0,Baseline,random,Sides,300,True,1,5
222.0,1.0,Baseline,random,Sides,300,True,1,5
135.0,1.0,Baseline,random,Sides,300,True,1,5
208.0,1.0,Baseline,random,Sides,300,True,1,5
171.0,1.0,Baseline,random,Sides,300,True,1,5
169.0,1.0,Baseline,random,Sides,300,True,1,5
124.0,1.0,Baseline,random,Sides,300,True,1,5
151.0,1.0,Baseline,random,Sides,300,True,1,5
183.0,1.0,Baseline,random,Sides,300,True,1,5
194.0,1.0,Baseline,random,Sides,300,True,1,5
150.0,1.0,Baseline,random,Sides,300,True,1,5
193.0,1.0,Baseline,random,Sides,300,True,1,5
210.0,1.0,Baseline,random,Sides,300,True,1,5
333.0,1.0,Baseline,random,Sides,300,True,1,5
177.0,1.0,Baseline,random,Sides,300,True,1,5
159.0,1.0,Baseline,random,Sides,300,True,1,5
262.0,1.0,Baseline,random,Sides,300,True,1,5
189.0,1.0,Baseline,random,Sides,300,True,1,5
214.0,1.0,Baseline,random,Sides,300,True,1,5
137.0,1.0,Baseline,random,Sides,300,True,1,5
134.0,1.0,Baseline,random,Sides,300,True,1,5
178.0,1.0,Baseline,random,Sides,300,True,1,5
128.0,1.0,Baseline,random,Sides,300,True,1,5
167.0,1.0,Baseline,random,Sides,300,True,1,5
145.0,1.0,Baseline,random,Sides,300,True,1,5
179.0,1.0,Baseline,random,Sides,300,True,1,5
142.0,1.0,Baseline,random,Sides,300,True,1,5
174.0,1.0,Baseline,random,Sides,300,True,1,5
131.0,1.0,Baseline,random,Sides,300,True,1,5
271.0,1.0,Baseline,random,Sides,300,True,1,5
151.0,1.0,Baseline,random,Sides,300,True,1,5
227.0,1.0,Baseline,random,Sides,300,True,1,5
196.0,1.0,Baseline,random,Sides,300,True,1,5
186.0,1.0,Baseline,random,Sides,300,True,1,5
