T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
527.0,1.0,Baseline,random,Uniform,200,True,0.8,5
508.0,1.0,Baseline,random,Uniform,200,True,0.8,5
412.0,1.0,Baseline,random,Uniform,200,True,0.8,5
434.0,1.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
405.0,1.0,Baseline,random,Uniform,200,True,0.8,5
428.0,1.0,Baseline,random,Uniform,200,True,0.8,5
424.0,1.0,Baseline,random,Uniform,200,True,0.8,5
495.0,1.0,Baseline,random,Uniform,200,True,0.8,5
610.0,1.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
591.0,1.0,Baseline,random,Uniform,200,True,0.8,5
414.0,1.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
503.0,1.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
351.0,1.0,Baseline,random,Uniform,200,True,0.8,5
457.0,1.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
401.0,1.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
485.0,1.0,Baseline,random,Uniform,200,True,0.8,5
518.0,1.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
415.0,1.0,Baseline,random,Uniform,200,True,0.8,5
392.0,1.0,Baseline,random,Uniform,200,True,0.8,5
669.0,1.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
453.0,1.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
530.0,1.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
369.0,1.0,Baseline,random,Uniform,200,True,0.8,5
740.0,1.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
1000.0,0.0,Baseline,random,Uniform,200,True,0.8,5
578.0,1.0,Baseline,random,Uniform,200,True,0.8,5
529.0,1.0,Baseline,random,Uniform,200,True,0.8,5
