T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
378.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
472.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
451.0,1.0,Baseline,random,Uniform,200,True,1,5
736.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
455.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
824.0,1.0,Baseline,random,Uniform,200,True,1,5
637.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
582.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
362.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
388.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
464.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
472.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
364.0,1.0,Baseline,random,Uniform,200,True,1,5
431.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
427.0,1.0,Baseline,random,Uniform,200,True,1,5
539.0,1.0,Baseline,random,Uniform,200,True,1,5
529.0,1.0,Baseline,random,Uniform,200,True,1,5
551.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
704.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
596.0,1.0,Baseline,random,Uniform,200,True,1,5
464.0,1.0,Baseline,random,Uniform,200,True,1,5
546.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
530.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
521.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
523.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
499.0,1.0,Baseline,random,Uniform,200,True,1,5
460.0,1.0,Baseline,random,Uniform,200,True,1,5
541.0,1.0,Baseline,random,Uniform,200,True,1,5
317.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
588.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
515.0,1.0,Baseline,random,Uniform,200,True,1,5
488.0,1.0,Baseline,random,Uniform,200,True,1,5
492.0,1.0,Baseline,random,Uniform,200,True,1,5
450.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
683.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
584.0,1.0,Baseline,random,Uniform,200,True,1,5
356.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
547.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
494.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
430.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
530.0,1.0,Baseline,random,Uniform,200,True,1,5
705.0,1.0,Baseline,random,Uniform,200,True,1,5
452.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
414.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
366.0,1.0,Baseline,random,Uniform,200,True,1,5
516.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
340.0,1.0,Baseline,random,Uniform,200,True,1,5
481.0,1.0,Baseline,random,Uniform,200,True,1,5
389.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
390.0,1.0,Baseline,random,Uniform,200,True,1,5
414.0,1.0,Baseline,random,Uniform,200,True,1,5
458.0,1.0,Baseline,random,Uniform,200,True,1,5
496.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
390.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
484.0,1.0,Baseline,random,Uniform,200,True,1,5
688.0,1.0,Baseline,random,Uniform,200,True,1,5
365.0,1.0,Baseline,random,Uniform,200,True,1,5
556.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
403.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
448.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
478.0,1.0,Baseline,random,Uniform,200,True,1,5
742.0,1.0,Baseline,random,Uniform,200,True,1,5
648.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
358.0,1.0,Baseline,random,Uniform,200,True,1,5
415.0,1.0,Baseline,random,Uniform,200,True,1,5
396.0,1.0,Baseline,random,Uniform,200,True,1,5
415.0,1.0,Baseline,random,Uniform,200,True,1,5
458.0,1.0,Baseline,random,Uniform,200,True,1,5
446.0,1.0,Baseline,random,Uniform,200,True,1,5
416.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
647.0,1.0,Baseline,random,Uniform,200,True,1,5
844.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
468.0,1.0,Baseline,random,Uniform,200,True,1,5
519.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
418.0,1.0,Baseline,random,Uniform,200,True,1,5
377.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
442.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
473.0,1.0,Baseline,random,Uniform,200,True,1,5
605.0,1.0,Baseline,random,Uniform,200,True,1,5
576.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
612.0,1.0,Baseline,random,Uniform,200,True,1,5
506.0,1.0,Baseline,random,Uniform,200,True,1,5
657.0,1.0,Baseline,random,Uniform,200,True,1,5
488.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
462.0,1.0,Baseline,random,Uniform,200,True,1,5
497.0,1.0,Baseline,random,Uniform,200,True,1,5
545.0,1.0,Baseline,random,Uniform,200,True,1,5
377.0,1.0,Baseline,random,Uniform,200,True,1,5
468.0,1.0,Baseline,random,Uniform,200,True,1,5
327.0,1.0,Baseline,random,Uniform,200,True,1,5
522.0,1.0,Baseline,random,Uniform,200,True,1,5
641.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
386.0,1.0,Baseline,random,Uniform,200,True,1,5
555.0,1.0,Baseline,random,Uniform,200,True,1,5
353.0,1.0,Baseline,random,Uniform,200,True,1,5
464.0,1.0,Baseline,random,Uniform,200,True,1,5
376.0,1.0,Baseline,random,Uniform,200,True,1,5
472.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
590.0,1.0,Baseline,random,Uniform,200,True,1,5
496.0,1.0,Baseline,random,Uniform,200,True,1,5
433.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
256.0,1.0,Baseline,random,Uniform,200,True,1,5
683.0,1.0,Baseline,random,Uniform,200,True,1,5
343.0,1.0,Baseline,random,Uniform,200,True,1,5
404.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
391.0,1.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
1000.0,0.0,Baseline,random,Uniform,200,True,1,5
