T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
165.0,1.0,Market,pathfind_market,Sides,200,True,1,3
295.0,1.0,Market,pathfind_market,Sides,200,True,1,3
162.0,1.0,Market,pathfind_market,Sides,200,True,1,3
301.0,1.0,Market,pathfind_market,Sides,200,True,1,3
147.0,1.0,Market,pathfind_market,Sides,200,True,1,3
229.0,1.0,Market,pathfind_market,Sides,200,True,1,3
157.0,1.0,Market,pathfind_market,Sides,200,True,1,3
182.0,1.0,Market,pathfind_market,Sides,200,True,1,3
195.0,1.0,Market,pathfind_market,Sides,200,True,1,3
178.0,1.0,Market,pathfind_market,Sides,200,True,1,3
184.0,1.0,Market,pathfind_market,Sides,200,True,1,3
338.0,1.0,Market,pathfind_market,Sides,200,True,1,3
189.0,1.0,Market,pathfind_market,Sides,200,True,1,3
254.0,1.0,Market,pathfind_market,Sides,200,True,1,3
283.0,1.0,Market,pathfind_market,Sides,200,True,1,3
439.0,1.0,Market,pathfind_market,Sides,200,True,1,3
218.0,1.0,Market,pathfind_market,Sides,200,True,1,3
202.0,1.0,Market,pathfind_market,Sides,200,True,1,3
172.0,1.0,Market,pathfind_market,Sides,200,True,1,3
175.0,1.0,Market,pathfind_market,Sides,200,True,1,3
180.0,1.0,Market,pathfind_market,Sides,200,True,1,3
213.0,1.0,Market,pathfind_market,Sides,200,True,1,3
216.0,1.0,Market,pathfind_market,Sides,200,True,1,3
129.0,1.0,Market,pathfind_market,Sides,200,True,1,3
253.0,1.0,Market,pathfind_market,Sides,200,True,1,3
270.0,1.0,Market,pathfind_market,Sides,200,True,1,3
366.0,1.0,Market,pathfind_market,Sides,200,True,1,3
222.0,1.0,Market,pathfind_market,Sides,200,True,1,3
212.0,1.0,Market,pathfind_market,Sides,200,True,1,3
256.0,1.0,Market,pathfind_market,Sides,200,True,1,3
211.0,1.0,Market,pathfind_market,Sides,200,True,1,3
249.0,1.0,Market,pathfind_market,Sides,200,True,1,3
314.0,1.0,Market,pathfind_market,Sides,200,True,1,3
164.0,1.0,Market,pathfind_market,Sides,200,True,1,3
219.0,1.0,Market,pathfind_market,Sides,200,True,1,3
202.0,1.0,Market,pathfind_market,Sides,200,True,1,3
215.0,1.0,Market,pathfind_market,Sides,200,True,1,3
225.0,1.0,Market,pathfind_market,Sides,200,True,1,3
385.0,1.0,Market,pathfind_market,Sides,200,True,1,3
177.0,1.0,Market,pathfind_market,Sides,200,True,1,3
192.0,1.0,Market,pathfind_market,Sides,200,True,1,3
309.0,1.0,Market,pathfind_market,Sides,200,True,1,3
261.0,1.0,Market,pathfind_market,Sides,200,True,1,3
288.0,1.0,Market,pathfind_market,Sides,200,True,1,3
157.0,1.0,Market,pathfind_market,Sides,200,True,1,3
115.0,1.0,Market,pathfind_market,Sides,200,True,1,3
227.0,1.0,Market,pathfind_market,Sides,200,True,1,3
226.0,1.0,Market,pathfind_market,Sides,200,True,1,3
152.0,1.0,Market,pathfind_market,Sides,200,True,1,3
287.0,1.0,Market,pathfind_market,Sides,200,True,1,3
323.0,1.0,Market,pathfind_market,Sides,200,True,1,3
207.0,1.0,Market,pathfind_market,Sides,200,True,1,3
165.0,1.0,Market,pathfind_market,Sides,200,True,1,3
170.0,1.0,Market,pathfind_market,Sides,200,True,1,3
246.0,1.0,Market,pathfind_market,Sides,200,True,1,3
222.0,1.0,Market,pathfind_market,Sides,200,True,1,3
179.0,1.0,Market,pathfind_market,Sides,200,True,1,3
231.0,1.0,Market,pathfind_market,Sides,200,True,1,3
194.0,1.0,Market,pathfind_market,Sides,200,True,1,3
127.0,1.0,Market,pathfind_market,Sides,200,True,1,3
358.0,1.0,Market,pathfind_market,Sides,200,True,1,3
171.0,1.0,Market,pathfind_market,Sides,200,True,1,3
283.0,1.0,Market,pathfind_market,Sides,200,True,1,3
252.0,1.0,Market,pathfind_market,Sides,200,True,1,3
230.0,1.0,Market,pathfind_market,Sides,200,True,1,3
240.0,1.0,Market,pathfind_market,Sides,200,True,1,3
256.0,1.0,Market,pathfind_market,Sides,200,True,1,3
191.0,1.0,Market,pathfind_market,Sides,200,True,1,3
232.0,1.0,Market,pathfind_market,Sides,200,True,1,3
208.0,1.0,Market,pathfind_market,Sides,200,True,1,3
275.0,1.0,Market,pathfind_market,Sides,200,True,1,3
358.0,1.0,Market,pathfind_market,Sides,200,True,1,3
203.0,1.0,Market,pathfind_market,Sides,200,True,1,3
306.0,1.0,Market,pathfind_market,Sides,200,True,1,3
228.0,1.0,Market,pathfind_market,Sides,200,True,1,3
229.0,1.0,Market,pathfind_market,Sides,200,True,1,3
380.0,1.0,Market,pathfind_market,Sides,200,True,1,3
142.0,1.0,Market,pathfind_market,Sides,200,True,1,3
182.0,1.0,Market,pathfind_market,Sides,200,True,1,3
172.0,1.0,Market,pathfind_market,Sides,200,True,1,3
322.0,1.0,Market,pathfind_market,Sides,200,True,1,3
186.0,1.0,Market,pathfind_market,Sides,200,True,1,3
293.0,1.0,Market,pathfind_market,Sides,200,True,1,3
286.0,1.0,Market,pathfind_market,Sides,200,True,1,3
185.0,1.0,Market,pathfind_market,Sides,200,True,1,3
165.0,1.0,Market,pathfind_market,Sides,200,True,1,3
126.0,1.0,Market,pathfind_market,Sides,200,True,1,3
176.0,1.0,Market,pathfind_market,Sides,200,True,1,3
252.0,1.0,Market,pathfind_market,Sides,200,True,1,3
161.0,1.0,Market,pathfind_market,Sides,200,True,1,3
212.0,1.0,Market,pathfind_market,Sides,200,True,1,3
127.0,1.0,Market,pathfind_market,Sides,200,True,1,3
185.0,1.0,Market,pathfind_market,Sides,200,True,1,3
205.0,1.0,Market,pathfind_market,Sides,200,True,1,3
274.0,1.0,Market,pathfind_market,Sides,200,True,1,3
140.0,1.0,Market,pathfind_market,Sides,200,True,1,3
213.0,1.0,Market,pathfind_market,Sides,200,True,1,3
144.0,1.0,Market,pathfind_market,Sides,200,True,1,3
134.0,1.0,Market,pathfind_market,Sides,200,True,1,3
152.0,1.0,Market,pathfind_market,Sides,200,True,1,3
287.0,1.0,Market,pathfind_market,Sides,200,True,1,3
300.0,1.0,Market,pathfind_market,Sides,200,True,1,3
178.0,1.0,Market,pathfind_market,Sides,200,True,1,3
177.0,1.0,Market,pathfind_market,Sides,200,True,1,3
203.0,1.0,Market,pathfind_market,Sides,200,True,1,3
235.0,1.0,Market,pathfind_market,Sides,200,True,1,3
184.0,1.0,Market,pathfind_market,Sides,200,True,1,3
324.0,1.0,Market,pathfind_market,Sides,200,True,1,3
159.0,1.0,Market,pathfind_market,Sides,200,True,1,3
234.0,1.0,Market,pathfind_market,Sides,200,True,1,3
354.0,1.0,Market,pathfind_market,Sides,200,True,1,3
137.0,1.0,Market,pathfind_market,Sides,200,True,1,3
215.0,1.0,Market,pathfind_market,Sides,200,True,1,3
161.0,1.0,Market,pathfind_market,Sides,200,True,1,3
243.0,1.0,Market,pathfind_market,Sides,200,True,1,3
212.0,1.0,Market,pathfind_market,Sides,200,True,1,3
147.0,1.0,Market,pathfind_market,Sides,200,True,1,3
185.0,1.0,Market,pathfind_market,Sides,200,True,1,3
277.0,1.0,Market,pathfind_market,Sides,200,True,1,3
217.0,1.0,Market,pathfind_market,Sides,200,True,1,3
204.0,1.0,Market,pathfind_market,Sides,200,True,1,3
142.0,1.0,Market,pathfind_market,Sides,200,True,1,3
172.0,1.0,Market,pathfind_market,Sides,200,True,1,3
245.0,1.0,Market,pathfind_market,Sides,200,True,1,3
262.0,1.0,Market,pathfind_market,Sides,200,True,1,3
187.0,1.0,Market,pathfind_market,Sides,200,True,1,3
223.0,1.0,Market,pathfind_market,Sides,200,True,1,3
135.0,1.0,Market,pathfind_market,Sides,200,True,1,3
169.0,1.0,Market,pathfind_market,Sides,200,True,1,3
146.0,1.0,Market,pathfind_market,Sides,200,True,1,3
259.0,1.0,Market,pathfind_market,Sides,200,True,1,3
274.0,1.0,Market,pathfind_market,Sides,200,True,1,3
174.0,1.0,Market,pathfind_market,Sides,200,True,1,3
202.0,1.0,Market,pathfind_market,Sides,200,True,1,3
262.0,1.0,Market,pathfind_market,Sides,200,True,1,3
204.0,1.0,Market,pathfind_market,Sides,200,True,1,3
182.0,1.0,Market,pathfind_market,Sides,200,True,1,3
197.0,1.0,Market,pathfind_market,Sides,200,True,1,3
159.0,1.0,Market,pathfind_market,Sides,200,True,1,3
231.0,1.0,Market,pathfind_market,Sides,200,True,1,3
142.0,1.0,Market,pathfind_market,Sides,200,True,1,3
137.0,1.0,Market,pathfind_market,Sides,200,True,1,3
230.0,1.0,Market,pathfind_market,Sides,200,True,1,3
229.0,1.0,Market,pathfind_market,Sides,200,True,1,3
181.0,1.0,Market,pathfind_market,Sides,200,True,1,3
274.0,1.0,Market,pathfind_market,Sides,200,True,1,3
128.0,1.0,Market,pathfind_market,Sides,200,True,1,3
340.0,1.0,Market,pathfind_market,Sides,200,True,1,3
382.0,1.0,Market,pathfind_market,Sides,200,True,1,3
148.0,1.0,Market,pathfind_market,Sides,200,True,1,3
173.0,1.0,Market,pathfind_market,Sides,200,True,1,3
260.0,1.0,Market,pathfind_market,Sides,200,True,1,3
324.0,1.0,Market,pathfind_market,Sides,200,True,1,3
181.0,1.0,Market,pathfind_market,Sides,200,True,1,3
250.0,1.0,Market,pathfind_market,Sides,200,True,1,3
150.0,1.0,Market,pathfind_market,Sides,200,True,1,3
196.0,1.0,Market,pathfind_market,Sides,200,True,1,3
242.0,1.0,Market,pathfind_market,Sides,200,True,1,3
168.0,1.0,Market,pathfind_market,Sides,200,True,1,3
260.0,1.0,Market,pathfind_market,Sides,200,True,1,3
247.0,1.0,Market,pathfind_market,Sides,200,True,1,3
218.0,1.0,Market,pathfind_market,Sides,200,True,1,3
219.0,1.0,Market,pathfind_market,Sides,200,True,1,3
228.0,1.0,Market,pathfind_market,Sides,200,True,1,3
177.0,1.0,Market,pathfind_market,Sides,200,True,1,3
124.0,1.0,Market,pathfind_market,Sides,200,True,1,3
127.0,1.0,Market,pathfind_market,Sides,200,True,1,3
354.0,1.0,Market,pathfind_market,Sides,200,True,1,3
231.0,1.0,Market,pathfind_market,Sides,200,True,1,3
240.0,1.0,Market,pathfind_market,Sides,200,True,1,3
337.0,1.0,Market,pathfind_market,Sides,200,True,1,3
271.0,1.0,Market,pathfind_market,Sides,200,True,1,3
274.0,1.0,Market,pathfind_market,Sides,200,True,1,3
177.0,1.0,Market,pathfind_market,Sides,200,True,1,3
254.0,1.0,Market,pathfind_market,Sides,200,True,1,3
252.0,1.0,Market,pathfind_market,Sides,200,True,1,3
189.0,1.0,Market,pathfind_market,Sides,200,True,1,3
215.0,1.0,Market,pathfind_market,Sides,200,True,1,3
254.0,1.0,Market,pathfind_market,Sides,200,True,1,3
169.0,1.0,Market,pathfind_market,Sides,200,True,1,3
190.0,1.0,Market,pathfind_market,Sides,200,True,1,3
211.0,1.0,Market,pathfind_market,Sides,200,True,1,3
263.0,1.0,Market,pathfind_market,Sides,200,True,1,3
199.0,1.0,Market,pathfind_market,Sides,200,True,1,3
176.0,1.0,Market,pathfind_market,Sides,200,True,1,3
196.0,1.0,Market,pathfind_market,Sides,200,True,1,3
169.0,1.0,Market,pathfind_market,Sides,200,True,1,3
215.0,1.0,Market,pathfind_market,Sides,200,True,1,3
134.0,1.0,Market,pathfind_market,Sides,200,True,1,3
125.0,1.0,Market,pathfind_market,Sides,200,True,1,3
190.0,1.0,Market,pathfind_market,Sides,200,True,1,3
272.0,1.0,Market,pathfind_market,Sides,200,True,1,3
165.0,1.0,Market,pathfind_market,Sides,200,True,1,3
210.0,1.0,Market,pathfind_market,Sides,200,True,1,3
239.0,1.0,Market,pathfind_market,Sides,200,True,1,3
210.0,1.0,Market,pathfind_market,Sides,200,True,1,3
138.0,1.0,Market,pathfind_market,Sides,200,True,1,3
273.0,1.0,Market,pathfind_market,Sides,200,True,1,3
215.0,1.0,Market,pathfind_market,Sides,200,True,1,3
342.0,1.0,Market,pathfind_market,Sides,200,True,1,3
