,T,E,Trade_random,Trade_search,Trade_market
0,422.0,1.0,0,0,0
1,447.0,1.0,0,0,0
2,249.0,1.0,0,0,0
3,0.0,0.0,0,0,0
4,521.0,1.0,0,0,0
5,360.0,1.0,0,0,0
6,375.0,1.0,0,0,0
7,323.0,1.0,0,0,0
8,0.0,0.0,0,0,0
9,269.0,1.0,0,0,0
10,357.0,1.0,0,0,0
11,369.0,1.0,0,0,0
12,0.0,0.0,0,0,0
13,487.0,1.0,0,0,0
14,357.0,1.0,0,0,0
15,602.0,1.0,0,0,0
16,277.0,1.0,0,0,0
17,597.0,1.0,0,0,0
18,0.0,0.0,0,0,0
19,0.0,0.0,0,0,0
20,592.0,1.0,0,0,0
21,446.0,1.0,0,0,0
22,0.0,0.0,0,0,0
23,324.0,1.0,0,0,0
24,0.0,0.0,0,0,0
25,355.0,1.0,0,0,0
26,207.0,1.0,0,0,0
27,315.0,1.0,0,0,0
28,305.0,1.0,0,0,0
29,342.0,1.0,0,0,0
30,348.0,1.0,0,0,0
31,381.0,1.0,0,0,0
32,308.0,1.0,0,0,0
33,368.0,1.0,0,0,0
34,0.0,0.0,0,0,0
35,358.0,1.0,0,0,0
36,311.0,1.0,0,0,0
37,333.0,1.0,0,0,0
38,0.0,0.0,0,0,0
39,307.0,1.0,0,0,0
40,301.0,1.0,0,0,0
41,429.0,1.0,0,0,0
42,342.0,1.0,0,0,0
43,0.0,0.0,0,0,0
44,0.0,0.0,0,0,0
45,283.0,1.0,0,0,0
46,233.0,1.0,0,0,0
47,385.0,1.0,0,0,0
48,0.0,0.0,0,0,0
49,270.0,1.0,0,0,0
50,231.0,1.0,0,0,0
51,0.0,0.0,0,0,0
52,276.0,1.0,0,0,0
53,282.0,1.0,0,0,0
54,0.0,0.0,0,0,0
55,0.0,0.0,0,0,0
56,312.0,1.0,0,0,0
57,316.0,1.0,0,0,0
58,228.0,1.0,0,0,0
59,219.0,1.0,0,0,0
60,333.0,1.0,0,0,0
61,361.0,1.0,0,0,0
62,320.0,1.0,0,0,0
63,431.0,1.0,0,0,0
64,242.0,1.0,0,0,0
65,333.0,1.0,0,0,0
66,307.0,1.0,0,0,0
67,0.0,0.0,0,0,0
68,0.0,0.0,0,0,0
69,0.0,0.0,0,0,0
70,363.0,1.0,0,0,0
71,447.0,1.0,0,0,0
72,484.0,1.0,0,0,0
73,0.0,0.0,0,0,0
74,364.0,1.0,0,0,0
75,0.0,0.0,0,0,0
76,382.0,1.0,0,0,0
77,317.0,1.0,0,0,0
78,0.0,0.0,0,0,0
79,604.0,1.0,0,0,0
80,350.0,1.0,0,0,0
81,290.0,1.0,0,0,0
82,0.0,0.0,0,0,0
83,359.0,1.0,0,0,0
84,263.0,1.0,0,0,0
85,247.0,1.0,0,0,0
86,0.0,0.0,0,0,0
87,241.0,1.0,0,0,0
88,326.0,1.0,0,0,0
89,294.0,1.0,0,0,0
90,276.0,1.0,0,0,0
91,308.0,1.0,0,0,0
92,346.0,1.0,0,0,0
93,0.0,0.0,0,0,0
94,0.0,0.0,0,0,0
95,271.0,1.0,0,0,0
96,0.0,0.0,0,0,0
97,222.0,1.0,0,0,0
98,307.0,1.0,0,0,0
99,375.0,1.0,0,0,0
100,329.0,1.0,0,0,0
101,401.0,1.0,0,0,0
102,329.0,1.0,0,0,0
103,349.0,1.0,0,0,0
104,283.0,1.0,0,0,0
105,209.0,1.0,0,0,0
106,323.0,1.0,0,0,0
107,259.0,1.0,0,0,0
108,299.0,1.0,0,0,0
109,239.0,1.0,0,0,0
110,402.0,1.0,0,0,0
111,273.0,1.0,0,0,0
112,0.0,0.0,0,0,0
113,0.0,0.0,0,0,0
114,0.0,0.0,0,0,0
115,357.0,1.0,0,0,0
116,0.0,0.0,0,0,0
117,297.0,1.0,0,0,0
118,0.0,0.0,0,0,0
119,366.0,1.0,0,0,0
120,435.0,1.0,0,0,0
121,366.0,1.0,0,0,0
122,431.0,1.0,0,0,0
123,244.0,1.0,0,0,0
124,0.0,0.0,0,0,0
125,0.0,0.0,0,0,0
126,0.0,0.0,0,0,0
127,296.0,1.0,0,0,0
128,308.0,1.0,0,0,0
129,316.0,1.0,0,0,0
130,0.0,0.0,0,0,0
131,0.0,0.0,0,0,0
132,397.0,1.0,0,0,0
133,529.0,1.0,0,0,0
134,377.0,1.0,0,0,0
135,328.0,1.0,0,0,0
136,282.0,1.0,0,0,0
137,454.0,1.0,0,0,0
138,0.0,0.0,0,0,0
139,341.0,1.0,0,0,0
140,0.0,0.0,0,0,0
141,350.0,1.0,0,0,0
142,277.0,1.0,0,0,0
143,376.0,1.0,0,0,0
144,0.0,0.0,0,0,0
145,385.0,1.0,0,0,0
146,314.0,1.0,0,0,0
147,360.0,1.0,0,0,0
148,0.0,0.0,0,0,0
149,0.0,0.0,0,0,0
150,265.0,1.0,0,0,0
151,251.0,1.0,0,0,0
152,378.0,1.0,0,0,0
153,0.0,0.0,0,0,0
154,282.0,1.0,0,0,0
155,264.0,1.0,0,0,0
156,0.0,0.0,0,0,0
157,0.0,0.0,0,0,0
158,269.0,1.0,0,0,0
159,398.0,1.0,0,0,0
160,0.0,0.0,0,0,0
161,0.0,0.0,0,0,0
162,318.0,1.0,0,0,0
163,368.0,1.0,0,0,0
164,515.0,1.0,0,0,0
165,363.0,1.0,0,0,0
166,0.0,0.0,0,0,0
167,341.0,1.0,0,0,0
168,355.0,1.0,0,0,0
169,263.0,1.0,0,0,0
170,0.0,0.0,0,0,0
171,358.0,1.0,0,0,0
172,324.0,1.0,0,0,0
173,0.0,0.0,0,0,0
174,286.0,1.0,0,0,0
175,0.0,0.0,0,0,0
176,309.0,1.0,0,0,0
177,0.0,0.0,0,0,0
178,0.0,0.0,0,0,0
179,291.0,1.0,0,0,0
180,232.0,1.0,0,0,0
181,279.0,1.0,0,0,0
182,337.0,1.0,0,0,0
183,0.0,0.0,0,0,0
184,0.0,0.0,0,0,0
185,242.0,1.0,0,0,0
186,448.0,1.0,0,0,0
187,383.0,1.0,0,0,0
188,507.0,1.0,0,0,0
189,304.0,1.0,0,0,0
190,291.0,1.0,0,0,0
191,438.0,1.0,0,0,0
192,306.0,1.0,0,0,0
193,264.0,1.0,0,0,0
194,0.0,0.0,0,0,0
195,0.0,0.0,0,0,0
196,406.0,1.0,0,0,0
197,263.0,1.0,0,0,0
198,473.0,1.0,0,0,0
199,387.0,1.0,0,0,0
200,253.0,1.0,0,0,0
201,360.0,1.0,0,0,0
202,292.0,1.0,0,0,0
203,0.0,0.0,0,0,0
204,251.0,1.0,0,0,0
205,313.0,1.0,0,0,0
206,253.0,1.0,0,0,0
207,0.0,0.0,0,0,0
208,440.0,1.0,0,0,0
209,260.0,1.0,0,0,0
210,0.0,0.0,0,0,0
211,339.0,1.0,0,0,0
212,493.0,1.0,0,0,0
213,562.0,1.0,0,0,0
214,0.0,0.0,0,0,0
215,298.0,1.0,0,0,0
216,298.0,1.0,0,0,0
217,496.0,1.0,0,0,0
218,281.0,1.0,0,0,0
219,324.0,1.0,0,0,0
220,353.0,1.0,0,0,0
221,264.0,1.0,0,0,0
222,294.0,1.0,0,0,0
223,337.0,1.0,0,0,0
224,278.0,1.0,0,0,0
225,390.0,1.0,0,0,0
226,463.0,1.0,0,0,0
227,0.0,0.0,0,0,0
228,0.0,0.0,0,0,0
229,375.0,1.0,0,0,0
230,273.0,1.0,0,0,0
231,0.0,0.0,0,0,0
232,296.0,1.0,0,0,0
233,349.0,1.0,0,0,0
234,0.0,0.0,0,0,0
235,0.0,0.0,0,0,0
236,315.0,1.0,0,0,0
237,0.0,0.0,0,0,0
238,228.0,1.0,0,0,0
239,404.0,1.0,0,0,0
240,284.0,1.0,0,0,0
241,386.0,1.0,0,0,0
242,468.0,1.0,0,0,0
243,324.0,1.0,0,0,0
244,326.0,1.0,0,0,0
245,339.0,1.0,0,0,0
246,310.0,1.0,0,0,0
247,384.0,1.0,0,0,0
248,466.0,1.0,0,0,0
249,310.0,1.0,0,0,0
250,0.0,0.0,0,0,0
251,261.0,1.0,0,0,0
252,324.0,1.0,0,0,0
253,350.0,1.0,0,0,0
254,282.0,1.0,0,0,0
255,346.0,1.0,0,0,0
256,273.0,1.0,0,0,0
257,384.0,1.0,0,0,0
258,323.0,1.0,0,0,0
259,264.0,1.0,0,0,0
260,0.0,0.0,0,0,0
261,296.0,1.0,0,0,0
262,0.0,0.0,0,0,0
263,327.0,1.0,0,0,0
264,0.0,0.0,0,0,0
265,232.0,1.0,0,0,0
266,0.0,0.0,0,0,0
267,244.0,1.0,0,0,0
268,0.0,0.0,0,0,0
269,0.0,0.0,0,0,0
270,326.0,1.0,0,0,0
271,331.0,1.0,0,0,0
272,299.0,1.0,0,0,0
273,279.0,1.0,0,0,0
274,284.0,1.0,0,0,0
275,291.0,1.0,0,0,0
276,292.0,1.0,0,0,0
277,0.0,0.0,0,0,0
278,305.0,1.0,0,0,0
279,312.0,1.0,0,0,0
280,557.0,1.0,0,0,0
281,265.0,1.0,0,0,0
282,258.0,1.0,0,0,0
283,197.0,1.0,0,0,0
284,432.0,1.0,0,0,0
285,271.0,1.0,0,0,0
286,0.0,0.0,0,0,0
287,284.0,1.0,0,0,0
288,290.0,1.0,0,0,0
289,266.0,1.0,0,0,0
290,0.0,0.0,0,0,0
291,369.0,1.0,0,0,0
292,284.0,1.0,0,0,0
293,391.0,1.0,0,0,0
294,339.0,1.0,0,0,0
295,255.0,1.0,0,0,0
296,267.0,1.0,0,0,0
297,0.0,0.0,0,0,0
298,0.0,0.0,0,0,0
299,283.0,1.0,0,0,0
0,0.0,0.0,0,0,0
1,0.0,0.0,0,0,0
2,400.0,1.0,0,0,0
3,233.0,1.0,0,0,0
4,0.0,0.0,0,0,0
5,330.0,1.0,0,0,0
6,280.0,1.0,0,0,0
7,317.0,1.0,0,0,0
8,0.0,0.0,0,0,0
9,306.0,1.0,0,0,0
10,0.0,0.0,0,0,0
11,274.0,1.0,0,0,0
12,245.0,1.0,0,0,0
13,209.0,1.0,0,0,0
14,379.0,1.0,0,0,0
15,0.0,0.0,0,0,0
16,244.0,1.0,0,0,0
17,0.0,0.0,0,0,0
18,291.0,1.0,0,0,0
19,317.0,1.0,0,0,0
20,0.0,0.0,0,0,0
21,383.0,1.0,0,0,0
22,0.0,0.0,0,0,0
23,0.0,0.0,0,0,0
24,287.0,1.0,0,0,0
25,0.0,0.0,0,0,0
26,335.0,1.0,0,0,0
27,389.0,1.0,0,0,0
28,256.0,1.0,0,0,0
29,534.0,1.0,0,0,0
30,0.0,0.0,0,0,0
31,0.0,0.0,0,0,0
32,0.0,0.0,0,0,0
33,300.0,1.0,0,0,0
34,291.0,1.0,0,0,0
35,356.0,1.0,0,0,0
36,360.0,1.0,0,0,0
37,326.0,1.0,0,0,0
38,286.0,1.0,0,0,0
39,0.0,0.0,0,0,0
40,0.0,0.0,0,0,0
41,331.0,1.0,0,0,0
42,258.0,1.0,0,0,0
43,374.0,1.0,0,0,0
44,350.0,1.0,0,0,0
45,382.0,1.0,0,0,0
46,0.0,0.0,0,0,0
47,287.0,1.0,0,0,0
48,278.0,1.0,0,0,0
49,288.0,1.0,0,0,0
50,329.0,1.0,0,0,0
51,265.0,1.0,0,0,0
52,0.0,0.0,0,0,0
53,0.0,0.0,0,0,0
54,0.0,0.0,0,0,0
55,334.0,1.0,0,0,0
56,284.0,1.0,0,0,0
57,296.0,1.0,0,0,0
58,327.0,1.0,0,0,0
59,0.0,0.0,0,0,0
60,427.0,1.0,0,0,0
61,269.0,1.0,0,0,0
62,410.0,1.0,0,0,0
63,382.0,1.0,0,0,0
64,0.0,0.0,0,0,0
65,261.0,1.0,0,0,0
66,0.0,0.0,0,0,0
67,273.0,1.0,0,0,0
68,0.0,0.0,0,0,0
69,0.0,0.0,0,0,0
70,0.0,0.0,0,0,0
71,0.0,0.0,0,0,0
72,297.0,1.0,0,0,0
73,318.0,1.0,0,0,0
74,0.0,0.0,0,0,0
75,0.0,0.0,0,0,0
76,335.0,1.0,0,0,0
77,309.0,1.0,0,0,0
78,307.0,1.0,0,0,0
79,440.0,1.0,0,0,0
80,0.0,0.0,0,0,0
81,412.0,1.0,0,0,0
82,343.0,1.0,0,0,0
83,301.0,1.0,0,0,0
84,336.0,1.0,0,0,0
85,369.0,1.0,0,0,0
86,236.0,1.0,0,0,0
87,289.0,1.0,0,0,0
88,367.0,1.0,0,0,0
89,373.0,1.0,0,0,0
90,304.0,1.0,0,0,0
91,325.0,1.0,0,0,0
92,262.0,1.0,0,0,0
93,0.0,0.0,0,0,0
94,0.0,0.0,0,0,0
95,328.0,1.0,0,0,0
96,421.0,1.0,0,0,0
97,303.0,1.0,0,0,0
98,339.0,1.0,0,0,0
99,370.0,1.0,0,0,0
100,0.0,0.0,0,0,0
101,368.0,1.0,0,0,0
102,307.0,1.0,0,0,0
103,562.0,1.0,0,0,0
104,413.0,1.0,0,0,0
105,309.0,1.0,0,0,0
106,0.0,0.0,0,0,0
107,250.0,1.0,0,0,0
108,374.0,1.0,0,0,0
109,0.0,0.0,0,0,0
110,329.0,1.0,0,0,0
111,277.0,1.0,0,0,0
112,0.0,0.0,0,0,0
113,343.0,1.0,0,0,0
114,280.0,1.0,0,0,0
115,0.0,0.0,0,0,0
116,446.0,1.0,0,0,0
117,0.0,0.0,0,0,0
118,0.0,0.0,0,0,0
119,311.0,1.0,0,0,0
120,284.0,1.0,0,0,0
121,445.0,1.0,0,0,0
122,342.0,1.0,0,0,0
123,338.0,1.0,0,0,0
124,226.0,1.0,0,0,0
125,0.0,0.0,0,0,0
126,361.0,1.0,0,0,0
127,375.0,1.0,0,0,0
128,277.0,1.0,0,0,0
129,0.0,0.0,0,0,0
130,472.0,1.0,0,0,0
131,0.0,0.0,0,0,0
132,390.0,1.0,0,0,0
133,0.0,0.0,0,0,0
134,422.0,1.0,0,0,0
135,0.0,0.0,0,0,0
136,324.0,1.0,0,0,0
137,268.0,1.0,0,0,0
138,325.0,1.0,0,0,0
139,518.0,1.0,0,0,0
140,0.0,0.0,0,0,0
141,472.0,1.0,0,0,0
142,0.0,0.0,0,0,0
143,334.0,1.0,0,0,0
144,325.0,1.0,0,0,0
145,307.0,1.0,0,0,0
146,312.0,1.0,0,0,0
147,272.0,1.0,0,0,0
148,0.0,0.0,0,0,0
149,245.0,1.0,0,0,0
150,335.0,1.0,0,0,0
151,368.0,1.0,0,0,0
152,0.0,0.0,0,0,0
153,358.0,1.0,0,0,0
154,291.0,1.0,0,0,0
155,0.0,0.0,0,0,0
156,314.0,1.0,0,0,0
157,309.0,1.0,0,0,0
158,253.0,1.0,0,0,0
159,306.0,1.0,0,0,0
160,368.0,1.0,0,0,0
161,339.0,1.0,0,0,0
162,295.0,1.0,0,0,0
163,272.0,1.0,0,0,0
164,318.0,1.0,0,0,0
165,306.0,1.0,0,0,0
166,313.0,1.0,0,0,0
167,0.0,0.0,0,0,0
168,348.0,1.0,0,0,0
169,0.0,0.0,0,0,0
170,233.0,1.0,0,0,0
171,323.0,1.0,0,0,0
172,0.0,0.0,0,0,0
173,380.0,1.0,0,0,0
174,366.0,1.0,0,0,0
175,369.0,1.0,0,0,0
176,0.0,0.0,0,0,0
177,373.0,1.0,0,0,0
178,277.0,1.0,0,0,0
179,0.0,0.0,0,0,0
180,0.0,0.0,0,0,0
181,213.0,1.0,0,0,0
182,0.0,0.0,0,0,0
183,353.0,1.0,0,0,0
184,305.0,1.0,0,0,0
185,335.0,1.0,0,0,0
186,262.0,1.0,0,0,0
187,0.0,0.0,0,0,0
188,286.0,1.0,0,0,0
189,341.0,1.0,0,0,0
190,296.0,1.0,0,0,0
191,306.0,1.0,0,0,0
192,262.0,1.0,0,0,0
193,329.0,1.0,0,0,0
194,324.0,1.0,0,0,0
195,393.0,1.0,0,0,0
196,302.0,1.0,0,0,0
197,265.0,1.0,0,0,0
198,297.0,1.0,0,0,0
199,380.0,1.0,0,0,0
200,269.0,1.0,0,0,0
201,253.0,1.0,0,0,0
202,337.0,1.0,0,0,0
203,339.0,1.0,0,0,0
204,258.0,1.0,0,0,0
205,663.0,1.0,0,0,0
206,316.0,1.0,0,0,0
207,0.0,0.0,0,0,0
208,426.0,1.0,0,0,0
209,0.0,0.0,0,0,0
210,290.0,1.0,0,0,0
211,398.0,1.0,0,0,0
212,455.0,1.0,0,0,0
213,327.0,1.0,0,0,0
214,273.0,1.0,0,0,0
215,245.0,1.0,0,0,0
216,492.0,1.0,0,0,0
217,225.0,1.0,0,0,0
218,325.0,1.0,0,0,0
219,313.0,1.0,0,0,0
220,348.0,1.0,0,0,0
221,345.0,1.0,0,0,0
222,0.0,0.0,0,0,0
223,314.0,1.0,0,0,0
224,285.0,1.0,0,0,0
225,267.0,1.0,0,0,0
226,320.0,1.0,0,0,0
227,378.0,1.0,0,0,0
228,276.0,1.0,0,0,0
229,0.0,0.0,0,0,0
230,309.0,1.0,0,0,0
231,263.0,1.0,0,0,0
232,343.0,1.0,0,0,0
233,0.0,0.0,0,0,0
234,400.0,1.0,0,0,0
235,0.0,0.0,0,0,0
236,839.0,1.0,0,0,0
237,0.0,0.0,0,0,0
238,257.0,1.0,0,0,0
239,0.0,0.0,0,0,0
240,384.0,1.0,0,0,0
241,299.0,1.0,0,0,0
242,392.0,1.0,0,0,0
243,288.0,1.0,0,0,0
244,301.0,1.0,0,0,0
245,308.0,1.0,0,0,0
246,345.0,1.0,0,0,0
247,0.0,0.0,0,0,0
248,310.0,1.0,0,0,0
249,296.0,1.0,0,0,0
250,285.0,1.0,0,0,0
251,380.0,1.0,0,0,0
252,0.0,0.0,0,0,0
253,342.0,1.0,0,0,0
254,428.0,1.0,0,0,0
255,375.0,1.0,0,0,0
256,327.0,1.0,0,0,0
257,383.0,1.0,0,0,0
258,422.0,1.0,0,0,0
259,0.0,0.0,0,0,0
260,313.0,1.0,0,0,0
261,0.0,0.0,0,0,0
262,235.0,1.0,0,0,0
263,285.0,1.0,0,0,0
264,282.0,1.0,0,0,0
265,0.0,0.0,0,0,0
266,340.0,1.0,0,0,0
267,0.0,0.0,0,0,0
268,239.0,1.0,0,0,0
269,330.0,1.0,0,0,0
270,653.0,1.0,0,0,0
271,206.0,1.0,0,0,0
272,389.0,1.0,0,0,0
273,305.0,1.0,0,0,0
274,222.0,1.0,0,0,0
275,342.0,1.0,0,0,0
276,277.0,1.0,0,0,0
277,0.0,0.0,0,0,0
278,265.0,1.0,0,0,0
279,371.0,1.0,0,0,0
280,326.0,1.0,0,0,0
281,301.0,1.0,0,0,0
282,459.0,1.0,0,0,0
283,0.0,0.0,0,0,0
284,255.0,1.0,0,0,0
285,0.0,0.0,0,0,0
286,311.0,1.0,0,0,0
287,0.0,0.0,0,0,0
288,311.0,1.0,0,0,0
289,295.0,1.0,0,0,0
290,380.0,1.0,0,0,0
291,270.0,1.0,0,0,0
292,318.0,1.0,0,0,0
293,375.0,1.0,0,0,0
294,342.0,1.0,0,0,0
295,0.0,0.0,0,0,0
296,306.0,1.0,0,0,0
297,341.0,1.0,0,0,0
298,320.0,1.0,0,0,0
299,261.0,1.0,0,0,0
0,314.0,1.0,0,0,0
1,270.0,1.0,0,0,0
2,0.0,0.0,0,0,0
3,0.0,0.0,0,0,0
4,263.0,1.0,0,0,0
5,320.0,1.0,0,0,0
6,348.0,1.0,0,0,0
7,0.0,0.0,0,0,0
8,388.0,1.0,0,0,0
9,366.0,1.0,0,0,0
10,319.0,1.0,0,0,0
11,322.0,1.0,0,0,0
12,0.0,0.0,0,0,0
13,434.0,1.0,0,0,0
14,0.0,0.0,0,0,0
15,336.0,1.0,0,0,0
16,447.0,1.0,0,0,0
17,191.0,1.0,0,0,0
18,343.0,1.0,0,0,0
19,278.0,1.0,0,0,0
20,281.0,1.0,0,0,0
21,382.0,1.0,0,0,0
22,490.0,1.0,0,0,0
23,256.0,1.0,0,0,0
24,303.0,1.0,0,0,0
25,0.0,0.0,0,0,0
26,279.0,1.0,0,0,0
27,318.0,1.0,0,0,0
28,359.0,1.0,0,0,0
29,308.0,1.0,0,0,0
30,273.0,1.0,0,0,0
31,319.0,1.0,0,0,0
32,274.0,1.0,0,0,0
33,408.0,1.0,0,0,0
34,295.0,1.0,0,0,0
35,239.0,1.0,0,0,0
36,343.0,1.0,0,0,0
37,305.0,1.0,0,0,0
38,327.0,1.0,0,0,0
39,243.0,1.0,0,0,0
40,0.0,0.0,0,0,0
41,360.0,1.0,0,0,0
42,0.0,0.0,0,0,0
43,292.0,1.0,0,0,0
44,0.0,0.0,0,0,0
45,0.0,0.0,0,0,0
46,0.0,0.0,0,0,0
47,273.0,1.0,0,0,0
48,317.0,1.0,0,0,0
49,279.0,1.0,0,0,0
50,468.0,1.0,0,0,0
51,0.0,0.0,0,0,0
52,0.0,0.0,0,0,0
53,305.0,1.0,0,0,0
54,0.0,0.0,0,0,0
55,0.0,0.0,0,0,0
56,402.0,1.0,0,0,0
57,0.0,0.0,0,0,0
58,266.0,1.0,0,0,0
59,312.0,1.0,0,0,0
60,0.0,0.0,0,0,0
61,0.0,0.0,0,0,0
62,247.0,1.0,0,0,0
63,414.0,1.0,0,0,0
64,349.0,1.0,0,0,0
65,315.0,1.0,0,0,0
66,291.0,1.0,0,0,0
67,367.0,1.0,0,0,0
68,353.0,1.0,0,0,0
69,0.0,0.0,0,0,0
70,491.0,1.0,0,0,0
71,329.0,1.0,0,0,0
72,321.0,1.0,0,0,0
73,383.0,1.0,0,0,0
74,0.0,0.0,0,0,0
75,325.0,1.0,0,0,0
76,407.0,1.0,0,0,0
77,274.0,1.0,0,0,0
78,326.0,1.0,0,0,0
79,346.0,1.0,0,0,0
80,211.0,1.0,0,0,0
81,0.0,0.0,0,0,0
82,374.0,1.0,0,0,0
83,312.0,1.0,0,0,0
84,0.0,0.0,0,0,0
85,0.0,0.0,0,0,0
86,0.0,0.0,0,0,0
87,278.0,1.0,0,0,0
88,370.0,1.0,0,0,0
89,0.0,0.0,0,0,0
90,365.0,1.0,0,0,0
91,444.0,1.0,0,0,0
92,346.0,1.0,0,0,0
93,281.0,1.0,0,0,0
94,243.0,1.0,0,0,0
95,250.0,1.0,0,0,0
96,462.0,1.0,0,0,0
97,288.0,1.0,0,0,0
98,0.0,0.0,0,0,0
99,355.0,1.0,0,0,0
100,360.0,1.0,0,0,0
101,324.0,1.0,0,0,0
102,0.0,0.0,0,0,0
103,335.0,1.0,0,0,0
104,433.0,1.0,0,0,0
105,292.0,1.0,0,0,0
106,0.0,0.0,0,0,0
107,0.0,0.0,0,0,0
108,328.0,1.0,0,0,0
109,0.0,0.0,0,0,0
110,0.0,0.0,0,0,0
111,0.0,0.0,0,0,0
112,381.0,1.0,0,0,0
113,369.0,1.0,0,0,0
114,319.0,1.0,0,0,0
115,327.0,1.0,0,0,0
116,0.0,0.0,0,0,0
117,0.0,0.0,0,0,0
118,0.0,0.0,0,0,0
119,310.0,1.0,0,0,0
120,325.0,1.0,0,0,0
121,0.0,0.0,0,0,0
122,301.0,1.0,0,0,0
123,458.0,1.0,0,0,0
124,350.0,1.0,0,0,0
125,368.0,1.0,0,0,0
126,0.0,0.0,0,0,0
127,471.0,1.0,0,0,0
128,292.0,1.0,0,0,0
129,253.0,1.0,0,0,0
130,325.0,1.0,0,0,0
131,331.0,1.0,0,0,0
