T,E,Agent_type,Scenario,Trading,RUN_NUMBER
101.0,1.0,pathfind_neighbor,Baseline,True,2
168.0,1.0,pathfind_neighbor,Baseline,True,2
122.0,1.0,pathfind_neighbor,Baseline,True,2
228.0,1.0,pathfind_neighbor,Baseline,True,2
162.0,1.0,pathfind_neighbor,Baseline,True,2
147.0,1.0,pathfind_neighbor,Baseline,True,2
208.0,1.0,pathfind_neighbor,Baseline,True,2
200.0,1.0,pathfind_neighbor,Baseline,True,2
174.0,1.0,pathfind_neighbor,Baseline,True,2
130.0,1.0,pathfind_neighbor,Baseline,True,2
101.0,1.0,pathfind_neighbor,Baseline,True,2
121.0,1.0,pathfind_neighbor,Baseline,True,2
222.0,1.0,pathfind_neighbor,Baseline,True,2
101.0,1.0,pathfind_neighbor,Baseline,True,2
148.0,1.0,pathfind_neighbor,Baseline,True,2
175.0,1.0,pathfind_neighbor,Baseline,True,2
101.0,1.0,pathfind_neighbor,Baseline,True,2
125.0,1.0,pathfind_neighbor,Baseline,True,2
173.0,1.0,pathfind_neighbor,Baseline,True,2
157.0,1.0,pathfind_neighbor,Baseline,True,2
116.0,1.0,pathfind_neighbor,Baseline,True,2
101.0,1.0,pathfind_neighbor,Baseline,True,2
245.0,1.0,pathfind_neighbor,Baseline,True,2
170.0,1.0,pathfind_neighbor,Baseline,True,2
141.0,1.0,pathfind_neighbor,Baseline,True,2
121.0,1.0,pathfind_neighbor,Baseline,True,2
219.0,1.0,pathfind_neighbor,Baseline,True,2
212.0,1.0,pathfind_neighbor,Baseline,True,2
139.0,1.0,pathfind_neighbor,Baseline,True,2
115.0,1.0,pathfind_neighbor,Baseline,True,2
238.0,1.0,pathfind_neighbor,Baseline,True,2
200.0,1.0,pathfind_neighbor,Baseline,True,2
159.0,1.0,pathfind_neighbor,Baseline,True,2
129.0,1.0,pathfind_neighbor,Baseline,True,2
214.0,1.0,pathfind_neighbor,Baseline,True,2
111.0,1.0,pathfind_neighbor,Baseline,True,2
186.0,1.0,pathfind_neighbor,Baseline,True,2
175.0,1.0,pathfind_neighbor,Baseline,True,2
164.0,1.0,pathfind_neighbor,Baseline,True,2
211.0,1.0,pathfind_neighbor,Baseline,True,2
245.0,1.0,pathfind_neighbor,Baseline,True,2
167.0,1.0,pathfind_neighbor,Baseline,True,2
133.0,1.0,pathfind_neighbor,Baseline,True,2
255.0,1.0,pathfind_neighbor,Baseline,True,2
244.0,1.0,pathfind_neighbor,Baseline,True,2
101.0,1.0,pathfind_neighbor,Baseline,True,2
150.0,1.0,pathfind_neighbor,Baseline,True,2
131.0,1.0,pathfind_neighbor,Baseline,True,2
124.0,1.0,pathfind_neighbor,Baseline,True,2
210.0,1.0,pathfind_neighbor,Baseline,True,2
