T,E,Agent_type,Scenario,Trading,RUN_NUMBER
234.0,1.0,pathfind_neighbor,Baseline,True,2
133.0,1.0,pathfind_neighbor,Baseline,True,2
125.0,1.0,pathfind_neighbor,Baseline,True,2
136.0,1.0,pathfind_neighbor,Baseline,True,2
245.0,1.0,pathfind_neighbor,Baseline,True,2
148.0,1.0,pathfind_neighbor,Baseline,True,2
235.0,1.0,pathfind_neighbor,Baseline,True,2
146.0,1.0,pathfind_neighbor,Baseline,True,2
162.0,1.0,pathfind_neighbor,Baseline,True,2
164.0,1.0,pathfind_neighbor,Baseline,True,2
121.0,1.0,pathfind_neighbor,Baseline,True,2
221.0,1.0,pathfind_neighbor,Baseline,True,2
230.0,1.0,pathfind_neighbor,Baseline,True,2
170.0,1.0,pathfind_neighbor,Baseline,True,2
200.0,1.0,pathfind_neighbor,Baseline,True,2
134.0,1.0,pathfind_neighbor,Baseline,True,2
163.0,1.0,pathfind_neighbor,Baseline,True,2
162.0,1.0,pathfind_neighbor,Baseline,True,2
165.0,1.0,pathfind_neighbor,Baseline,True,2
131.0,1.0,pathfind_neighbor,Baseline,True,2
134.0,1.0,pathfind_neighbor,Baseline,True,2
213.0,1.0,pathfind_neighbor,Baseline,True,2
130.0,1.0,pathfind_neighbor,Baseline,True,2
145.0,1.0,pathfind_neighbor,Baseline,True,2
121.0,1.0,pathfind_neighbor,Baseline,True,2
171.0,1.0,pathfind_neighbor,Baseline,True,2
115.0,1.0,pathfind_neighbor,Baseline,True,2
219.0,1.0,pathfind_neighbor,Baseline,True,2
241.0,1.0,pathfind_neighbor,Baseline,True,2
172.0,1.0,pathfind_neighbor,Baseline,True,2
197.0,1.0,pathfind_neighbor,Baseline,True,2
159.0,1.0,pathfind_neighbor,Baseline,True,2
211.0,1.0,pathfind_neighbor,Baseline,True,2
181.0,1.0,pathfind_neighbor,Baseline,True,2
173.0,1.0,pathfind_neighbor,Baseline,True,2
210.0,1.0,pathfind_neighbor,Baseline,True,2
229.0,1.0,pathfind_neighbor,Baseline,True,2
127.0,1.0,pathfind_neighbor,Baseline,True,2
243.0,1.0,pathfind_neighbor,Baseline,True,2
156.0,1.0,pathfind_neighbor,Baseline,True,2
204.0,1.0,pathfind_neighbor,Baseline,True,2
221.0,1.0,pathfind_neighbor,Baseline,True,2
175.0,1.0,pathfind_neighbor,Baseline,True,2
168.0,1.0,pathfind_neighbor,Baseline,True,2
265.0,1.0,pathfind_neighbor,Baseline,True,2
136.0,1.0,pathfind_neighbor,Baseline,True,2
187.0,1.0,pathfind_neighbor,Baseline,True,2
213.0,1.0,pathfind_neighbor,Baseline,True,2
178.0,1.0,pathfind_neighbor,Baseline,True,2
133.0,1.0,pathfind_neighbor,Baseline,True,2
154.0,1.0,pathfind_neighbor,Baseline,True,2
134.0,1.0,pathfind_neighbor,Baseline,True,2
177.0,1.0,pathfind_neighbor,Baseline,True,2
