T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
220.0,1.0,Baseline,random,RandomGrid,100,False,1,4
252.0,1.0,Baseline,random,RandomGrid,100,False,1,4
210.0,1.0,Baseline,random,RandomGrid,100,False,1,4
215.0,1.0,Baseline,random,RandomGrid,100,False,1,4
182.0,1.0,Baseline,random,RandomGrid,100,False,1,4
211.0,1.0,Baseline,random,RandomGrid,100,False,1,4
161.0,1.0,Baseline,random,RandomGrid,100,False,1,4
312.0,1.0,Baseline,random,RandomGrid,100,False,1,4
178.0,1.0,Baseline,random,RandomGrid,100,False,1,4
274.0,1.0,Baseline,random,RandomGrid,100,False,1,4
263.0,1.0,Baseline,random,RandomGrid,100,False,1,4
175.0,1.0,Baseline,random,RandomGrid,100,False,1,4
210.0,1.0,Baseline,random,RandomGrid,100,False,1,4
315.0,1.0,Baseline,random,RandomGrid,100,False,1,4
215.0,1.0,Baseline,random,RandomGrid,100,False,1,4
192.0,1.0,Baseline,random,RandomGrid,100,False,1,4
255.0,1.0,Baseline,random,RandomGrid,100,False,1,4
125.0,1.0,Baseline,random,RandomGrid,100,False,1,4
156.0,1.0,Baseline,random,RandomGrid,100,False,1,4
288.0,1.0,Baseline,random,RandomGrid,100,False,1,4
245.0,1.0,Baseline,random,RandomGrid,100,False,1,4
179.0,1.0,Baseline,random,RandomGrid,100,False,1,4
215.0,1.0,Baseline,random,RandomGrid,100,False,1,4
135.0,1.0,Baseline,random,RandomGrid,100,False,1,4
205.0,1.0,Baseline,random,RandomGrid,100,False,1,4
215.0,1.0,Baseline,random,RandomGrid,100,False,1,4
147.0,1.0,Baseline,random,RandomGrid,100,False,1,4
144.0,1.0,Baseline,random,RandomGrid,100,False,1,4
189.0,1.0,Baseline,random,RandomGrid,100,False,1,4
290.0,1.0,Baseline,random,RandomGrid,100,False,1,4
185.0,1.0,Baseline,random,RandomGrid,100,False,1,4
202.0,1.0,Baseline,random,RandomGrid,100,False,1,4
141.0,1.0,Baseline,random,RandomGrid,100,False,1,4
237.0,1.0,Baseline,random,RandomGrid,100,False,1,4
218.0,1.0,Baseline,random,RandomGrid,100,False,1,4
173.0,1.0,Baseline,random,RandomGrid,100,False,1,4
238.0,1.0,Baseline,random,RandomGrid,100,False,1,4
173.0,1.0,Baseline,random,RandomGrid,100,False,1,4
229.0,1.0,Baseline,random,RandomGrid,100,False,1,4
216.0,1.0,Baseline,random,RandomGrid,100,False,1,4
192.0,1.0,Baseline,random,RandomGrid,100,False,1,4
146.0,1.0,Baseline,random,RandomGrid,100,False,1,4
230.0,1.0,Baseline,random,RandomGrid,100,False,1,4
132.0,1.0,Baseline,random,RandomGrid,100,False,1,4
190.0,1.0,Baseline,random,RandomGrid,100,False,1,4
238.0,1.0,Baseline,random,RandomGrid,100,False,1,4
172.0,1.0,Baseline,random,RandomGrid,100,False,1,4
211.0,1.0,Baseline,random,RandomGrid,100,False,1,4
461.0,1.0,Baseline,random,RandomGrid,100,False,1,4
312.0,1.0,Baseline,random,RandomGrid,100,False,1,4
196.0,1.0,Baseline,random,RandomGrid,100,False,1,4
245.0,1.0,Baseline,random,RandomGrid,100,False,1,4
296.0,1.0,Baseline,random,RandomGrid,100,False,1,4
155.0,1.0,Baseline,random,RandomGrid,100,False,1,4
