T,E,Agent_type,Scenario,Trading,RUN_NUMBER
118.0,1.0,random,Baseline,True,1
205.0,1.0,random,Baseline,True,1
124.0,1.0,random,Baseline,True,1
195.0,1.0,random,Baseline,True,1
155.0,1.0,random,Baseline,True,1
196.0,1.0,random,Baseline,True,1
207.0,1.0,random,Baseline,True,1
246.0,1.0,random,Baseline,True,1
199.0,1.0,random,Baseline,True,1
210.0,1.0,random,Baseline,True,1
185.0,1.0,random,Baseline,True,1
103.0,1.0,random,Baseline,True,1
167.0,1.0,random,Baseline,True,1
160.0,1.0,random,Baseline,True,1
211.0,1.0,random,Baseline,True,1
180.0,1.0,random,Baseline,True,1
202.0,1.0,random,Baseline,True,1
189.0,1.0,random,Baseline,True,1
139.0,1.0,random,Baseline,True,1
140.0,1.0,random,Baseline,True,1
178.0,1.0,random,Baseline,True,1
203.0,1.0,random,Baseline,True,1
199.0,1.0,random,Baseline,True,1
173.0,1.0,random,Baseline,True,1
161.0,1.0,random,Baseline,True,1
121.0,1.0,random,Baseline,True,1
157.0,1.0,random,Baseline,True,1
195.0,1.0,random,Baseline,True,1
184.0,1.0,random,Baseline,True,1
174.0,1.0,random,Baseline,True,1
146.0,1.0,random,Baseline,True,1
124.0,1.0,random,Baseline,True,1
201.0,1.0,random,Baseline,True,1
198.0,1.0,random,Baseline,True,1
205.0,1.0,random,Baseline,True,1
201.0,1.0,random,Baseline,True,1
127.0,1.0,random,Baseline,True,1
189.0,1.0,random,Baseline,True,1
138.0,1.0,random,Baseline,True,1
181.0,1.0,random,Baseline,True,1
139.0,1.0,random,Baseline,True,1
206.0,1.0,random,Baseline,True,1
125.0,1.0,random,Baseline,True,1
226.0,1.0,random,Baseline,True,1
114.0,1.0,random,Baseline,True,1
147.0,1.0,random,Baseline,True,1
179.0,1.0,random,Baseline,True,1
161.0,1.0,random,Baseline,True,1
195.0,1.0,random,Baseline,True,1
238.0,1.0,random,Baseline,True,1
147.0,1.0,random,Baseline,True,1
235.0,1.0,random,Baseline,True,1
173.0,1.0,random,Baseline,True,1
125.0,1.0,random,Baseline,True,1
137.0,1.0,random,Baseline,True,1
211.0,1.0,random,Baseline,True,1
147.0,1.0,random,Baseline,True,1
230.0,1.0,random,Baseline,True,1
212.0,1.0,random,Baseline,True,1
163.0,1.0,random,Baseline,True,1
165.0,1.0,random,Baseline,True,1
112.0,1.0,random,Baseline,True,1
192.0,1.0,random,Baseline,True,1
173.0,1.0,random,Baseline,True,1
149.0,1.0,random,Baseline,True,1
191.0,1.0,random,Baseline,True,1
198.0,1.0,random,Baseline,True,1
170.0,1.0,random,Baseline,True,1
202.0,1.0,random,Baseline,True,1
270.0,1.0,random,Baseline,True,1
178.0,1.0,random,Baseline,True,1
156.0,1.0,random,Baseline,True,1
122.0,1.0,random,Baseline,True,1
121.0,1.0,random,Baseline,True,1
208.0,1.0,random,Baseline,True,1
226.0,1.0,random,Baseline,True,1
182.0,1.0,random,Baseline,True,1
269.0,1.0,random,Baseline,True,1
145.0,1.0,random,Baseline,True,1
163.0,1.0,random,Baseline,True,1
177.0,1.0,random,Baseline,True,1
209.0,1.0,random,Baseline,True,1
129.0,1.0,random,Baseline,True,1
124.0,1.0,random,Baseline,True,1
240.0,1.0,random,Baseline,True,1
231.0,1.0,random,Baseline,True,1
240.0,1.0,random,Baseline,True,1
193.0,1.0,random,Baseline,True,1
277.0,1.0,random,Baseline,True,1
188.0,1.0,random,Baseline,True,1
154.0,1.0,random,Baseline,True,1
145.0,1.0,random,Baseline,True,1
147.0,1.0,random,Baseline,True,1
155.0,1.0,random,Baseline,True,1
167.0,1.0,random,Baseline,True,1
141.0,1.0,random,Baseline,True,1
183.0,1.0,random,Baseline,True,1
236.0,1.0,random,Baseline,True,1
177.0,1.0,random,Baseline,True,1
138.0,1.0,random,Baseline,True,1
145.0,1.0,random,Baseline,True,1
215.0,1.0,random,Baseline,True,1
175.0,1.0,random,Baseline,True,1
158.0,1.0,random,Baseline,True,1
167.0,1.0,random,Baseline,True,1
198.0,1.0,random,Baseline,True,1
247.0,1.0,random,Baseline,True,1
181.0,1.0,random,Baseline,True,1
160.0,1.0,random,Baseline,True,1
142.0,1.0,random,Baseline,True,1
135.0,1.0,random,Baseline,True,1
154.0,1.0,random,Baseline,True,1
153.0,1.0,random,Baseline,True,1
142.0,1.0,random,Baseline,True,1
201.0,1.0,random,Baseline,True,1
171.0,1.0,random,Baseline,True,1
138.0,1.0,random,Baseline,True,1
210.0,1.0,random,Baseline,True,1
180.0,1.0,random,Baseline,True,1
198.0,1.0,random,Baseline,True,1
196.0,1.0,random,Baseline,True,1
205.0,1.0,random,Baseline,True,1
141.0,1.0,random,Baseline,True,1
121.0,1.0,random,Baseline,True,1
261.0,1.0,random,Baseline,True,1
123.0,1.0,random,Baseline,True,1
190.0,1.0,random,Baseline,True,1
187.0,1.0,random,Baseline,True,1
204.0,1.0,random,Baseline,True,1
170.0,1.0,random,Baseline,True,1
220.0,1.0,random,Baseline,True,1
199.0,1.0,random,Baseline,True,1
106.0,1.0,random,Baseline,True,1
193.0,1.0,random,Baseline,True,1
250.0,1.0,random,Baseline,True,1
187.0,1.0,random,Baseline,True,1
246.0,1.0,random,Baseline,True,1
204.0,1.0,random,Baseline,True,1
181.0,1.0,random,Baseline,True,1
163.0,1.0,random,Baseline,True,1
131.0,1.0,random,Baseline,True,1
176.0,1.0,random,Baseline,True,1
218.0,1.0,random,Baseline,True,1
176.0,1.0,random,Baseline,True,1
129.0,1.0,random,Baseline,True,1
205.0,1.0,random,Baseline,True,1
158.0,1.0,random,Baseline,True,1
104.0,1.0,random,Baseline,True,1
164.0,1.0,random,Baseline,True,1
164.0,1.0,random,Baseline,True,1
164.0,1.0,random,Baseline,True,1
145.0,1.0,random,Baseline,True,1
127.0,1.0,random,Baseline,True,1
173.0,1.0,random,Baseline,True,1
158.0,1.0,random,Baseline,True,1
221.0,1.0,random,Baseline,True,1
245.0,1.0,random,Baseline,True,1
157.0,1.0,random,Baseline,True,1
138.0,1.0,random,Baseline,True,1
181.0,1.0,random,Baseline,True,1
121.0,1.0,random,Baseline,True,1
234.0,1.0,random,Baseline,True,1
121.0,1.0,random,Baseline,True,1
171.0,1.0,random,Baseline,True,1
122.0,1.0,random,Baseline,True,1
192.0,1.0,random,Baseline,True,1
154.0,1.0,random,Baseline,True,1
204.0,1.0,random,Baseline,True,1
132.0,1.0,random,Baseline,True,1
191.0,1.0,random,Baseline,True,1
118.0,1.0,random,Baseline,True,1
199.0,1.0,random,Baseline,True,1
237.0,1.0,random,Baseline,True,1
171.0,1.0,random,Baseline,True,1
188.0,1.0,random,Baseline,True,1
199.0,1.0,random,Baseline,True,1
191.0,1.0,random,Baseline,True,1
170.0,1.0,random,Baseline,True,1
179.0,1.0,random,Baseline,True,1
234.0,1.0,random,Baseline,True,1
158.0,1.0,random,Baseline,True,1
150.0,1.0,random,Baseline,True,1
135.0,1.0,random,Baseline,True,1
218.0,1.0,random,Baseline,True,1
158.0,1.0,random,Baseline,True,1
146.0,1.0,random,Baseline,True,1
102.0,1.0,random,Baseline,True,1
152.0,1.0,random,Baseline,True,1
225.0,1.0,random,Baseline,True,1
224.0,1.0,random,Baseline,True,1
140.0,1.0,random,Baseline,True,1
140.0,1.0,random,Baseline,True,1
180.0,1.0,random,Baseline,True,1
154.0,1.0,random,Baseline,True,1
221.0,1.0,random,Baseline,True,1
116.0,1.0,random,Baseline,True,1
189.0,1.0,random,Baseline,True,1
174.0,1.0,random,Baseline,True,1
190.0,1.0,random,Baseline,True,1
199.0,1.0,random,Baseline,True,1
