ignore,events-1,alive_times-1,events-2,alive_times-2,events-3,alive_times-3
0,0,212,0,194,0,182
0,0,137,0,195,0,127
0,0,194,0,149,0,151
0,0,216,0,151,0,172
0,0,113,0,120,0,189
0,0,226,0,123,0,177
0,0,232,0,145,0,186
0,0,161,0,193,0,129
0,0,135,0,251,0,226
0,0,169,0,147,0,273
0,0,170,0,244,0,202
0,0,177,0,164,0,200
0,0,143,0,167,0,186
0,0,164,0,160,0,167
0,0,162,0,197,0,200
0,0,189,0,152,0,176
0,0,151,0,199,0,213
0,0,144,0,181,0,153
0,0,166,0,181,0,190
0,0,181,0,164,0,154
0,0,177,0,192,0,131
0,0,162,0,167,0,234
0,0,221,0,171,0,219
0,0,142,0,133,0,232
0,0,132,0,173,0,103
0,0,247,0,145,0,168
0,0,136,0,202,0,233
0,0,208,0,158,0,179
0,0,139,0,150,0,195
0,0,158,0,163,0,193
0,0,165,0,178,0,145
0,0,175,0,211,0,194
0,0,188,0,237,0,130
0,0,205,0,140,0,216
0,0,167,0,239,0,175
0,0,136,0,129,0,178
0,0,183,0,124,0,155
0,0,108,0,185,0,161
0,0,194,0,232,0,174
0,0,223,0,220,0,212
0,0,161,0,213,0,116
0,0,184,0,191,0,196
0,0,163,0,148,0,207
0,0,140,0,176,0,172
0,0,184,0,130,0,236
0,0,173,0,119,0,165
0,0,158,0,155,0,161
0,0,128,0,187,0,135
0,0,140,0,187,0,145
0,0,181,0,209,0,193
0,0,161,0,198,0,203
0,0,163,0,160,0,180
0,0,207,0,163,0,217
0,0,142,0,149,0,140
0,0,229,0,125,0,208
0,0,161,0,191,0,235
0,0,237,0,170,0,157
0,0,156,0,216,0,170
0,0,120,0,133,0,159
0,0,164,0,250,0,190
0,0,264,0,218,0,120
0,0,161,0,131,0,210
0,0,168,0,175,0,123
0,0,160,0,171,0,122
0,0,200,0,180,0,160
0,0,135,0,152,0,153
0,0,219,0,159,0,185
0,0,216,0,197,0,171
0,0,210,0,132,0,164
0,0,151,0,221,0,203
0,0,250,0,182,0,171
0,0,171,0,161,0,173
0,0,215,0,171,0,145
0,0,162,0,173,0,151
0,0,117,0,174,0,211
0,0,232,0,146,0,168
0,0,193,0,198,0,217
0,0,145,0,196,0,191
0,0,172,0,225,0,130
0,0,202,0,142,0,120
