ig,events-3,alive_times-3,events-2,alive_times-2,events-1,alive_times-1
0,0,269,0,121,0,106
0,0,142,0,111,0,208
0,0,201,0,181,0,191
0,0,201,0,153,0,111
0,0,172,0,131,0,141
0,0,101,0,204,0,245
0,0,113,0,210,0,121
0,0,111,0,163,0,101
0,0,236,0,199,0,165
0,0,111,0,225,0,185
0,0,121,0,249,0,142
0,0,131,0,228,0,111
0,0,111,0,243,0,101
0,0,111,0,103,0,248
0,0,130,0,148,0,147
0,0,191,0,206,0,175
0,0,245,0,151,0,223
0,0,101,0,229,0,216
0,0,111,0,240,0,131
0,0,222,0,200,0,202
0,0,105,0,143,0,163
0,0,181,0,141,0,218
0,0,125,0,229,0,163
0,0,210,0,101,0,101
0,0,111,0,200,0,214
0,0,215,0,182,0,217
0,0,165,0,119,0,189
0,0,248,0,111,0,101
0,0,111,0,165,0,155
0,0,194,0,121,0,121
0,0,101,0,186,0,198
0,0,111,0,101,0,101
0,0,248,0,229,0,111
0,0,113,0,252,0,167
0,0,260,0,184,0,223
0,0,153,0,177,0,232
0,0,272,0,101,0,185
0,0,101,0,206,0,202
0,0,191,0,216,0,223
0,0,121,0,195,0,229
0,0,101,0,230,0,174
0,0,168,0,221,0,233
0,0,266,0,211,0,107
0,0,111,0,211,0,111
0,0,222,0,231,0,131
0,0,101,0,322,0,178
0,0,172,0,194,0,240
0,0,141,0,175,0,141
0,0,169,0,200,0,170
0,0,251,0,121,0,101
0,0,207,0,198,0,275
0,0,161,0,178,0,121
0,0,276,0,111,0,195
0,0,117,0,131,0,101
0,0,244,0,177,0,240
0,0,132,0,133,0,179
0,0,212,0,128,0,153
0,0,226,0,107,0,130
0,0,122,0,101,0,101
0,0,203,0,117,0,125
0,0,139,0,121,0,253
0,0,214,0,111,0,174
0,0,141,0,197,0,236
0,0,261,0,162,0,167
0,0,201,0,135,0,111
0,0,101,0,167,0,111
0,0,181,0,131,0,159
0,0,111,0,111,0,165
0,0,264,0,133,0,234
0,0,111,0,139,0,223
0,0,101,0,193,0,205
0,0,179,0,131,0,101
0,0,101,0,235,0,218
0,0,101,0,209,0,141
0,0,186,0,143,0,111
0,0,217,0,205,0,200
0,0,197,0,154,0,101
0,0,121,0,205,0,101
0,0,156,0,201,0,117
0,0,253,0,168,0,151
0,0,206,0,101,0,214
0,0,172,0,205,0,171
0,0,121,0,111,0,119
0,0,131,0,104,0,111
0,0,145,0,200,0,246
0,0,131,0,181,0,145
0,0,107,0,142,0,154
0,0,160,0,111,0,131
0,0,101,0,169,0,265
0,0,252,0,152,0,178
0,0,103,0,190,0,121
0,0,216,0,169,0,116
0,0,204,0,137,0,111
0,0,151,0,230,0,131
0,0,193,0,141,0,226
0,0,111,0,287,0,111
0,0,247,0,149,0,258
0,0,165,0,215,0,156
0,0,239,0,121,0,215
0,0,121,0,212,0,223
0,0,205,0,117,0,174
0,1,202,1,202,1,197
0,0,139,1,157,0,114
0,1,139,1,138,0,111
0,0,121,1,187,0,200
0,1,209,0,111,0,133
0,0,198,0,121,1,242
0,1,279,1,191,1,101
