T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
333.0,1.0,Baseline,random,RandomGrid,300,True,1,4
572.0,1.0,Baseline,random,RandomGrid,300,True,1,4
365.0,1.0,Baseline,random,RandomGrid,300,True,1,4
379.0,1.0,Baseline,random,RandomGrid,300,True,1,4
294.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
310.0,1.0,Baseline,random,RandomGrid,300,True,1,4
481.0,1.0,Baseline,random,RandomGrid,300,True,1,4
394.0,1.0,Baseline,random,RandomGrid,300,True,1,4
382.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
443.0,1.0,Baseline,random,RandomGrid,300,True,1,4
220.0,1.0,Baseline,random,RandomGrid,300,True,1,4
206.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
411.0,1.0,Baseline,random,RandomGrid,300,True,1,4
406.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
427.0,1.0,Baseline,random,RandomGrid,300,True,1,4
237.0,1.0,Baseline,random,RandomGrid,300,True,1,4
306.0,1.0,Baseline,random,RandomGrid,300,True,1,4
170.0,1.0,Baseline,random,RandomGrid,300,True,1,4
385.0,1.0,Baseline,random,RandomGrid,300,True,1,4
391.0,1.0,Baseline,random,RandomGrid,300,True,1,4
199.0,1.0,Baseline,random,RandomGrid,300,True,1,4
261.0,1.0,Baseline,random,RandomGrid,300,True,1,4
321.0,1.0,Baseline,random,RandomGrid,300,True,1,4
235.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
323.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
219.0,1.0,Baseline,random,RandomGrid,300,True,1,4
181.0,1.0,Baseline,random,RandomGrid,300,True,1,4
153.0,1.0,Baseline,random,RandomGrid,300,True,1,4
283.0,1.0,Baseline,random,RandomGrid,300,True,1,4
337.0,1.0,Baseline,random,RandomGrid,300,True,1,4
198.0,1.0,Baseline,random,RandomGrid,300,True,1,4
430.0,1.0,Baseline,random,RandomGrid,300,True,1,4
301.0,1.0,Baseline,random,RandomGrid,300,True,1,4
547.0,1.0,Baseline,random,RandomGrid,300,True,1,4
226.0,1.0,Baseline,random,RandomGrid,300,True,1,4
488.0,1.0,Baseline,random,RandomGrid,300,True,1,4
277.0,1.0,Baseline,random,RandomGrid,300,True,1,4
238.0,1.0,Baseline,random,RandomGrid,300,True,1,4
176.0,1.0,Baseline,random,RandomGrid,300,True,1,4
247.0,1.0,Baseline,random,RandomGrid,300,True,1,4
466.0,1.0,Baseline,random,RandomGrid,300,True,1,4
261.0,1.0,Baseline,random,RandomGrid,300,True,1,4
290.0,1.0,Baseline,random,RandomGrid,300,True,1,4
173.0,1.0,Baseline,random,RandomGrid,300,True,1,4
287.0,1.0,Baseline,random,RandomGrid,300,True,1,4
219.0,1.0,Baseline,random,RandomGrid,300,True,1,4
209.0,1.0,Baseline,random,RandomGrid,300,True,1,4
372.0,1.0,Baseline,random,RandomGrid,300,True,1,4
343.0,1.0,Baseline,random,RandomGrid,300,True,1,4
251.0,1.0,Baseline,random,RandomGrid,300,True,1,4
397.0,1.0,Baseline,random,RandomGrid,300,True,1,4
396.0,1.0,Baseline,random,RandomGrid,300,True,1,4
219.0,1.0,Baseline,random,RandomGrid,300,True,1,4
326.0,1.0,Baseline,random,RandomGrid,300,True,1,4
259.0,1.0,Baseline,random,RandomGrid,300,True,1,4
183.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
386.0,1.0,Baseline,random,RandomGrid,300,True,1,4
387.0,1.0,Baseline,random,RandomGrid,300,True,1,4
175.0,1.0,Baseline,random,RandomGrid,300,True,1,4
261.0,1.0,Baseline,random,RandomGrid,300,True,1,4
338.0,1.0,Baseline,random,RandomGrid,300,True,1,4
584.0,1.0,Baseline,random,RandomGrid,300,True,1,4
258.0,1.0,Baseline,random,RandomGrid,300,True,1,4
261.0,1.0,Baseline,random,RandomGrid,300,True,1,4
339.0,1.0,Baseline,random,RandomGrid,300,True,1,4
419.0,1.0,Baseline,random,RandomGrid,300,True,1,4
343.0,1.0,Baseline,random,RandomGrid,300,True,1,4
318.0,1.0,Baseline,random,RandomGrid,300,True,1,4
193.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
285.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
304.0,1.0,Baseline,random,RandomGrid,300,True,1,4
361.0,1.0,Baseline,random,RandomGrid,300,True,1,4
320.0,1.0,Baseline,random,RandomGrid,300,True,1,4
252.0,1.0,Baseline,random,RandomGrid,300,True,1,4
230.0,1.0,Baseline,random,RandomGrid,300,True,1,4
279.0,1.0,Baseline,random,RandomGrid,300,True,1,4
325.0,1.0,Baseline,random,RandomGrid,300,True,1,4
240.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
216.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
325.0,1.0,Baseline,random,RandomGrid,300,True,1,4
360.0,1.0,Baseline,random,RandomGrid,300,True,1,4
327.0,1.0,Baseline,random,RandomGrid,300,True,1,4
348.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
216.0,1.0,Baseline,random,RandomGrid,300,True,1,4
353.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
193.0,1.0,Baseline,random,RandomGrid,300,True,1,4
356.0,1.0,Baseline,random,RandomGrid,300,True,1,4
273.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
248.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
319.0,1.0,Baseline,random,RandomGrid,300,True,1,4
268.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
283.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
155.0,1.0,Baseline,random,RandomGrid,300,True,1,4
204.0,1.0,Baseline,random,RandomGrid,300,True,1,4
287.0,1.0,Baseline,random,RandomGrid,300,True,1,4
208.0,1.0,Baseline,random,RandomGrid,300,True,1,4
230.0,1.0,Baseline,random,RandomGrid,300,True,1,4
238.0,1.0,Baseline,random,RandomGrid,300,True,1,4
303.0,1.0,Baseline,random,RandomGrid,300,True,1,4
499.0,1.0,Baseline,random,RandomGrid,300,True,1,4
382.0,1.0,Baseline,random,RandomGrid,300,True,1,4
205.0,1.0,Baseline,random,RandomGrid,300,True,1,4
476.0,1.0,Baseline,random,RandomGrid,300,True,1,4
341.0,1.0,Baseline,random,RandomGrid,300,True,1,4
491.0,1.0,Baseline,random,RandomGrid,300,True,1,4
227.0,1.0,Baseline,random,RandomGrid,300,True,1,4
276.0,1.0,Baseline,random,RandomGrid,300,True,1,4
274.0,1.0,Baseline,random,RandomGrid,300,True,1,4
404.0,1.0,Baseline,random,RandomGrid,300,True,1,4
368.0,1.0,Baseline,random,RandomGrid,300,True,1,4
330.0,1.0,Baseline,random,RandomGrid,300,True,1,4
154.0,1.0,Baseline,random,RandomGrid,300,True,1,4
289.0,1.0,Baseline,random,RandomGrid,300,True,1,4
188.0,1.0,Baseline,random,RandomGrid,300,True,1,4
317.0,1.0,Baseline,random,RandomGrid,300,True,1,4
270.0,1.0,Baseline,random,RandomGrid,300,True,1,4
628.0,1.0,Baseline,random,RandomGrid,300,True,1,4
228.0,1.0,Baseline,random,RandomGrid,300,True,1,4
290.0,1.0,Baseline,random,RandomGrid,300,True,1,4
344.0,1.0,Baseline,random,RandomGrid,300,True,1,4
239.0,1.0,Baseline,random,RandomGrid,300,True,1,4
373.0,1.0,Baseline,random,RandomGrid,300,True,1,4
271.0,1.0,Baseline,random,RandomGrid,300,True,1,4
303.0,1.0,Baseline,random,RandomGrid,300,True,1,4
231.0,1.0,Baseline,random,RandomGrid,300,True,1,4
386.0,1.0,Baseline,random,RandomGrid,300,True,1,4
217.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
380.0,1.0,Baseline,random,RandomGrid,300,True,1,4
194.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
306.0,1.0,Baseline,random,RandomGrid,300,True,1,4
158.0,1.0,Baseline,random,RandomGrid,300,True,1,4
382.0,1.0,Baseline,random,RandomGrid,300,True,1,4
272.0,1.0,Baseline,random,RandomGrid,300,True,1,4
391.0,1.0,Baseline,random,RandomGrid,300,True,1,4
386.0,1.0,Baseline,random,RandomGrid,300,True,1,4
237.0,1.0,Baseline,random,RandomGrid,300,True,1,4
438.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
409.0,1.0,Baseline,random,RandomGrid,300,True,1,4
260.0,1.0,Baseline,random,RandomGrid,300,True,1,4
372.0,1.0,Baseline,random,RandomGrid,300,True,1,4
254.0,1.0,Baseline,random,RandomGrid,300,True,1,4
269.0,1.0,Baseline,random,RandomGrid,300,True,1,4
318.0,1.0,Baseline,random,RandomGrid,300,True,1,4
501.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
315.0,1.0,Baseline,random,RandomGrid,300,True,1,4
314.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
224.0,1.0,Baseline,random,RandomGrid,300,True,1,4
242.0,1.0,Baseline,random,RandomGrid,300,True,1,4
233.0,1.0,Baseline,random,RandomGrid,300,True,1,4
300.0,1.0,Baseline,random,RandomGrid,300,True,1,4
815.0,1.0,Baseline,random,RandomGrid,300,True,1,4
247.0,1.0,Baseline,random,RandomGrid,300,True,1,4
234.0,1.0,Baseline,random,RandomGrid,300,True,1,4
374.0,1.0,Baseline,random,RandomGrid,300,True,1,4
197.0,1.0,Baseline,random,RandomGrid,300,True,1,4
310.0,1.0,Baseline,random,RandomGrid,300,True,1,4
393.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
216.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
221.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
275.0,1.0,Baseline,random,RandomGrid,300,True,1,4
235.0,1.0,Baseline,random,RandomGrid,300,True,1,4
191.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
423.0,1.0,Baseline,random,RandomGrid,300,True,1,4
419.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
422.0,1.0,Baseline,random,RandomGrid,300,True,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,True,1,4
403.0,1.0,Baseline,random,RandomGrid,300,True,1,4
198.0,1.0,Baseline,random,RandomGrid,300,True,1,4
218.0,1.0,Baseline,random,RandomGrid,300,True,1,4
285.0,1.0,Baseline,random,RandomGrid,300,True,1,4
278.0,1.0,Baseline,random,RandomGrid,300,True,1,4
233.0,1.0,Baseline,random,RandomGrid,300,True,1,4
