T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
225.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
371.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
154.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
247.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
197.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
200.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
113.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
274.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
193.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
189.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
158.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
229.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
187.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
181.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
190.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
243.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
259.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
199.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
198.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
194.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
251.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
208.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
145.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
192.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
250.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
206.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
206.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
213.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
224.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
121.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
150.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
121.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
272.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
186.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
163.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
199.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
235.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
295.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
113.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
293.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
155.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
165.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
182.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
247.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
207.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
271.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
279.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
284.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
301.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
281.0,1.0,Baseline,random,RandomGrid,50,False,0.5,4
