T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
258.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
293.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
144.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
151.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
166.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
256.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
361.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
212.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
258.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
508.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
277.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
245.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
241.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
183.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
286.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
311.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
237.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
255.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
259.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
334.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
192.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
274.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
188.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
211.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
223.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
246.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
210.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
328.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
293.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
495.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
344.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
205.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
199.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
188.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
189.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
294.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
232.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
230.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
212.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
248.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
213.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
218.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
194.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
215.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
130.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
159.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
293.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
164.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
259.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
181.0,1.0,Baseline,random,RandomGrid,50,True,0.8,1
