T,E,Agent_type,Scenario,Trading,RUN_NUMBER
177.0,1.0,random,Baseline,False,1
186.0,1.0,random,Baseline,False,1
209.0,1.0,random,Baseline,False,1
192.0,1.0,random,Baseline,False,1
146.0,1.0,random,Baseline,False,1
126.0,1.0,random,Baseline,False,1
142.0,1.0,random,Baseline,False,1
188.0,1.0,random,Baseline,False,1
200.0,1.0,random,Baseline,False,1
151.0,1.0,random,Baseline,False,1
211.0,1.0,random,Baseline,False,1
242.0,1.0,random,Baseline,False,1
165.0,1.0,random,Baseline,False,1
200.0,1.0,random,Baseline,False,1
179.0,1.0,random,Baseline,False,1
207.0,1.0,random,Baseline,False,1
187.0,1.0,random,Baseline,False,1
154.0,1.0,random,Baseline,False,1
179.0,1.0,random,Baseline,False,1
172.0,1.0,random,Baseline,False,1
176.0,1.0,random,Baseline,False,1
175.0,1.0,random,Baseline,False,1
198.0,1.0,random,Baseline,False,1
166.0,1.0,random,Baseline,False,1
256.0,1.0,random,Baseline,False,1
185.0,1.0,random,Baseline,False,1
154.0,1.0,random,Baseline,False,1
199.0,1.0,random,Baseline,False,1
133.0,1.0,random,Baseline,False,1
199.0,1.0,random,Baseline,False,1
165.0,1.0,random,Baseline,False,1
192.0,1.0,random,Baseline,False,1
169.0,1.0,random,Baseline,False,1
190.0,1.0,random,Baseline,False,1
163.0,1.0,random,Baseline,False,1
185.0,1.0,random,Baseline,False,1
159.0,1.0,random,Baseline,False,1
197.0,1.0,random,Baseline,False,1
165.0,1.0,random,Baseline,False,1
202.0,1.0,random,Baseline,False,1
157.0,1.0,random,Baseline,False,1
234.0,1.0,random,Baseline,False,1
193.0,1.0,random,Baseline,False,1
199.0,1.0,random,Baseline,False,1
212.0,1.0,random,Baseline,False,1
213.0,1.0,random,Baseline,False,1
153.0,1.0,random,Baseline,False,1
214.0,1.0,random,Baseline,False,1
186.0,1.0,random,Baseline,False,1
168.0,1.0,random,Baseline,False,1
145.0,1.0,random,Baseline,False,1
199.0,1.0,random,Baseline,False,1
239.0,1.0,random,Baseline,False,1
213.0,1.0,random,Baseline,False,1
161.0,1.0,random,Baseline,False,1
157.0,1.0,random,Baseline,False,1
223.0,1.0,random,Baseline,False,1
230.0,1.0,random,Baseline,False,1
150.0,1.0,random,Baseline,False,1
137.0,1.0,random,Baseline,False,1
201.0,1.0,random,Baseline,False,1
186.0,1.0,random,Baseline,False,1
219.0,1.0,random,Baseline,False,1
169.0,1.0,random,Baseline,False,1
193.0,1.0,random,Baseline,False,1
161.0,1.0,random,Baseline,False,1
179.0,1.0,random,Baseline,False,1
190.0,1.0,random,Baseline,False,1
203.0,1.0,random,Baseline,False,1
165.0,1.0,random,Baseline,False,1
232.0,1.0,random,Baseline,False,1
157.0,1.0,random,Baseline,False,1
185.0,1.0,random,Baseline,False,1
121.0,1.0,random,Baseline,False,1
222.0,1.0,random,Baseline,False,1
145.0,1.0,random,Baseline,False,1
189.0,1.0,random,Baseline,False,1
207.0,1.0,random,Baseline,False,1
184.0,1.0,random,Baseline,False,1
187.0,1.0,random,Baseline,False,1
135.0,1.0,random,Baseline,False,1
167.0,1.0,random,Baseline,False,1
143.0,1.0,random,Baseline,False,1
135.0,1.0,random,Baseline,False,1
239.0,1.0,random,Baseline,False,1
182.0,1.0,random,Baseline,False,1
192.0,1.0,random,Baseline,False,1
186.0,1.0,random,Baseline,False,1
148.0,1.0,random,Baseline,False,1
186.0,1.0,random,Baseline,False,1
192.0,1.0,random,Baseline,False,1
264.0,1.0,random,Baseline,False,1
150.0,1.0,random,Baseline,False,1
158.0,1.0,random,Baseline,False,1
209.0,1.0,random,Baseline,False,1
204.0,1.0,random,Baseline,False,1
177.0,1.0,random,Baseline,False,1
200.0,1.0,random,Baseline,False,1
124.0,1.0,random,Baseline,False,1
178.0,1.0,random,Baseline,False,1
177.0,1.0,random,Baseline,False,1
190.0,1.0,random,Baseline,False,1
150.0,1.0,random,Baseline,False,1
197.0,1.0,random,Baseline,False,1
138.0,1.0,random,Baseline,False,1
153.0,1.0,random,Baseline,False,1
155.0,1.0,random,Baseline,False,1
164.0,1.0,random,Baseline,False,1
242.0,1.0,random,Baseline,False,1
185.0,1.0,random,Baseline,False,1
147.0,1.0,random,Baseline,False,1
167.0,1.0,random,Baseline,False,1
175.0,1.0,random,Baseline,False,1
168.0,1.0,random,Baseline,False,1
147.0,1.0,random,Baseline,False,1
188.0,1.0,random,Baseline,False,1
224.0,1.0,random,Baseline,False,1
141.0,1.0,random,Baseline,False,1
191.0,1.0,random,Baseline,False,1
215.0,1.0,random,Baseline,False,1
235.0,1.0,random,Baseline,False,1
192.0,1.0,random,Baseline,False,1
204.0,1.0,random,Baseline,False,1
204.0,1.0,random,Baseline,False,1
172.0,1.0,random,Baseline,False,1
228.0,1.0,random,Baseline,False,1
