T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
384.0,1.0,Baseline,random,Uniform,200,True,1,1
421.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
673.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
445.0,1.0,Baseline,random,Uniform,200,True,1,1
502.0,1.0,Baseline,random,Uniform,200,True,1,1
376.0,1.0,Baseline,random,Uniform,200,True,1,1
594.0,1.0,Baseline,random,Uniform,200,True,1,1
413.0,1.0,Baseline,random,Uniform,200,True,1,1
504.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
485.0,1.0,Baseline,random,Uniform,200,True,1,1
502.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
393.0,1.0,Baseline,random,Uniform,200,True,1,1
677.0,1.0,Baseline,random,Uniform,200,True,1,1
416.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
417.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
379.0,1.0,Baseline,random,Uniform,200,True,1,1
377.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
524.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
480.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
261.0,1.0,Baseline,random,Uniform,200,True,1,1
520.0,1.0,Baseline,random,Uniform,200,True,1,1
485.0,1.0,Baseline,random,Uniform,200,True,1,1
492.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
502.0,1.0,Baseline,random,Uniform,200,True,1,1
493.0,1.0,Baseline,random,Uniform,200,True,1,1
495.0,1.0,Baseline,random,Uniform,200,True,1,1
593.0,1.0,Baseline,random,Uniform,200,True,1,1
591.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
853.0,1.0,Baseline,random,Uniform,200,True,1,1
450.0,1.0,Baseline,random,Uniform,200,True,1,1
446.0,1.0,Baseline,random,Uniform,200,True,1,1
495.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
537.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
1000.0,1.0,Baseline,random,Uniform,200,True,1,1
876.0,1.0,Baseline,random,Uniform,200,True,1,1
