T,E,Agent_type,Scenario,Trading,RUN_NUMBER
209.0,1.0,random,Baseline,True,1
237.0,1.0,random,Baseline,True,1
183.0,1.0,random,Baseline,True,1
186.0,1.0,random,Baseline,True,1
136.0,1.0,random,Baseline,True,1
268.0,1.0,random,Baseline,True,1
218.0,1.0,random,Baseline,True,1
185.0,1.0,random,Baseline,True,1
173.0,1.0,random,Baseline,True,1
156.0,1.0,random,Baseline,True,1
254.0,1.0,random,Baseline,True,1
189.0,1.0,random,Baseline,True,1
154.0,1.0,random,Baseline,True,1
161.0,1.0,random,Baseline,True,1
147.0,1.0,random,Baseline,True,1
159.0,1.0,random,Baseline,True,1
173.0,1.0,random,Baseline,True,1
129.0,1.0,random,Baseline,True,1
150.0,1.0,random,Baseline,True,1
175.0,1.0,random,Baseline,True,1
203.0,1.0,random,Baseline,True,1
150.0,1.0,random,Baseline,True,1
172.0,1.0,random,Baseline,True,1
144.0,1.0,random,Baseline,True,1
178.0,1.0,random,Baseline,True,1
187.0,1.0,random,Baseline,True,1
240.0,1.0,random,Baseline,True,1
138.0,1.0,random,Baseline,True,1
180.0,1.0,random,Baseline,True,1
169.0,1.0,random,Baseline,True,1
187.0,1.0,random,Baseline,True,1
160.0,1.0,random,Baseline,True,1
196.0,1.0,random,Baseline,True,1
183.0,1.0,random,Baseline,True,1
195.0,1.0,random,Baseline,True,1
149.0,1.0,random,Baseline,True,1
166.0,1.0,random,Baseline,True,1
224.0,1.0,random,Baseline,True,1
209.0,1.0,random,Baseline,True,1
207.0,1.0,random,Baseline,True,1
151.0,1.0,random,Baseline,True,1
206.0,1.0,random,Baseline,True,1
201.0,1.0,random,Baseline,True,1
141.0,1.0,random,Baseline,True,1
168.0,1.0,random,Baseline,True,1
148.0,1.0,random,Baseline,True,1
173.0,1.0,random,Baseline,True,1
161.0,1.0,random,Baseline,True,1
128.0,1.0,random,Baseline,True,1
199.0,1.0,random,Baseline,True,1
177.0,1.0,random,Baseline,True,1
177.0,1.0,random,Baseline,True,1
177.0,1.0,random,Baseline,True,1
168.0,1.0,random,Baseline,True,1
186.0,1.0,random,Baseline,True,1
176.0,1.0,random,Baseline,True,1
166.0,1.0,random,Baseline,True,1
156.0,1.0,random,Baseline,True,1
179.0,1.0,random,Baseline,True,1
161.0,1.0,random,Baseline,True,1
192.0,1.0,random,Baseline,True,1
235.0,1.0,random,Baseline,True,1
148.0,1.0,random,Baseline,True,1
183.0,1.0,random,Baseline,True,1
201.0,1.0,random,Baseline,True,1
141.0,1.0,random,Baseline,True,1
188.0,1.0,random,Baseline,True,1
124.0,1.0,random,Baseline,True,1
230.0,1.0,random,Baseline,True,1
198.0,1.0,random,Baseline,True,1
175.0,1.0,random,Baseline,True,1
256.0,1.0,random,Baseline,True,1
167.0,1.0,random,Baseline,True,1
146.0,1.0,random,Baseline,True,1
256.0,1.0,random,Baseline,True,1
187.0,1.0,random,Baseline,True,1
249.0,1.0,random,Baseline,True,1
194.0,1.0,random,Baseline,True,1
139.0,1.0,random,Baseline,True,1
208.0,1.0,random,Baseline,True,1
239.0,1.0,random,Baseline,True,1
197.0,1.0,random,Baseline,True,1
155.0,1.0,random,Baseline,True,1
199.0,1.0,random,Baseline,True,1
145.0,1.0,random,Baseline,True,1
222.0,1.0,random,Baseline,True,1
139.0,1.0,random,Baseline,True,1
179.0,1.0,random,Baseline,True,1
180.0,1.0,random,Baseline,True,1
175.0,1.0,random,Baseline,True,1
208.0,1.0,random,Baseline,True,1
206.0,1.0,random,Baseline,True,1
141.0,1.0,random,Baseline,True,1
244.0,1.0,random,Baseline,True,1
216.0,1.0,random,Baseline,True,1
149.0,1.0,random,Baseline,True,1
145.0,1.0,random,Baseline,True,1
225.0,1.0,random,Baseline,True,1
197.0,1.0,random,Baseline,True,1
194.0,1.0,random,Baseline,True,1
167.0,1.0,random,Baseline,True,1
217.0,1.0,random,Baseline,True,1
135.0,1.0,random,Baseline,True,1
155.0,1.0,random,Baseline,True,1
189.0,1.0,random,Baseline,True,1
177.0,1.0,random,Baseline,True,1
199.0,1.0,random,Baseline,True,1
184.0,1.0,random,Baseline,True,1
215.0,1.0,random,Baseline,True,1
244.0,1.0,random,Baseline,True,1
178.0,1.0,random,Baseline,True,1
224.0,1.0,random,Baseline,True,1
224.0,1.0,random,Baseline,True,1
173.0,1.0,random,Baseline,True,1
207.0,1.0,random,Baseline,True,1
173.0,1.0,random,Baseline,True,1
195.0,1.0,random,Baseline,True,1
163.0,1.0,random,Baseline,True,1
156.0,1.0,random,Baseline,True,1
197.0,1.0,random,Baseline,True,1
174.0,1.0,random,Baseline,True,1
170.0,1.0,random,Baseline,True,1
134.0,1.0,random,Baseline,True,1
164.0,1.0,random,Baseline,True,1
168.0,1.0,random,Baseline,True,1
155.0,1.0,random,Baseline,True,1
194.0,1.0,random,Baseline,True,1
140.0,1.0,random,Baseline,True,1
188.0,1.0,random,Baseline,True,1
212.0,1.0,random,Baseline,True,1
220.0,1.0,random,Baseline,True,1
186.0,1.0,random,Baseline,True,1
241.0,1.0,random,Baseline,True,1
161.0,1.0,random,Baseline,True,1
189.0,1.0,random,Baseline,True,1
200.0,1.0,random,Baseline,True,1
168.0,1.0,random,Baseline,True,1
235.0,1.0,random,Baseline,True,1
188.0,1.0,random,Baseline,True,1
186.0,1.0,random,Baseline,True,1
166.0,1.0,random,Baseline,True,1
181.0,1.0,random,Baseline,True,1
160.0,1.0,random,Baseline,True,1
195.0,1.0,random,Baseline,True,1
220.0,1.0,random,Baseline,True,1
192.0,1.0,random,Baseline,True,1
217.0,1.0,random,Baseline,True,1
176.0,1.0,random,Baseline,True,1
193.0,1.0,random,Baseline,True,1
179.0,1.0,random,Baseline,True,1
191.0,1.0,random,Baseline,True,1
139.0,1.0,random,Baseline,True,1
197.0,1.0,random,Baseline,True,1
170.0,1.0,random,Baseline,True,1
197.0,1.0,random,Baseline,True,1
124.0,1.0,random,Baseline,True,1
137.0,1.0,random,Baseline,True,1
159.0,1.0,random,Baseline,True,1
224.0,1.0,random,Baseline,True,1
214.0,1.0,random,Baseline,True,1
152.0,1.0,random,Baseline,True,1
159.0,1.0,random,Baseline,True,1
211.0,1.0,random,Baseline,True,1
192.0,1.0,random,Baseline,True,1
211.0,1.0,random,Baseline,True,1
198.0,1.0,random,Baseline,True,1
196.0,1.0,random,Baseline,True,1
150.0,1.0,random,Baseline,True,1
141.0,1.0,random,Baseline,True,1
207.0,1.0,random,Baseline,True,1
159.0,1.0,random,Baseline,True,1
142.0,1.0,random,Baseline,True,1
146.0,1.0,random,Baseline,True,1
190.0,1.0,random,Baseline,True,1
210.0,1.0,random,Baseline,True,1
162.0,1.0,random,Baseline,True,1
247.0,1.0,random,Baseline,True,1
200.0,1.0,random,Baseline,True,1
158.0,1.0,random,Baseline,True,1
192.0,1.0,random,Baseline,True,1
170.0,1.0,random,Baseline,True,1
140.0,1.0,random,Baseline,True,1
148.0,1.0,random,Baseline,True,1
150.0,1.0,random,Baseline,True,1
208.0,1.0,random,Baseline,True,1
228.0,1.0,random,Baseline,True,1
139.0,1.0,random,Baseline,True,1
127.0,1.0,random,Baseline,True,1
238.0,1.0,random,Baseline,True,1
164.0,1.0,random,Baseline,True,1
210.0,1.0,random,Baseline,True,1
226.0,1.0,random,Baseline,True,1
136.0,1.0,random,Baseline,True,1
170.0,1.0,random,Baseline,True,1
153.0,1.0,random,Baseline,True,1
225.0,1.0,random,Baseline,True,1
177.0,1.0,random,Baseline,True,1
156.0,1.0,random,Baseline,True,1
142.0,1.0,random,Baseline,True,1
181.0,1.0,random,Baseline,True,1
