T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
225.0,1.0,Baseline,random,Uniform,50,False,0.8,4
240.0,1.0,Baseline,random,Uniform,50,False,0.8,4
166.0,1.0,Baseline,random,Uniform,50,False,0.8,4
211.0,1.0,Baseline,random,Uniform,50,False,0.8,4
204.0,1.0,Baseline,random,Uniform,50,False,0.8,4
360.0,1.0,Baseline,random,Uniform,50,False,0.8,4
357.0,1.0,Baseline,random,Uniform,50,False,0.8,4
229.0,1.0,Baseline,random,Uniform,50,False,0.8,4
208.0,1.0,Baseline,random,Uniform,50,False,0.8,4
193.0,1.0,Baseline,random,Uniform,50,False,0.8,4
249.0,1.0,Baseline,random,Uniform,50,False,0.8,4
221.0,1.0,Baseline,random,Uniform,50,False,0.8,4
188.0,1.0,Baseline,random,Uniform,50,False,0.8,4
363.0,1.0,Baseline,random,Uniform,50,False,0.8,4
237.0,1.0,Baseline,random,Uniform,50,False,0.8,4
176.0,1.0,Baseline,random,Uniform,50,False,0.8,4
188.0,1.0,Baseline,random,Uniform,50,False,0.8,4
449.0,1.0,Baseline,random,Uniform,50,False,0.8,4
411.0,1.0,Baseline,random,Uniform,50,False,0.8,4
231.0,1.0,Baseline,random,Uniform,50,False,0.8,4
305.0,1.0,Baseline,random,Uniform,50,False,0.8,4
218.0,1.0,Baseline,random,Uniform,50,False,0.8,4
306.0,1.0,Baseline,random,Uniform,50,False,0.8,4
275.0,1.0,Baseline,random,Uniform,50,False,0.8,4
219.0,1.0,Baseline,random,Uniform,50,False,0.8,4
307.0,1.0,Baseline,random,Uniform,50,False,0.8,4
230.0,1.0,Baseline,random,Uniform,50,False,0.8,4
195.0,1.0,Baseline,random,Uniform,50,False,0.8,4
309.0,1.0,Baseline,random,Uniform,50,False,0.8,4
268.0,1.0,Baseline,random,Uniform,50,False,0.8,4
168.0,1.0,Baseline,random,Uniform,50,False,0.8,4
390.0,1.0,Baseline,random,Uniform,50,False,0.8,4
298.0,1.0,Baseline,random,Uniform,50,False,0.8,4
283.0,1.0,Baseline,random,Uniform,50,False,0.8,4
309.0,1.0,Baseline,random,Uniform,50,False,0.8,4
249.0,1.0,Baseline,random,Uniform,50,False,0.8,4
224.0,1.0,Baseline,random,Uniform,50,False,0.8,4
329.0,1.0,Baseline,random,Uniform,50,False,0.8,4
328.0,1.0,Baseline,random,Uniform,50,False,0.8,4
248.0,1.0,Baseline,random,Uniform,50,False,0.8,4
196.0,1.0,Baseline,random,Uniform,50,False,0.8,4
251.0,1.0,Baseline,random,Uniform,50,False,0.8,4
274.0,1.0,Baseline,random,Uniform,50,False,0.8,4
596.0,1.0,Baseline,random,Uniform,50,False,0.8,4
263.0,1.0,Baseline,random,Uniform,50,False,0.8,4
318.0,1.0,Baseline,random,Uniform,50,False,0.8,4
324.0,1.0,Baseline,random,Uniform,50,False,0.8,4
261.0,1.0,Baseline,random,Uniform,50,False,0.8,4
216.0,1.0,Baseline,random,Uniform,50,False,0.8,4
220.0,1.0,Baseline,random,Uniform,50,False,0.8,4
