T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
325.0,1.0,Baseline,random,Uniform,50,False,1,1
221.0,1.0,Baseline,random,Uniform,50,False,1,1
268.0,1.0,Baseline,random,Uniform,50,False,1,1
313.0,1.0,Baseline,random,Uniform,50,False,1,1
285.0,1.0,Baseline,random,Uniform,50,False,1,1
487.0,1.0,Baseline,random,Uniform,50,False,1,1
156.0,1.0,Baseline,random,Uniform,50,False,1,1
271.0,1.0,Baseline,random,Uniform,50,False,1,1
226.0,1.0,Baseline,random,Uniform,50,False,1,1
350.0,1.0,Baseline,random,Uniform,50,False,1,1
249.0,1.0,Baseline,random,Uniform,50,False,1,1
281.0,1.0,Baseline,random,Uniform,50,False,1,1
282.0,1.0,Baseline,random,Uniform,50,False,1,1
217.0,1.0,Baseline,random,Uniform,50,False,1,1
299.0,1.0,Baseline,random,Uniform,50,False,1,1
449.0,1.0,Baseline,random,Uniform,50,False,1,1
231.0,1.0,Baseline,random,Uniform,50,False,1,1
250.0,1.0,Baseline,random,Uniform,50,False,1,1
289.0,1.0,Baseline,random,Uniform,50,False,1,1
336.0,1.0,Baseline,random,Uniform,50,False,1,1
306.0,1.0,Baseline,random,Uniform,50,False,1,1
212.0,1.0,Baseline,random,Uniform,50,False,1,1
219.0,1.0,Baseline,random,Uniform,50,False,1,1
193.0,1.0,Baseline,random,Uniform,50,False,1,1
380.0,1.0,Baseline,random,Uniform,50,False,1,1
354.0,1.0,Baseline,random,Uniform,50,False,1,1
180.0,1.0,Baseline,random,Uniform,50,False,1,1
402.0,1.0,Baseline,random,Uniform,50,False,1,1
228.0,1.0,Baseline,random,Uniform,50,False,1,1
315.0,1.0,Baseline,random,Uniform,50,False,1,1
352.0,1.0,Baseline,random,Uniform,50,False,1,1
194.0,1.0,Baseline,random,Uniform,50,False,1,1
233.0,1.0,Baseline,random,Uniform,50,False,1,1
307.0,1.0,Baseline,random,Uniform,50,False,1,1
271.0,1.0,Baseline,random,Uniform,50,False,1,1
297.0,1.0,Baseline,random,Uniform,50,False,1,1
212.0,1.0,Baseline,random,Uniform,50,False,1,1
376.0,1.0,Baseline,random,Uniform,50,False,1,1
252.0,1.0,Baseline,random,Uniform,50,False,1,1
340.0,1.0,Baseline,random,Uniform,50,False,1,1
298.0,1.0,Baseline,random,Uniform,50,False,1,1
322.0,1.0,Baseline,random,Uniform,50,False,1,1
351.0,1.0,Baseline,random,Uniform,50,False,1,1
225.0,1.0,Baseline,random,Uniform,50,False,1,1
307.0,1.0,Baseline,random,Uniform,50,False,1,1
593.0,1.0,Baseline,random,Uniform,50,False,1,1
331.0,1.0,Baseline,random,Uniform,50,False,1,1
603.0,1.0,Baseline,random,Uniform,50,False,1,1
245.0,1.0,Baseline,random,Uniform,50,False,1,1
330.0,1.0,Baseline,random,Uniform,50,False,1,1
