T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
249.0,1.0,Baseline,random,Uniform,50,True,0.5,1
212.0,1.0,Baseline,random,Uniform,50,True,0.5,1
253.0,1.0,Baseline,random,Uniform,50,True,0.5,1
181.0,1.0,Baseline,random,Uniform,50,True,0.5,1
211.0,1.0,Baseline,random,Uniform,50,True,0.5,1
267.0,1.0,Baseline,random,Uniform,50,True,0.5,1
209.0,1.0,Baseline,random,Uniform,50,True,0.5,1
243.0,1.0,Baseline,random,Uniform,50,True,0.5,1
204.0,1.0,Baseline,random,Uniform,50,True,0.5,1
206.0,1.0,Baseline,random,Uniform,50,True,0.5,1
280.0,1.0,Baseline,random,Uniform,50,True,0.5,1
215.0,1.0,Baseline,random,Uniform,50,True,0.5,1
187.0,1.0,Baseline,random,Uniform,50,True,0.5,1
222.0,1.0,Baseline,random,Uniform,50,True,0.5,1
181.0,1.0,Baseline,random,Uniform,50,True,0.5,1
271.0,1.0,Baseline,random,Uniform,50,True,0.5,1
201.0,1.0,Baseline,random,Uniform,50,True,0.5,1
201.0,1.0,Baseline,random,Uniform,50,True,0.5,1
243.0,1.0,Baseline,random,Uniform,50,True,0.5,1
249.0,1.0,Baseline,random,Uniform,50,True,0.5,1
240.0,1.0,Baseline,random,Uniform,50,True,0.5,1
181.0,1.0,Baseline,random,Uniform,50,True,0.5,1
184.0,1.0,Baseline,random,Uniform,50,True,0.5,1
256.0,1.0,Baseline,random,Uniform,50,True,0.5,1
236.0,1.0,Baseline,random,Uniform,50,True,0.5,1
271.0,1.0,Baseline,random,Uniform,50,True,0.5,1
281.0,1.0,Baseline,random,Uniform,50,True,0.5,1
229.0,1.0,Baseline,random,Uniform,50,True,0.5,1
224.0,1.0,Baseline,random,Uniform,50,True,0.5,1
182.0,1.0,Baseline,random,Uniform,50,True,0.5,1
255.0,1.0,Baseline,random,Uniform,50,True,0.5,1
222.0,1.0,Baseline,random,Uniform,50,True,0.5,1
361.0,1.0,Baseline,random,Uniform,50,True,0.5,1
212.0,1.0,Baseline,random,Uniform,50,True,0.5,1
232.0,1.0,Baseline,random,Uniform,50,True,0.5,1
251.0,1.0,Baseline,random,Uniform,50,True,0.5,1
202.0,1.0,Baseline,random,Uniform,50,True,0.5,1
185.0,1.0,Baseline,random,Uniform,50,True,0.5,1
165.0,1.0,Baseline,random,Uniform,50,True,0.5,1
227.0,1.0,Baseline,random,Uniform,50,True,0.5,1
205.0,1.0,Baseline,random,Uniform,50,True,0.5,1
290.0,1.0,Baseline,random,Uniform,50,True,0.5,1
276.0,1.0,Baseline,random,Uniform,50,True,0.5,1
238.0,1.0,Baseline,random,Uniform,50,True,0.5,1
227.0,1.0,Baseline,random,Uniform,50,True,0.5,1
282.0,1.0,Baseline,random,Uniform,50,True,0.5,1
244.0,1.0,Baseline,random,Uniform,50,True,0.5,1
242.0,1.0,Baseline,random,Uniform,50,True,0.5,1
208.0,1.0,Baseline,random,Uniform,50,True,0.5,1
249.0,1.0,Baseline,random,Uniform,50,True,0.5,1
