T,E,Agent_type,Scenario,Trading,RUN_NUMBER
162.0,1.0,pathfind_market,Market,True,1
195.0,1.0,pathfind_market,Market,True,1
257.0,1.0,pathfind_market,Market,True,1
336.0,1.0,pathfind_market,Market,True,1
133.0,1.0,pathfind_market,Market,True,1
151.0,1.0,pathfind_market,Market,True,1
264.0,1.0,pathfind_market,Market,True,1
151.0,1.0,pathfind_market,Market,True,1
151.0,1.0,pathfind_market,Market,True,1
141.0,1.0,pathfind_market,Market,True,1
163.0,1.0,pathfind_market,Market,True,1
240.0,1.0,pathfind_market,Market,True,1
176.0,1.0,pathfind_market,Market,True,1
161.0,1.0,pathfind_market,Market,True,1
167.0,1.0,pathfind_market,Market,True,1
157.0,1.0,pathfind_market,Market,True,1
153.0,1.0,pathfind_market,Market,True,1
204.0,1.0,pathfind_market,Market,True,1
187.0,1.0,pathfind_market,Market,True,1
184.0,1.0,pathfind_market,Market,True,1
145.0,1.0,pathfind_market,Market,True,1
169.0,1.0,pathfind_market,Market,True,1
195.0,1.0,pathfind_market,Market,True,1
253.0,1.0,pathfind_market,Market,True,1
215.0,1.0,pathfind_market,Market,True,1
260.0,1.0,pathfind_market,Market,True,1
210.0,1.0,pathfind_market,Market,True,1
178.0,1.0,pathfind_market,Market,True,1
203.0,1.0,pathfind_market,Market,True,1
218.0,1.0,pathfind_market,Market,True,1
179.0,1.0,pathfind_market,Market,True,1
201.0,1.0,pathfind_market,Market,True,1
178.0,1.0,pathfind_market,Market,True,1
141.0,1.0,pathfind_market,Market,True,1
194.0,1.0,pathfind_market,Market,True,1
172.0,1.0,pathfind_market,Market,True,1
216.0,1.0,pathfind_market,Market,True,1
137.0,1.0,pathfind_market,Market,True,1
178.0,1.0,pathfind_market,Market,True,1
160.0,1.0,pathfind_market,Market,True,1
147.0,1.0,pathfind_market,Market,True,1
187.0,1.0,pathfind_market,Market,True,1
189.0,1.0,pathfind_market,Market,True,1
150.0,1.0,pathfind_market,Market,True,1
199.0,1.0,pathfind_market,Market,True,1
187.0,1.0,pathfind_market,Market,True,1
101.0,1.0,pathfind_market,Market,True,1
130.0,1.0,pathfind_market,Market,True,1
212.0,1.0,pathfind_market,Market,True,1
231.0,1.0,pathfind_market,Market,True,1
201.0,1.0,pathfind_market,Market,True,1
171.0,1.0,pathfind_market,Market,True,1
161.0,1.0,pathfind_market,Market,True,1
168.0,1.0,pathfind_market,Market,True,1
141.0,1.0,pathfind_market,Market,True,1
143.0,1.0,pathfind_market,Market,True,1
221.0,1.0,pathfind_market,Market,True,1
153.0,1.0,pathfind_market,Market,True,1
187.0,1.0,pathfind_market,Market,True,1
156.0,1.0,pathfind_market,Market,True,1
145.0,1.0,pathfind_market,Market,True,1
198.0,1.0,pathfind_market,Market,True,1
102.0,1.0,pathfind_market,Market,True,1
163.0,1.0,pathfind_market,Market,True,1
245.0,1.0,pathfind_market,Market,True,1
173.0,1.0,pathfind_market,Market,True,1
173.0,1.0,pathfind_market,Market,True,1
132.0,1.0,pathfind_market,Market,True,1
176.0,1.0,pathfind_market,Market,True,1
162.0,1.0,pathfind_market,Market,True,1
143.0,1.0,pathfind_market,Market,True,1
162.0,1.0,pathfind_market,Market,True,1
171.0,1.0,pathfind_market,Market,True,1
183.0,1.0,pathfind_market,Market,True,1
186.0,1.0,pathfind_market,Market,True,1
153.0,1.0,pathfind_market,Market,True,1
190.0,1.0,pathfind_market,Market,True,1
154.0,1.0,pathfind_market,Market,True,1
165.0,1.0,pathfind_market,Market,True,1
163.0,1.0,pathfind_market,Market,True,1
317.0,1.0,pathfind_market,Market,True,1
176.0,1.0,pathfind_market,Market,True,1
186.0,1.0,pathfind_market,Market,True,1
207.0,1.0,pathfind_market,Market,True,1
131.0,1.0,pathfind_market,Market,True,1
121.0,1.0,pathfind_market,Market,True,1
216.0,1.0,pathfind_market,Market,True,1
136.0,1.0,pathfind_market,Market,True,1
150.0,1.0,pathfind_market,Market,True,1
193.0,1.0,pathfind_market,Market,True,1
149.0,1.0,pathfind_market,Market,True,1
145.0,1.0,pathfind_market,Market,True,1
162.0,1.0,pathfind_market,Market,True,1
219.0,1.0,pathfind_market,Market,True,1
152.0,1.0,pathfind_market,Market,True,1
156.0,1.0,pathfind_market,Market,True,1
141.0,1.0,pathfind_market,Market,True,1
181.0,1.0,pathfind_market,Market,True,1
173.0,1.0,pathfind_market,Market,True,1
186.0,1.0,pathfind_market,Market,True,1
141.0,1.0,pathfind_market,Market,True,1
171.0,1.0,pathfind_market,Market,True,1
173.0,1.0,pathfind_market,Market,True,1
151.0,1.0,pathfind_market,Market,True,1
171.0,1.0,pathfind_market,Market,True,1
177.0,1.0,pathfind_market,Market,True,1
173.0,1.0,pathfind_market,Market,True,1
232.0,1.0,pathfind_market,Market,True,1
181.0,1.0,pathfind_market,Market,True,1
160.0,1.0,pathfind_market,Market,True,1
212.0,1.0,pathfind_market,Market,True,1
210.0,1.0,pathfind_market,Market,True,1
131.0,1.0,pathfind_market,Market,True,1
187.0,1.0,pathfind_market,Market,True,1
161.0,1.0,pathfind_market,Market,True,1
199.0,1.0,pathfind_market,Market,True,1
155.0,1.0,pathfind_market,Market,True,1
228.0,1.0,pathfind_market,Market,True,1
189.0,1.0,pathfind_market,Market,True,1
146.0,1.0,pathfind_market,Market,True,1
179.0,1.0,pathfind_market,Market,True,1
270.0,1.0,pathfind_market,Market,True,1
185.0,1.0,pathfind_market,Market,True,1
258.0,1.0,pathfind_market,Market,True,1
175.0,1.0,pathfind_market,Market,True,1
212.0,1.0,pathfind_market,Market,True,1
145.0,1.0,pathfind_market,Market,True,1
190.0,1.0,pathfind_market,Market,True,1
171.0,1.0,pathfind_market,Market,True,1
185.0,1.0,pathfind_market,Market,True,1
155.0,1.0,pathfind_market,Market,True,1
265.0,1.0,pathfind_market,Market,True,1
187.0,1.0,pathfind_market,Market,True,1
153.0,1.0,pathfind_market,Market,True,1
174.0,1.0,pathfind_market,Market,True,1
219.0,1.0,pathfind_market,Market,True,1
154.0,1.0,pathfind_market,Market,True,1
131.0,1.0,pathfind_market,Market,True,1
213.0,1.0,pathfind_market,Market,True,1
236.0,1.0,pathfind_market,Market,True,1
211.0,1.0,pathfind_market,Market,True,1
173.0,1.0,pathfind_market,Market,True,1
250.0,1.0,pathfind_market,Market,True,1
154.0,1.0,pathfind_market,Market,True,1
170.0,1.0,pathfind_market,Market,True,1
194.0,1.0,pathfind_market,Market,True,1
162.0,1.0,pathfind_market,Market,True,1
145.0,1.0,pathfind_market,Market,True,1
171.0,1.0,pathfind_market,Market,True,1
202.0,1.0,pathfind_market,Market,True,1
122.0,1.0,pathfind_market,Market,True,1
141.0,1.0,pathfind_market,Market,True,1
245.0,1.0,pathfind_market,Market,True,1
167.0,1.0,pathfind_market,Market,True,1
190.0,1.0,pathfind_market,Market,True,1
186.0,1.0,pathfind_market,Market,True,1
159.0,1.0,pathfind_market,Market,True,1
210.0,1.0,pathfind_market,Market,True,1
141.0,1.0,pathfind_market,Market,True,1
268.0,1.0,pathfind_market,Market,True,1
181.0,1.0,pathfind_market,Market,True,1
161.0,1.0,pathfind_market,Market,True,1
238.0,1.0,pathfind_market,Market,True,1
239.0,1.0,pathfind_market,Market,True,1
122.0,1.0,pathfind_market,Market,True,1
131.0,1.0,pathfind_market,Market,True,1
171.0,1.0,pathfind_market,Market,True,1
163.0,1.0,pathfind_market,Market,True,1
152.0,1.0,pathfind_market,Market,True,1
168.0,1.0,pathfind_market,Market,True,1
239.0,1.0,pathfind_market,Market,True,1
166.0,1.0,pathfind_market,Market,True,1
218.0,1.0,pathfind_market,Market,True,1
203.0,1.0,pathfind_market,Market,True,1
228.0,1.0,pathfind_market,Market,True,1
151.0,1.0,pathfind_market,Market,True,1
192.0,1.0,pathfind_market,Market,True,1
171.0,1.0,pathfind_market,Market,True,1
147.0,1.0,pathfind_market,Market,True,1
184.0,1.0,pathfind_market,Market,True,1
188.0,1.0,pathfind_market,Market,True,1
161.0,1.0,pathfind_market,Market,True,1
246.0,1.0,pathfind_market,Market,True,1
201.0,1.0,pathfind_market,Market,True,1
186.0,1.0,pathfind_market,Market,True,1
193.0,1.0,pathfind_market,Market,True,1
219.0,1.0,pathfind_market,Market,True,1
255.0,1.0,pathfind_market,Market,True,1
165.0,1.0,pathfind_market,Market,True,1
144.0,1.0,pathfind_market,Market,True,1
177.0,1.0,pathfind_market,Market,True,1
221.0,1.0,pathfind_market,Market,True,1
210.0,1.0,pathfind_market,Market,True,1
161.0,1.0,pathfind_market,Market,True,1
229.0,1.0,pathfind_market,Market,True,1
219.0,1.0,pathfind_market,Market,True,1
164.0,1.0,pathfind_market,Market,True,1
196.0,1.0,pathfind_market,Market,True,1
141.0,1.0,pathfind_market,Market,True,1
182.0,1.0,pathfind_market,Market,True,1
