ignore,events-1,alive_times-1
0,0,101
0,0,141
0,0,161
0,0,224
0,0,161
0,0,266
0,0,232
0,0,141
0,0,184
0,0,156
0,0,255
0,0,239
0,0,141
0,0,197
0,0,144
0,0,238
0,0,128
0,0,172
0,0,218
0,0,194
0,0,175
0,0,236
0,0,213
0,0,228
0,0,151
0,0,150
0,0,165
0,0,237
0,0,191
0,0,131
0,0,101
0,0,141
0,0,133
0,0,245
0,0,149
0,0,141
0,0,199
0,0,158
0,0,181
0,0,211
0,0,177
0,0,158
0,0,248
0,0,121
0,0,221
0,0,141
0,0,188
0,0,244
0,0,236
0,0,237
0,0,236
0,0,223
0,0,137
0,0,170
0,0,214
0,0,210
0,0,101
0,0,141
0,0,162
0,0,187
0,0,151
0,0,228
0,0,241
0,0,157
0,0,175
0,0,111
0,0,192
0,0,121
0,0,131
0,0,255
0,0,160
0,0,201
0,0,179
0,0,161
0,0,146
0,0,237
0,0,163
0,0,154
0,0,199
0,0,223
0,0,121
0,0,146
0,0,101
0,0,228
0,0,236
0,0,143
0,0,101
0,0,191
0,0,131
0,0,166
0,0,177
0,0,221
0,0,223
0,0,186
0,0,174
0,0,168
0,0,272
0,0,151
0,0,169
0,0,160
0,0,196
0,1,132
0,0,162
0,0,232
0,0,151
0,0,160
0,1,192
0,1,284
0,0,193
0,0,183
0,0,141
0,1,243
0,0,167
0,0,157
0,0,107
0,0,153
0,0,181
0,0,252
0,0,200
0,0,194
0,0,156
0,1,175
0,0,186
0,1,162
0,0,141
0,0,223
0,1,177
0,0,191
0,1,131
0,1,145
0,0,162
0,1,183
0,1,216
0,1,173
0,0,111
0,0,209
0,0,188
0,1,159
0,1,170
0,0,121
0,0,210
0,1,138
0,0,131
0,1,214
0,1,158
0,1,141
0,1,111
0,0,164
0,1,195
0,1,194
0,1,194
0,1,151
0,1,294
0,1,184
0,1,171
0,1,177
0,1,217
0,1,164
0,1,175
0,1,161
0,1,178
0,1,129
0,1,121
0,1,152
0,1,133
0,1,191
0,1,165
0,1,141
0,1,144
0,1,121
0,1,131
0,1,167
0,1,204
0,1,148
0,1,196
0,1,155
0,0,171
0,1,183
0,1,121
0,1,179
0,1,209
0,1,167
0,0,126
0,1,216
0,1,212
0,1,111
0,1,193
0,1,180
0,1,185
0,0,106
0,0,123
0,1,292
0,1,146
0,1,204
0,1,245
0,1,129
0,1,138
0,1,174
0,0,101
0,1,219
0,1,-1
0,1,-1
0,0,-1
0,0,-1
0,1,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,0,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,0,-1
0,1,-1
0,0,-1
0,1,-1
0,1,-1
0,0,-1
0,0,-1
0,0,-1
0,1,-1
0,0,-1
0,0,-1
0,0,-1
0,1,-1
0,0,-1
0,0,-1
0,0,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,0,-1
0,1,-1
0,0,-1
0,1,-1
0,1,-1
0,1,-1
0,0,-1
0,0,-1
0,1,-1
0,0,-1
0,0,-1
0,0,-1
0,1,-1
0,0,-1
0,0,-1
0,1,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,1,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,1,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,1,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,1,-1
0,0,-1
0,1,-1
0,0,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
