T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
249.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
181.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
249.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
253.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
121.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
300.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
151.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
215.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
151.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
203.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
407.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
170.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
196.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
224.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
183.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
159.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
481.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
191.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
368.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
179.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
190.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
246.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
189.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
228.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
141.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
180.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
231.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
173.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
458.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
254.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
319.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
332.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
184.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
241.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
294.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
240.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
401.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
133.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
193.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
209.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
182.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
179.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
284.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
154.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
235.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
210.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
189.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
243.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
270.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
353.0,1.0,Market,pathfind_market,RandomGrid,50,True,0.8,2
