T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
169.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
144.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
248.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
202.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
230.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
140.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
188.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
223.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
167.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
120.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
146.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
213.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
264.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
192.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
212.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
203.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
272.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
169.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
167.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
200.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
170.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
241.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
302.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
192.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
237.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
295.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
264.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
227.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
188.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
136.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
186.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
146.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
170.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
257.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
141.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
181.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
131.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
182.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
148.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
201.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
163.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
236.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
184.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
246.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
217.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
273.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
230.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
151.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
127.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
315.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
155.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
195.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
192.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
371.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
216.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
196.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
200.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
216.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
201.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
220.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
148.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
147.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
140.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
147.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
237.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
240.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
208.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
256.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
177.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
199.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
256.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
189.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
219.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
178.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
318.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
254.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
202.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
151.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
128.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
191.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
209.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
278.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
191.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
127.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
243.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
169.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
284.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
225.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
232.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
246.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
248.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
170.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
175.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
248.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
360.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
169.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
189.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
235.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
185.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
163.0,1.0,Market,pathfind_market,Uniform,100,True,0.5,3
