T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
286.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
218.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
433.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
198.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
194.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
324.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
247.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
281.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
215.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
299.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
281.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
287.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
235.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
214.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
181.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
235.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
129.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
254.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
205.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
177.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
276.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
173.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
170.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
243.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
125.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
278.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
146.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
129.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
210.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
113.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
311.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
195.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
208.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
147.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
118.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
214.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
210.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
156.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
179.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
178.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
224.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
237.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
261.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
252.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
264.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
156.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
196.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
279.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
296.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
187.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
196.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
210.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
207.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
181.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
253.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
288.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
188.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
213.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
243.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
207.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
122.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
190.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
240.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
226.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
221.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
229.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
158.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
212.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
206.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
256.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
110.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
250.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
197.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
218.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
217.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
253.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
229.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
284.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
122.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
202.0,1.0,Market,pathfind_market,Uniform,100,True,1,3
