T,E,Agent_type,Scenario,Trading,RUN_NUMBER
203.0,1.0,pathfind_market,Market,True,1
153.0,1.0,pathfind_market,Market,True,1
142.0,1.0,pathfind_market,Market,True,1
207.0,1.0,pathfind_market,Market,True,1
206.0,1.0,pathfind_market,Market,True,1
198.0,1.0,pathfind_market,Market,True,1
234.0,1.0,pathfind_market,Market,True,1
152.0,1.0,pathfind_market,Market,True,1
209.0,1.0,pathfind_market,Market,True,1
222.0,1.0,pathfind_market,Market,True,1
201.0,1.0,pathfind_market,Market,True,1
139.0,1.0,pathfind_market,Market,True,1
196.0,1.0,pathfind_market,Market,True,1
150.0,1.0,pathfind_market,Market,True,1
146.0,1.0,pathfind_market,Market,True,1
166.0,1.0,pathfind_market,Market,True,1
192.0,1.0,pathfind_market,Market,True,1
226.0,1.0,pathfind_market,Market,True,1
159.0,1.0,pathfind_market,Market,True,1
214.0,1.0,pathfind_market,Market,True,1
190.0,1.0,pathfind_market,Market,True,1
147.0,1.0,pathfind_market,Market,True,1
170.0,1.0,pathfind_market,Market,True,1
188.0,1.0,pathfind_market,Market,True,1
249.0,1.0,pathfind_market,Market,True,1
162.0,1.0,pathfind_market,Market,True,1
141.0,1.0,pathfind_market,Market,True,1
200.0,1.0,pathfind_market,Market,True,1
142.0,1.0,pathfind_market,Market,True,1
151.0,1.0,pathfind_market,Market,True,1
158.0,1.0,pathfind_market,Market,True,1
198.0,1.0,pathfind_market,Market,True,1
226.0,1.0,pathfind_market,Market,True,1
176.0,1.0,pathfind_market,Market,True,1
187.0,1.0,pathfind_market,Market,True,1
199.0,1.0,pathfind_market,Market,True,1
179.0,1.0,pathfind_market,Market,True,1
221.0,1.0,pathfind_market,Market,True,1
153.0,1.0,pathfind_market,Market,True,1
246.0,1.0,pathfind_market,Market,True,1
144.0,1.0,pathfind_market,Market,True,1
211.0,1.0,pathfind_market,Market,True,1
213.0,1.0,pathfind_market,Market,True,1
160.0,1.0,pathfind_market,Market,True,1
222.0,1.0,pathfind_market,Market,True,1
204.0,1.0,pathfind_market,Market,True,1
175.0,1.0,pathfind_market,Market,True,1
159.0,1.0,pathfind_market,Market,True,1
153.0,1.0,pathfind_market,Market,True,1
278.0,1.0,pathfind_market,Market,True,1
191.0,1.0,pathfind_market,Market,True,1
224.0,1.0,pathfind_market,Market,True,1
173.0,1.0,pathfind_market,Market,True,1
256.0,1.0,pathfind_market,Market,True,1
187.0,1.0,pathfind_market,Market,True,1
150.0,1.0,pathfind_market,Market,True,1
126.0,1.0,pathfind_market,Market,True,1
167.0,1.0,pathfind_market,Market,True,1
180.0,1.0,pathfind_market,Market,True,1
198.0,1.0,pathfind_market,Market,True,1
176.0,1.0,pathfind_market,Market,True,1
210.0,1.0,pathfind_market,Market,True,1
177.0,1.0,pathfind_market,Market,True,1
169.0,1.0,pathfind_market,Market,True,1
209.0,1.0,pathfind_market,Market,True,1
157.0,1.0,pathfind_market,Market,True,1
177.0,1.0,pathfind_market,Market,True,1
217.0,1.0,pathfind_market,Market,True,1
171.0,1.0,pathfind_market,Market,True,1
234.0,1.0,pathfind_market,Market,True,1
172.0,1.0,pathfind_market,Market,True,1
221.0,1.0,pathfind_market,Market,True,1
184.0,1.0,pathfind_market,Market,True,1
161.0,1.0,pathfind_market,Market,True,1
190.0,1.0,pathfind_market,Market,True,1
149.0,1.0,pathfind_market,Market,True,1
159.0,1.0,pathfind_market,Market,True,1
177.0,1.0,pathfind_market,Market,True,1
170.0,1.0,pathfind_market,Market,True,1
207.0,1.0,pathfind_market,Market,True,1
186.0,1.0,pathfind_market,Market,True,1
163.0,1.0,pathfind_market,Market,True,1
194.0,1.0,pathfind_market,Market,True,1
186.0,1.0,pathfind_market,Market,True,1
201.0,1.0,pathfind_market,Market,True,1
140.0,1.0,pathfind_market,Market,True,1
223.0,1.0,pathfind_market,Market,True,1
164.0,1.0,pathfind_market,Market,True,1
168.0,1.0,pathfind_market,Market,True,1
136.0,1.0,pathfind_market,Market,True,1
192.0,1.0,pathfind_market,Market,True,1
152.0,1.0,pathfind_market,Market,True,1
167.0,1.0,pathfind_market,Market,True,1
141.0,1.0,pathfind_market,Market,True,1
192.0,1.0,pathfind_market,Market,True,1
149.0,1.0,pathfind_market,Market,True,1
174.0,1.0,pathfind_market,Market,True,1
203.0,1.0,pathfind_market,Market,True,1
217.0,1.0,pathfind_market,Market,True,1
185.0,1.0,pathfind_market,Market,True,1
155.0,1.0,pathfind_market,Market,True,1
208.0,1.0,pathfind_market,Market,True,1
154.0,1.0,pathfind_market,Market,True,1
145.0,1.0,pathfind_market,Market,True,1
171.0,1.0,pathfind_market,Market,True,1
162.0,1.0,pathfind_market,Market,True,1
229.0,1.0,pathfind_market,Market,True,1
210.0,1.0,pathfind_market,Market,True,1
192.0,1.0,pathfind_market,Market,True,1
217.0,1.0,pathfind_market,Market,True,1
161.0,1.0,pathfind_market,Market,True,1
190.0,1.0,pathfind_market,Market,True,1
144.0,1.0,pathfind_market,Market,True,1
189.0,1.0,pathfind_market,Market,True,1
132.0,1.0,pathfind_market,Market,True,1
158.0,1.0,pathfind_market,Market,True,1
223.0,1.0,pathfind_market,Market,True,1
189.0,1.0,pathfind_market,Market,True,1
131.0,1.0,pathfind_market,Market,True,1
169.0,1.0,pathfind_market,Market,True,1
156.0,1.0,pathfind_market,Market,True,1
143.0,1.0,pathfind_market,Market,True,1
231.0,1.0,pathfind_market,Market,True,1
203.0,1.0,pathfind_market,Market,True,1
161.0,1.0,pathfind_market,Market,True,1
131.0,1.0,pathfind_market,Market,True,1
