T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
395.0,1.0,Baseline,random,RandomGrid,200,True,1,1
1000.0,1.0,Baseline,random,RandomGrid,200,True,1,1
394.0,1.0,Baseline,random,RandomGrid,200,True,1,1
438.0,1.0,Baseline,random,RandomGrid,200,True,1,1
1000.0,1.0,Baseline,random,RandomGrid,200,True,1,1
593.0,1.0,Baseline,random,RandomGrid,200,True,1,1
1000.0,1.0,Baseline,random,RandomGrid,200,True,1,1
1000.0,1.0,Baseline,random,RandomGrid,200,True,1,1
390.0,1.0,Baseline,random,RandomGrid,200,True,1,1
417.0,1.0,Baseline,random,RandomGrid,200,True,1,1
328.0,1.0,Baseline,random,RandomGrid,200,True,1,1
1000.0,1.0,Baseline,random,RandomGrid,200,True,1,1
406.0,1.0,Baseline,random,RandomGrid,200,True,1,1
401.0,1.0,Baseline,random,RandomGrid,200,True,1,1
210.0,1.0,Baseline,random,RandomGrid,200,True,1,1
1000.0,1.0,Baseline,random,RandomGrid,200,True,1,1
1000.0,1.0,Baseline,random,RandomGrid,200,True,1,1
472.0,1.0,Baseline,random,RandomGrid,200,True,1,1
1000.0,1.0,Baseline,random,RandomGrid,200,True,1,1
1000.0,1.0,Baseline,random,RandomGrid,200,True,1,1
1000.0,1.0,Baseline,random,RandomGrid,200,True,1,1
508.0,1.0,Baseline,random,RandomGrid,200,True,1,1
140.0,1.0,Baseline,random,RandomGrid,200,True,1,1
1000.0,1.0,Baseline,random,RandomGrid,200,True,1,1
417.0,1.0,Baseline,random,RandomGrid,200,True,1,1
1000.0,1.0,Baseline,random,RandomGrid,200,True,1,1
334.0,1.0,Baseline,random,RandomGrid,200,True,1,1
523.0,1.0,Baseline,random,RandomGrid,200,True,1,1
403.0,1.0,Baseline,random,RandomGrid,200,True,1,1
344.0,1.0,Baseline,random,RandomGrid,200,True,1,1
1000.0,1.0,Baseline,random,RandomGrid,200,True,1,1
