T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
180.0,1.0,Baseline,random,RandomGrid,300,False,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,False,1,4
217.0,1.0,Baseline,random,RandomGrid,300,False,1,4
205.0,1.0,Baseline,random,RandomGrid,300,False,1,4
341.0,1.0,Baseline,random,RandomGrid,300,False,1,4
272.0,1.0,Baseline,random,RandomGrid,300,False,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,False,1,4
291.0,1.0,Baseline,random,RandomGrid,300,False,1,4
493.0,1.0,Baseline,random,RandomGrid,300,False,1,4
361.0,1.0,Baseline,random,RandomGrid,300,False,1,4
517.0,1.0,Baseline,random,RandomGrid,300,False,1,4
232.0,1.0,Baseline,random,RandomGrid,300,False,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,False,1,4
243.0,1.0,Baseline,random,RandomGrid,300,False,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,False,1,4
358.0,1.0,Baseline,random,RandomGrid,300,False,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,False,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,False,1,4
197.0,1.0,Baseline,random,RandomGrid,300,False,1,4
204.0,1.0,Baseline,random,RandomGrid,300,False,1,4
144.0,1.0,Baseline,random,RandomGrid,300,False,1,4
223.0,1.0,Baseline,random,RandomGrid,300,False,1,4
439.0,1.0,Baseline,random,RandomGrid,300,False,1,4
640.0,1.0,Baseline,random,RandomGrid,300,False,1,4
202.0,1.0,Baseline,random,RandomGrid,300,False,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,False,1,4
282.0,1.0,Baseline,random,RandomGrid,300,False,1,4
125.0,1.0,Baseline,random,RandomGrid,300,False,1,4
164.0,1.0,Baseline,random,RandomGrid,300,False,1,4
304.0,1.0,Baseline,random,RandomGrid,300,False,1,4
250.0,1.0,Baseline,random,RandomGrid,300,False,1,4
216.0,1.0,Baseline,random,RandomGrid,300,False,1,4
119.0,1.0,Baseline,random,RandomGrid,300,False,1,4
244.0,1.0,Baseline,random,RandomGrid,300,False,1,4
262.0,1.0,Baseline,random,RandomGrid,300,False,1,4
278.0,1.0,Baseline,random,RandomGrid,300,False,1,4
624.0,1.0,Baseline,random,RandomGrid,300,False,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,False,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,False,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,False,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,False,1,4
156.0,1.0,Baseline,random,RandomGrid,300,False,1,4
211.0,1.0,Baseline,random,RandomGrid,300,False,1,4
315.0,1.0,Baseline,random,RandomGrid,300,False,1,4
417.0,1.0,Baseline,random,RandomGrid,300,False,1,4
151.0,1.0,Baseline,random,RandomGrid,300,False,1,4
278.0,1.0,Baseline,random,RandomGrid,300,False,1,4
228.0,1.0,Baseline,random,RandomGrid,300,False,1,4
168.0,1.0,Baseline,random,RandomGrid,300,False,1,4
215.0,1.0,Baseline,random,RandomGrid,300,False,1,4
157.0,1.0,Baseline,random,RandomGrid,300,False,1,4
430.0,1.0,Baseline,random,RandomGrid,300,False,1,4
264.0,1.0,Baseline,random,RandomGrid,300,False,1,4
810.0,1.0,Baseline,random,RandomGrid,300,False,1,4
239.0,1.0,Baseline,random,RandomGrid,300,False,1,4
259.0,1.0,Baseline,random,RandomGrid,300,False,1,4
257.0,1.0,Baseline,random,RandomGrid,300,False,1,4
180.0,1.0,Baseline,random,RandomGrid,300,False,1,4
155.0,1.0,Baseline,random,RandomGrid,300,False,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,False,1,4
172.0,1.0,Baseline,random,RandomGrid,300,False,1,4
208.0,1.0,Baseline,random,RandomGrid,300,False,1,4
1000.0,1.0,Baseline,random,RandomGrid,300,False,1,4
180.0,1.0,Baseline,random,RandomGrid,300,False,1,4
