T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
100.0,1.0,Baseline,random,Sides,200,False,0.8,1
