T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
181.0,1.0,Baseline,random,Sides,200,True,0.5,4
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
198.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
134.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
190.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
174.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
181.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
181.0,1.0,Baseline,random,Sides,200,True,0.5,4
200.0,1.0,Baseline,random,Sides,200,True,0.5,4
190.0,1.0,Baseline,random,Sides,200,True,0.5,4
181.0,1.0,Baseline,random,Sides,200,True,0.5,4
181.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
190.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
200.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
200.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
190.0,1.0,Baseline,random,Sides,200,True,0.5,4
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
200.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
200.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
154.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
181.0,1.0,Baseline,random,Sides,200,True,0.5,4
181.0,1.0,Baseline,random,Sides,200,True,0.5,4
190.0,1.0,Baseline,random,Sides,200,True,0.5,4
190.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
181.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
200.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
190.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
146.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
181.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
181.0,1.0,Baseline,random,Sides,200,True,0.5,4
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
190.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
181.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
200.0,1.0,Baseline,random,Sides,200,True,0.5,4
200.0,1.0,Baseline,random,Sides,200,True,0.5,4
181.0,1.0,Baseline,random,Sides,200,True,0.5,4
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
190.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
200.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
181.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
190.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
200.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
200.0,1.0,Baseline,random,Sides,200,True,0.5,4
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
151.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
186.0,1.0,Baseline,random,Sides,200,True,0.5,4
190.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
141.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
101.0,1.0,Baseline,random,Sides,200,True,0.5,4
171.0,1.0,Baseline,random,Sides,200,True,0.5,4
121.0,1.0,Baseline,random,Sides,200,True,0.5,4
111.0,1.0,Baseline,random,Sides,200,True,0.5,4
161.0,1.0,Baseline,random,Sides,200,True,0.5,4
131.0,1.0,Baseline,random,Sides,200,True,0.5,4
163.0,1.0,Baseline,random,Sides,200,True,0.5,4
200.0,1.0,Baseline,random,Sides,200,True,0.5,4
181.0,1.0,Baseline,random,Sides,200,True,0.5,4
