T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
325.0,1.0,Baseline,random,Uniform,200,True,1,4
445.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
545.0,1.0,Baseline,random,Uniform,200,True,1,4
511.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
509.0,1.0,Baseline,random,Uniform,200,True,1,4
484.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
441.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
520.0,1.0,Baseline,random,Uniform,200,True,1,4
443.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
475.0,1.0,Baseline,random,Uniform,200,True,1,4
575.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
452.0,1.0,Baseline,random,Uniform,200,True,1,4
737.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
378.0,1.0,Baseline,random,Uniform,200,True,1,4
447.0,1.0,Baseline,random,Uniform,200,True,1,4
405.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
368.0,1.0,Baseline,random,Uniform,200,True,1,4
356.0,1.0,Baseline,random,Uniform,200,True,1,4
596.0,1.0,Baseline,random,Uniform,200,True,1,4
719.0,1.0,Baseline,random,Uniform,200,True,1,4
492.0,1.0,Baseline,random,Uniform,200,True,1,4
374.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
517.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
451.0,1.0,Baseline,random,Uniform,200,True,1,4
998.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
490.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
545.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
433.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
441.0,1.0,Baseline,random,Uniform,200,True,1,4
1000.0,1.0,Baseline,random,Uniform,200,True,1,4
