T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
241.0,1.0,Baseline,random,Uniform,300,False,0.8,0
1000.0,1.0,Baseline,random,Uniform,300,False,0.8,0
366.0,1.0,Baseline,random,Uniform,300,False,0.8,0
294.0,1.0,Baseline,random,Uniform,300,False,0.8,0
476.0,1.0,Baseline,random,Uniform,300,False,0.8,0
440.0,1.0,Baseline,random,Uniform,300,False,0.8,0
250.0,1.0,Baseline,random,Uniform,300,False,0.8,0
1000.0,1.0,Baseline,random,Uniform,300,False,0.8,0
264.0,1.0,Baseline,random,Uniform,300,False,0.8,0
1000.0,1.0,Baseline,random,Uniform,300,False,0.8,0
249.0,1.0,Baseline,random,Uniform,300,False,0.8,0
309.0,1.0,Baseline,random,Uniform,300,False,0.8,0
304.0,1.0,Baseline,random,Uniform,300,False,0.8,0
216.0,1.0,Baseline,random,Uniform,300,False,0.8,0
276.0,1.0,Baseline,random,Uniform,300,False,0.8,0
357.0,1.0,Baseline,random,Uniform,300,False,0.8,0
1000.0,1.0,Baseline,random,Uniform,300,False,0.8,0
312.0,1.0,Baseline,random,Uniform,300,False,0.8,0
309.0,1.0,Baseline,random,Uniform,300,False,0.8,0
325.0,1.0,Baseline,random,Uniform,300,False,0.8,0
432.0,1.0,Baseline,random,Uniform,300,False,0.8,0
448.0,1.0,Baseline,random,Uniform,300,False,0.8,0
1000.0,1.0,Baseline,random,Uniform,300,False,0.8,0
426.0,1.0,Baseline,random,Uniform,300,False,0.8,0
1000.0,1.0,Baseline,random,Uniform,300,False,0.8,0
1000.0,1.0,Baseline,random,Uniform,300,False,0.8,0
284.0,1.0,Baseline,random,Uniform,300,False,0.8,0
1000.0,1.0,Baseline,random,Uniform,300,False,0.8,0
248.0,1.0,Baseline,random,Uniform,300,False,0.8,0
319.0,1.0,Baseline,random,Uniform,300,False,0.8,0
401.0,1.0,Baseline,random,Uniform,300,False,0.8,0
