T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
293.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
346.0,1.0,Baseline,random,Uniform,300,False,1,4
270.0,1.0,Baseline,random,Uniform,300,False,1,4
294.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
376.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
402.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
450.0,1.0,Baseline,random,Uniform,300,False,1,4
310.0,1.0,Baseline,random,Uniform,300,False,1,4
215.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
307.0,1.0,Baseline,random,Uniform,300,False,1,4
206.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
287.0,1.0,Baseline,random,Uniform,300,False,1,4
197.0,1.0,Baseline,random,Uniform,300,False,1,4
298.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
352.0,1.0,Baseline,random,Uniform,300,False,1,4
354.0,1.0,Baseline,random,Uniform,300,False,1,4
299.0,1.0,Baseline,random,Uniform,300,False,1,4
266.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
319.0,1.0,Baseline,random,Uniform,300,False,1,4
309.0,1.0,Baseline,random,Uniform,300,False,1,4
306.0,1.0,Baseline,random,Uniform,300,False,1,4
414.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
285.0,1.0,Baseline,random,Uniform,300,False,1,4
714.0,1.0,Baseline,random,Uniform,300,False,1,4
318.0,1.0,Baseline,random,Uniform,300,False,1,4
247.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
300.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
413.0,1.0,Baseline,random,Uniform,300,False,1,4
333.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
258.0,1.0,Baseline,random,Uniform,300,False,1,4
359.0,1.0,Baseline,random,Uniform,300,False,1,4
348.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
397.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
376.0,1.0,Baseline,random,Uniform,300,False,1,4
350.0,1.0,Baseline,random,Uniform,300,False,1,4
413.0,1.0,Baseline,random,Uniform,300,False,1,4
525.0,1.0,Baseline,random,Uniform,300,False,1,4
336.0,1.0,Baseline,random,Uniform,300,False,1,4
287.0,1.0,Baseline,random,Uniform,300,False,1,4
264.0,1.0,Baseline,random,Uniform,300,False,1,4
358.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
305.0,1.0,Baseline,random,Uniform,300,False,1,4
438.0,1.0,Baseline,random,Uniform,300,False,1,4
364.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
466.0,1.0,Baseline,random,Uniform,300,False,1,4
217.0,1.0,Baseline,random,Uniform,300,False,1,4
293.0,1.0,Baseline,random,Uniform,300,False,1,4
348.0,1.0,Baseline,random,Uniform,300,False,1,4
462.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
235.0,1.0,Baseline,random,Uniform,300,False,1,4
318.0,1.0,Baseline,random,Uniform,300,False,1,4
281.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
375.0,1.0,Baseline,random,Uniform,300,False,1,4
308.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
340.0,1.0,Baseline,random,Uniform,300,False,1,4
316.0,1.0,Baseline,random,Uniform,300,False,1,4
365.0,1.0,Baseline,random,Uniform,300,False,1,4
312.0,1.0,Baseline,random,Uniform,300,False,1,4
282.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
447.0,1.0,Baseline,random,Uniform,300,False,1,4
524.0,1.0,Baseline,random,Uniform,300,False,1,4
270.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
210.0,1.0,Baseline,random,Uniform,300,False,1,4
436.0,1.0,Baseline,random,Uniform,300,False,1,4
340.0,1.0,Baseline,random,Uniform,300,False,1,4
417.0,1.0,Baseline,random,Uniform,300,False,1,4
415.0,1.0,Baseline,random,Uniform,300,False,1,4
310.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
317.0,1.0,Baseline,random,Uniform,300,False,1,4
287.0,1.0,Baseline,random,Uniform,300,False,1,4
409.0,1.0,Baseline,random,Uniform,300,False,1,4
295.0,1.0,Baseline,random,Uniform,300,False,1,4
257.0,1.0,Baseline,random,Uniform,300,False,1,4
231.0,1.0,Baseline,random,Uniform,300,False,1,4
448.0,1.0,Baseline,random,Uniform,300,False,1,4
250.0,1.0,Baseline,random,Uniform,300,False,1,4
338.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
469.0,1.0,Baseline,random,Uniform,300,False,1,4
1000.0,1.0,Baseline,random,Uniform,300,False,1,4
624.0,1.0,Baseline,random,Uniform,300,False,1,4
356.0,1.0,Baseline,random,Uniform,300,False,1,4
250.0,1.0,Baseline,random,Uniform,300,False,1,4
394.0,1.0,Baseline,random,Uniform,300,False,1,4
225.0,1.0,Baseline,random,Uniform,300,False,1,4
338.0,1.0,Baseline,random,Uniform,300,False,1,4
240.0,1.0,Baseline,random,Uniform,300,False,1,4
240.0,1.0,Baseline,random,Uniform,300,False,1,4
234.0,1.0,Baseline,random,Uniform,300,False,1,4
513.0,1.0,Baseline,random,Uniform,300,False,1,4
281.0,1.0,Baseline,random,Uniform,300,False,1,4
