T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
231.0,1.0,Baseline,random,Uniform,300,True,0.5,2
336.0,1.0,Baseline,random,Uniform,300,True,0.5,2
255.0,1.0,Baseline,random,Uniform,300,True,0.5,2
296.0,1.0,Baseline,random,Uniform,300,True,0.5,2
452.0,1.0,Baseline,random,Uniform,300,True,0.5,2
441.0,1.0,Baseline,random,Uniform,300,True,0.5,2
343.0,1.0,Baseline,random,Uniform,300,True,0.5,2
185.0,1.0,Baseline,random,Uniform,300,True,0.5,2
246.0,1.0,Baseline,random,Uniform,300,True,0.5,2
342.0,1.0,Baseline,random,Uniform,300,True,0.5,2
845.0,1.0,Baseline,random,Uniform,300,True,0.5,2
253.0,1.0,Baseline,random,Uniform,300,True,0.5,2
334.0,1.0,Baseline,random,Uniform,300,True,0.5,2
289.0,1.0,Baseline,random,Uniform,300,True,0.5,2
299.0,1.0,Baseline,random,Uniform,300,True,0.5,2
346.0,1.0,Baseline,random,Uniform,300,True,0.5,2
1000.0,1.0,Baseline,random,Uniform,300,True,0.5,2
328.0,1.0,Baseline,random,Uniform,300,True,0.5,2
334.0,1.0,Baseline,random,Uniform,300,True,0.5,2
507.0,1.0,Baseline,random,Uniform,300,True,0.5,2
366.0,1.0,Baseline,random,Uniform,300,True,0.5,2
288.0,1.0,Baseline,random,Uniform,300,True,0.5,2
265.0,1.0,Baseline,random,Uniform,300,True,0.5,2
1000.0,1.0,Baseline,random,Uniform,300,True,0.5,2
346.0,1.0,Baseline,random,Uniform,300,True,0.5,2
563.0,1.0,Baseline,random,Uniform,300,True,0.5,2
324.0,1.0,Baseline,random,Uniform,300,True,0.5,2
313.0,1.0,Baseline,random,Uniform,300,True,0.5,2
850.0,1.0,Baseline,random,Uniform,300,True,0.5,2
230.0,1.0,Baseline,random,Uniform,300,True,0.5,2
243.0,1.0,Baseline,random,Uniform,300,True,0.5,2
386.0,1.0,Baseline,random,Uniform,300,True,0.5,2
329.0,1.0,Baseline,random,Uniform,300,True,0.5,2
472.0,1.0,Baseline,random,Uniform,300,True,0.5,2
291.0,1.0,Baseline,random,Uniform,300,True,0.5,2
264.0,1.0,Baseline,random,Uniform,300,True,0.5,2
235.0,1.0,Baseline,random,Uniform,300,True,0.5,2
209.0,1.0,Baseline,random,Uniform,300,True,0.5,2
253.0,1.0,Baseline,random,Uniform,300,True,0.5,2
333.0,1.0,Baseline,random,Uniform,300,True,0.5,2
314.0,1.0,Baseline,random,Uniform,300,True,0.5,2
457.0,1.0,Baseline,random,Uniform,300,True,0.5,2
265.0,1.0,Baseline,random,Uniform,300,True,0.5,2
1000.0,1.0,Baseline,random,Uniform,300,True,0.5,2
280.0,1.0,Baseline,random,Uniform,300,True,0.5,2
348.0,1.0,Baseline,random,Uniform,300,True,0.5,2
300.0,1.0,Baseline,random,Uniform,300,True,0.5,2
300.0,1.0,Baseline,random,Uniform,300,True,0.5,2
324.0,1.0,Baseline,random,Uniform,300,True,0.5,2
948.0,1.0,Baseline,random,Uniform,300,True,0.5,2
223.0,1.0,Baseline,random,Uniform,300,True,0.5,2
281.0,1.0,Baseline,random,Uniform,300,True,0.5,2
245.0,1.0,Baseline,random,Uniform,300,True,0.5,2
335.0,1.0,Baseline,random,Uniform,300,True,0.5,2
258.0,1.0,Baseline,random,Uniform,300,True,0.5,2
236.0,1.0,Baseline,random,Uniform,300,True,0.5,2
193.0,1.0,Baseline,random,Uniform,300,True,0.5,2
484.0,1.0,Baseline,random,Uniform,300,True,0.5,2
321.0,1.0,Baseline,random,Uniform,300,True,0.5,2
356.0,1.0,Baseline,random,Uniform,300,True,0.5,2
1000.0,1.0,Baseline,random,Uniform,300,True,0.5,2
261.0,1.0,Baseline,random,Uniform,300,True,0.5,2
323.0,1.0,Baseline,random,Uniform,300,True,0.5,2
293.0,1.0,Baseline,random,Uniform,300,True,0.5,2
290.0,1.0,Baseline,random,Uniform,300,True,0.5,2
252.0,1.0,Baseline,random,Uniform,300,True,0.5,2
363.0,1.0,Baseline,random,Uniform,300,True,0.5,2
337.0,1.0,Baseline,random,Uniform,300,True,0.5,2
358.0,1.0,Baseline,random,Uniform,300,True,0.5,2
180.0,1.0,Baseline,random,Uniform,300,True,0.5,2
1000.0,1.0,Baseline,random,Uniform,300,True,0.5,2
400.0,1.0,Baseline,random,Uniform,300,True,0.5,2
370.0,1.0,Baseline,random,Uniform,300,True,0.5,2
338.0,1.0,Baseline,random,Uniform,300,True,0.5,2
1000.0,1.0,Baseline,random,Uniform,300,True,0.5,2
302.0,1.0,Baseline,random,Uniform,300,True,0.5,2
204.0,1.0,Baseline,random,Uniform,300,True,0.5,2
283.0,1.0,Baseline,random,Uniform,300,True,0.5,2
474.0,1.0,Baseline,random,Uniform,300,True,0.5,2
408.0,1.0,Baseline,random,Uniform,300,True,0.5,2
298.0,1.0,Baseline,random,Uniform,300,True,0.5,2
1000.0,1.0,Baseline,random,Uniform,300,True,0.5,2
322.0,1.0,Baseline,random,Uniform,300,True,0.5,2
230.0,1.0,Baseline,random,Uniform,300,True,0.5,2
1000.0,1.0,Baseline,random,Uniform,300,True,0.5,2
327.0,1.0,Baseline,random,Uniform,300,True,0.5,2
231.0,1.0,Baseline,random,Uniform,300,True,0.5,2
341.0,1.0,Baseline,random,Uniform,300,True,0.5,2
1000.0,1.0,Baseline,random,Uniform,300,True,0.5,2
276.0,1.0,Baseline,random,Uniform,300,True,0.5,2
376.0,1.0,Baseline,random,Uniform,300,True,0.5,2
453.0,1.0,Baseline,random,Uniform,300,True,0.5,2
677.0,1.0,Baseline,random,Uniform,300,True,0.5,2
321.0,1.0,Baseline,random,Uniform,300,True,0.5,2
397.0,1.0,Baseline,random,Uniform,300,True,0.5,2
1000.0,1.0,Baseline,random,Uniform,300,True,0.5,2
515.0,1.0,Baseline,random,Uniform,300,True,0.5,2
297.0,1.0,Baseline,random,Uniform,300,True,0.5,2
394.0,1.0,Baseline,random,Uniform,300,True,0.5,2
327.0,1.0,Baseline,random,Uniform,300,True,0.5,2
415.0,1.0,Baseline,random,Uniform,300,True,0.5,2
355.0,1.0,Baseline,random,Uniform,300,True,0.5,2
1000.0,1.0,Baseline,random,Uniform,300,True,0.5,2
345.0,1.0,Baseline,random,Uniform,300,True,0.5,2
271.0,1.0,Baseline,random,Uniform,300,True,0.5,2
360.0,1.0,Baseline,random,Uniform,300,True,0.5,2
414.0,1.0,Baseline,random,Uniform,300,True,0.5,2
260.0,1.0,Baseline,random,Uniform,300,True,0.5,2
320.0,1.0,Baseline,random,Uniform,300,True,0.5,2
393.0,1.0,Baseline,random,Uniform,300,True,0.5,2
1000.0,1.0,Baseline,random,Uniform,300,True,0.5,2
362.0,1.0,Baseline,random,Uniform,300,True,0.5,2
