T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
140.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
160.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
162.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
221.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
144.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
140.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
160.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
211.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
184.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
191.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
150.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
150.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
160.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
101.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
190.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
171.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
181.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
141.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
161.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
131.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
151.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
200.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
111.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
121.0,1.0,Market,pathfind_market,Sides,300,True,0.5,4
