T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
161.0,1.0,Market,pathfind_market,Sides,50,True,1,4
201.0,1.0,Market,pathfind_market,Sides,50,True,1,4
150.0,1.0,Market,pathfind_market,Sides,50,True,1,4
190.0,1.0,Market,pathfind_market,Sides,50,True,1,4
160.0,1.0,Market,pathfind_market,Sides,50,True,1,4
171.0,1.0,Market,pathfind_market,Sides,50,True,1,4
131.0,1.0,Market,pathfind_market,Sides,50,True,1,4
172.0,1.0,Market,pathfind_market,Sides,50,True,1,4
200.0,1.0,Market,pathfind_market,Sides,50,True,1,4
141.0,1.0,Market,pathfind_market,Sides,50,True,1,4
181.0,1.0,Market,pathfind_market,Sides,50,True,1,4
260.0,1.0,Market,pathfind_market,Sides,50,True,1,4
161.0,1.0,Market,pathfind_market,Sides,50,True,1,4
191.0,1.0,Market,pathfind_market,Sides,50,True,1,4
141.0,1.0,Market,pathfind_market,Sides,50,True,1,4
101.0,1.0,Market,pathfind_market,Sides,50,True,1,4
190.0,1.0,Market,pathfind_market,Sides,50,True,1,4
201.0,1.0,Market,pathfind_market,Sides,50,True,1,4
121.0,1.0,Market,pathfind_market,Sides,50,True,1,4
111.0,1.0,Market,pathfind_market,Sides,50,True,1,4
151.0,1.0,Market,pathfind_market,Sides,50,True,1,4
121.0,1.0,Market,pathfind_market,Sides,50,True,1,4
151.0,1.0,Market,pathfind_market,Sides,50,True,1,4
141.0,1.0,Market,pathfind_market,Sides,50,True,1,4
170.0,1.0,Market,pathfind_market,Sides,50,True,1,4
171.0,1.0,Market,pathfind_market,Sides,50,True,1,4
130.0,1.0,Market,pathfind_market,Sides,50,True,1,4
141.0,1.0,Market,pathfind_market,Sides,50,True,1,4
151.0,1.0,Market,pathfind_market,Sides,50,True,1,4
151.0,1.0,Market,pathfind_market,Sides,50,True,1,4
171.0,1.0,Market,pathfind_market,Sides,50,True,1,4
141.0,1.0,Market,pathfind_market,Sides,50,True,1,4
260.0,1.0,Market,pathfind_market,Sides,50,True,1,4
171.0,1.0,Market,pathfind_market,Sides,50,True,1,4
121.0,1.0,Market,pathfind_market,Sides,50,True,1,4
141.0,1.0,Market,pathfind_market,Sides,50,True,1,4
131.0,1.0,Market,pathfind_market,Sides,50,True,1,4
151.0,1.0,Market,pathfind_market,Sides,50,True,1,4
231.0,1.0,Market,pathfind_market,Sides,50,True,1,4
200.0,1.0,Market,pathfind_market,Sides,50,True,1,4
161.0,1.0,Market,pathfind_market,Sides,50,True,1,4
111.0,1.0,Market,pathfind_market,Sides,50,True,1,4
151.0,1.0,Market,pathfind_market,Sides,50,True,1,4
101.0,1.0,Market,pathfind_market,Sides,50,True,1,4
230.0,1.0,Market,pathfind_market,Sides,50,True,1,4
161.0,1.0,Market,pathfind_market,Sides,50,True,1,4
111.0,1.0,Market,pathfind_market,Sides,50,True,1,4
171.0,1.0,Market,pathfind_market,Sides,50,True,1,4
190.0,1.0,Market,pathfind_market,Sides,50,True,1,4
181.0,1.0,Market,pathfind_market,Sides,50,True,1,4
